链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1PW41137yy?from=search&seid=14204589028410475788,【九】一部战争电影，践踏人权泯灭人性，令人不忍回首！,85000.0,47.0,20180325.0,117.0,31.0,212.0,17.0,40.0
评论点赞数,评论内容,,,,,,,,
135,一部令人发指的电影？这电影得拍得多烂能让up主用到这个词,,,,,,,,
71,既然演历史就要演真实的，应该演出是军国主义让日本人怎么丧心病狂，比如天皇让日本女学生裸身上课，以欲望来给民众洗脑，日本侵略者在南京屠杀国军伤兵，假意对民众一开始好，聚齐了屠杀，汉奸狗腿子人性的自私和丑恶，请记住那一段时间南京已经是一个人间炼狱了，并没有什么可宣扬的东西，有的只是民众的呼喊，求生的呼喊，这是灾难题材，注意是一场侵略者制造的灾难,,,,,,,,
17,日本人，是这个世界上最不值得可怜的人，肯定有人那是以前，我呵呵了，那以前中国死去的人呢？醒醒吧，中国的日杂狗们,,,,,,,,
17,emmmmm这个偶然在电影频道看的,,,,,,,,
11,勿忘国耻是必须的  也请别一棍子打死一片  不是一个国家的人都是坏人,,,,,,,,
9,那是国难不是国耻，士兵屠杀平民，耻辱的不是死难者，而是行凶者。,,,,,,,,
7,开头的女学生被刀刺还有后来豆蔻和香兰被日本人折磨并杀死的镜头是最令人难受的,,,,,,,,
7,印象中好像是墨玉的原型幸存了下来战后还在远东军事法庭控诉过战犯的罪行,,,,,,,,
5,看预告的时候觉得这个电影热血沸腾一定要看看   看完了电影之后才知道。  原来里面所有的打斗场面儿其实就是那个预告片儿………………………,,,,,,,,
5,凡是关于南京大屠杀的电影都不敢看、不忍心看，《金陵十三钗》让我抑郁了好久。,,,,,,,,
5,人类天生喜欢杀人，大多数人不杀人，只是因为他们怕死，将这些怕死的人送上战场，就会使得他们疯狂，这就释放并且助长了他们的残忍。,,,,,,,,
4,我看过这个，我觉得挺好的啊讲的就是金陵十三钗好不好啊,,,,,,,,
3,女人很伟大,,,,,,,,
3,那个啥，有个电视剧也跟这个一样,,,,,,,,
2,看过了一次南京！南京！后，就不敢再看关于南京的那段历史的电影。那是披着人皮的畜生啊！,,,,,,,,
2,勿忘国耻 爱我中华,,,,,,,,
2,淞沪会战失败为什么不及时撤退南京城老百姓  南京城易攻难守,,,,,,,,
2,外国人好像是演蝙蝠侠的那个人,,,,,,,,
2,up这个标题起得有歧义啊,,,,,,,,
2,说得好好,,,,,,,,
2,战争激发了人类的兽性，也激发了人性之中的善。,,,,,,,,
1,国际战争国内战争都死人的,,,,,,,,
1,铭记历史，勿忘国耻！,,,,,,,,
0,看见满街跑的日本车我能说什么,,,,,,,,
0,想知道背景音乐叫什么名字？很洗涤,,,,,,,,
0,老给我推荐这些，全部拉黑,,,,,,,,
0,说点什么（￣▽￣）,,,,,,,,
0,金陵十三钗欸，倪妮真的是风情万种(=・ω・=),,,,,,,,
0,前排表白阿九。,,,,,,,,
0,这个约翰是不是演过老爷（￣▽￣）,,,,,,,,
0,不忘历史！！,,,,,,,,
0,第三是我的,,,,,,,,
0,沙发(⌒▽⌒),,,,,,,,
0,第一啊,,,,,,,,
0,金陵十三钗,,,,,,,,
0,最不忍心看的一部电影，日本人真是丧尽天良,,,,,,,,
