链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1m5411h7EC?from=search&seid=10285669073430163330,【香川照之】姜文导演的《鬼子来了》让大家熟知，《拉贝日记》直面南京事件勇演战犯，《半泽直树》中的大和田，幼时被父亲抛弃，40年后父子和解继承歌舞伎【更新更鑫】,97000.0,572.0,20200717.0,2355.0,784.0,1009.0,510.0,160.0
评论点赞数,评论内容,,,,,,,,
507,这才是真正的演员,,,,,,,,
292,香川叔这个地位不会被封杀的，所以不用担心。,,,,,,,,
207,知恩图报，加倍奉还。,,,,,,,,
161,大哥大嫂过年好，你是我的爷，我是你的儿,,,,,,,,
160,香川大叔可是日圈知名的亲华派哦,,,,,,,,
112,半泽直树2上了 继续去看他表演,,,,,,,,
87,香川叔没继承泽泻屋宗家，继承的市川中车名号是次一等的分家名，歌舞伎艺名分为宗家，分家，弟子三类，泽泻屋师祖初代市川猿之助就是成田屋的弟子出身，故可以用成田屋的市川姓。泽泻屋宗家现在有市川猿翁（香川叔父亲，二代目 ），市川猿之助（香川堂弟，四代目），市川段四郎（香川叔叔，四代目猿之助父亲），市川团子（香川叔儿子）。尽管香川叔做为影视剧演员很有名气，但入行歌舞伎时间资历太短，所以只能继承次一等的分家名（上一代市川中车是香川叔曾祖父的弟弟）。,,,,,,,,
91,东大毕业的学霸。,,,,,,,,
98,第一次认识香川叔是看坂上之云的正冈子规,,,,,,,,
62,儿子出生后，当爹的跟着初恋跑了，还说自己重获新生了，天哪洪世贤都没有这么渣。,,,,,,,,
53,香川叔人超级搞笑hhhh逗比一个,,,,,,,,
47,超喜欢照之叔，刚好是看了半泽直树认识以后看了盗钥匙的方法，反差萌太可爱了。,,,,,,,,
40,我就觉得没看错。就是他！香川照之属于艺术家了吧，而且和市川海老藏一样，都是头顶着家族传承的，就是几代目的称号。他本人也是演技超强。每次看到他的新角色，都要认真端详一下，再确定就是他。,,,,,,,,
35,父母很美，为什么照哥丑,,,,,,,,
40,香川照之的业余爱好就是昆虫,,,,,,,,
30,这个人极其讨厌。要怪只能怪他的演技太好。半泽直树的刺激太大了。唉,,,,,,,,
24,太令人敬佩！不仅演技好人也很客观正义！以前看日剧一直不知道名字今天记住了“香川照之”！敬佩,,,,,,,,
