链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1Ay4y1m7C4?from=search&seid=17193688311377318020,大家要的封面-【AST2018年作品】,53000.0,8.0,20210114.0,5464.0,296.0,1027.0,54.0,60.0
评论点赞数,评论内容,,,,,,,,
632,"<span class=""stick"">置顶</span>1937年12月13日，日军攻占南京中华门后留下的照片中，中华门城墙上赫然写着四个大字:誓復國仇",,,,,,,,
209,待我成尘时，你将见我微笑。,,,,,,,,
196,你们看，南京没丢，中国没亡。,,,,,,,,
122,山川异域，不共戴天,,,,,,,,
68,这盛世…您回来看了吗…,,,,,,,,
50,想占有这片大地，你得问问中国人答不答应，,,,,,,,,
32,你整成图片发动态啊阿婆,,,,,,,,
24,南京人过来点个赞！,,,,,,,,
23,如今依然没报仇，小日本鬼子依然活的好好的，总有一天我们让他们体会到当年我们的痛苦,,,,,,,,
14,半死的毛子可以是最好的毛子，灭族的日本依旧是苟日的鬼子！,,,,,,,,
16,kmt没用了,,,,,,,,
9,日本如果一味坚持右翼思想，在美国的袒护下一再踏入法西斯阵营，必将自食其果。,,,,,,,,
30,要么左面是八路军，新四军，要么右面是台军，这种混搭怕是不太合适,,,,,,,,
13,我们的军队是红军，是解放军，是人民子弟兵，而不是国防军……我们的军队和国军没有传承关系……我们的军队是一支阶级军队…即使后来解放战争起义的军队也是经过彻彻底底的改造的，完完全全的与以前都是不同的……,,,,,,,,
7,他们一定投胎回来了，或者他们本来就是天兵天将，正在天上看着我们呢,,,,,,,,
5,必须支持！,,,,,,,,
8,国军也尽力了。后人不要再骂！国贫家弱是全民族的责任！,,,,,,,,
4,很多人说想在日本丢大当量原子弹，我是反对的。我认为日本那么近，当量一个谨慎计算过再扔，这样可以确保不影响周边国家。,,,,,,,,
3,这血海深仇我们永远不会忘！,,,,,,,,
5,总有一天，五星红旗会飘扬在富士山顶！！！,,,,,,,,
3,1937年12月，在南京赛虹桥边、紫金山上、中华门下牺牲的英雄们会永远得到国人尊重怀念。在那一刻，他们都是抵御外侮的中国军人！,,,,,,,,
