链接,标题,播放数量,弹幕数量,发布日期,点赞数量,硬币数量,收藏数量,转发数量,评论数量
https://www.bilibili.com/video/BV1UJ411C7KA?from=search&seid=1750330274017779470,[催泪/燃向]所捍卫的，是比生命还要重要的东西。,164000.0,489.0,20191213.0,9720.0,3179.0,4627.0,297.0,140.0
评论点赞数,评论内容,,,,,,,,
1254,"<span class=""stick"">置顶</span>悼念遇难同胞那时候要拿起枪去战斗要多大的勇气1937年的今天那30万人一片一片倒下部队的人拼死坚守阵地，不做逃兵，不做亡国奴真的我现在都能想象到1937年的今天还有躲在南京城里的难民，夜晚死一般寂静的街道，有日本兵还在继续搜城杀人那些难民在黑暗中祈祷自己千万别被找到那种夜晚真的很恐怖肯定比我们想象中的还要恐怖致敬革命先烈们没有你们，也就没有我们",,,,,,,,
808,勿忘历史，我们没有资格替先烈去原谅日本人,,,,,,,,
409,为英勇牺牲的小男孩和胖子默哀！,,,,,,,,
255,驱散日寇时 便我还家时,,,,,,,,
229,张自忠的那部叫什么,,,,,,,,
183,“你最大的愿望是什么？”“战胜日本人！”“那么，那时候你打算做什么呢？”……（沉默）“那时候啊…那时候我大概已经不在了吧”（微笑）这盛世，如你所愿,,,,,,,,
155,永记国军将士~,,,,,,,,
84,我爱日本很多东西，但是犯我中华者，虽远必诛！,,,,,,,,
71,素质三连,,,,,,,,
62,各位先辈，这盛世如你们所愿致敬,,,,,,,,
55,伤口会痛，证明我还活着，屈辱存心，我才能真正作为一个中华人女活着，谢谢先烈的牺牲，护我华夏薪火永传,,,,,,,,
43,坐在咖啡厅，抽会烟草走在马路上，玩着手机买三斤排骨，回家煲汤酒足饭饱后，看会电视这简单的，一点一滴的日常是祖辈拿子弹和血换来的请记住，这一切因何而来,,,,,,,,
38,铭记那些守卫祖国的战士,,,,,,,,
