(1023.6703315991305, '日本')
(420.3134398660136, '国耻')
(378.4332393861195, '历史')
(359.6594028501171, 'alt')
(347.15009193706, '勿忘')
(338.82942478420523, 'classsmall')
(303.243962197142, '原谅')
(288.0231742361729, '中国')
(225.95097764232304, 'img')
(127.63398712422831, '真的')
(127.04654908170713, '南京')
(119.30925051979722, '忘记')
(112.39308186913108, '评论')
(110.07055076152989, '视频')
(106.89121449040537, '道歉')
(102.75747496785529, '永远')
(101.31268216560265, '资格')
(100.0455588601296, '原子弹')
(96.94761691926988, '国家')
(93.63289692780215, '铭记')
(67.99897858997718, '战争')
(66.04817141199761, '和平')
(62.993042175120934, '喜欢')
(62.84318158034191, '冤魂')
(62.078593682708814, '南京大屠杀')
(59.802155077624256, 'src')
(59.66741391686044, '承认')
(59.49307466260355, '仇恨')
(59.02011124854902, '先辈')
(54.84507561383343, '恶心')
(53.79951932242954, '希望')
(50.3379561787608, '吾辈')
(48.73673908688611, '异域')
(48.38026139707122, '弹幕')
(41.860357352630665, '记住')
(39.96717409780549, '美国')
(36.18346869869073, '日本鬼子')
(35.697598236799564, '不共戴天')
(34.354664029254415, '鬼子')
(33.227953487396285, '世界')
(32.75281945978204, '振兴中华')
(32.70160515575837, '牢记')
(32.63205176160912, '民族')
(30.869557159209407, '有人')
(30.31399495828128, '有罪')
(29.46485679984778, '爱国')
(28.81103164011523, '这是')
(27.540636136395584, '屠杀')
(27.322092061595608, '东西')
(26.799054038914434, '强大')
(26.354127587408918, '正视')
(26.28476132757606, '致敬')
(25.393525398371683, '文化')
(25.1690416928654, '同胞')
(25.0187246748849, '中日')
(24.277376654187226, '友好')
(24.26993831521952, '中华')
(24.153225031728756, '电影')
(24.053985191838226, '安息')
(23.95526237207988, '山川')
(23.392162797939818, '右翼')
(21.738796411628176, '英雄')
(21.210736429089632, 'srcimg')
(21.204862650391654, '动漫')
(21.02107213291538, '事情')
(20.870475901372018, 'href')
(20.2957645099919, '逝者')
(19.839861876435283, '头像')
(19.67294949373367, '无辜')
(19.46694432953632, '底线')
(19.158210071064612, '麒麟')
(18.41712581219178, '内容')
(18.31555415772775, '血债')
(17.94431879815505, '纪念馆')
(17.932412994013198, '一句')
(17.735175185528387, '台湾')
(17.42306887924772, '东京')
(17.35556038247054, '当年')
(16.937706812530056, '军国主义')
(16.807713011093703, '上帝')
(16.402422770758804, '关系')
(16.30495959123923, '精日')
(16.006953977997547, '讨厌')
(15.83001049370498, '祖国')
(15.745259979636424, '日杂')
(15.55388372340408, '德国')
(15.540670802833425, '点赞')
(15.353344681605606, '平民')
(15.141251580510888, '抗日')
(15.111056445733956, '变态')
(14.947161874461672, '记得')
(14.862048653609829, '日本政府')
(14.86200289462763, '罪行')
(14.810033079704194, '自强')
(14.605711644072038, '感谢')
(14.460256353920514, '默哀')
(14.341566411569305, '公祭')
(13.83230910589319, '靖国')
(13.810941007478917, '谢谢')
(13.760191840283982, '先烈')
(13.643239239607679, '遗忘')
(13.48927785633307, 'jm')
(13.483535118968216, '只能')
(13.442916688468085, '张纯如')
(13.25925241216207, '难受')
(12.941734821691695, '当自强')
(12.881243667191823, '挨打')
(12.661614132646815, '永不')
(12.5248876207309, '代表')
(12.413692322931963, '背叛')
(12.135842905361548, '自导自演')
(12.017489116142007, '中日关系')
(11.994902936576434, '看着')
(11.942481036212605, '拉贝')
(11.90222795597511, '洗白')
(11.782054401156902, '日漫')
(11.651462281144777, '该死')
(11.603829916258311, '本子')
(11.493636402291115, '侵略')
(11.405165093187643, '敌人')
(11.234355707029604, '政治')
(11.195103760979515, '万岁')
(11.139595966597355, '神厕')
(10.992119121188784, '帝国主义')
(10.919663604808871, '键盘')
(10.621533461760338, '支持')
(10.564215042828216, '看过')
(10.512560293419916, '新闻')
(10.465809768602652, '老师')
(10.30276789093942, '血偿')
(10.292699659317249, '分子')
(10.261885636871886, '回家')
(10.242680478852368, '民众')
(10.172123276239457, '三连')
(9.651642457724204, 'targetblank')
(9.646244140259316, '复仇')
(9.595989907160064, '大屠杀')
(9.582724083975755, '画家')
(9.575628864744932, '友军')
(9.385374119293202, '政府')
(9.368502626288933, '乌合')
(9.32428137808514, '团团')
(9.23913619670431, '电视台')
(9.202926172251745, '好像')
(9.105182257444376, '报仇')
(9.02330420810641, '落后')
(8.926983953568463, '盛世')
(8.922918364960214, '人类')
(8.83717025169148, '三十万')
(8.828552683702629, '对不起')
(8.807803081714356, '不想')
(8.804962500591753, '战俘')
(8.789487880841204, '播放')
(8.656491478113525, '等于')
(8.54546489802041, '砥砺')
(8.465660128000996, '士兵')
(8.427366094380023, '畜生')
(8.313333679259822, '血海深仇')
(8.290339428273908, '前辈')
(8.274738578878113, '理智')
(8.25807904627844, 'UP')
(8.21227132025161, '关注')
(8.17924521225162, '猎奇')
(8.179077490410396, '事件')
(7.9513784298298695, '三观')
(7.932764275280539, '爷爷')
(7.539981238683605, '标题')
(7.443167040357267, '反战')
(7.290218728126282, '画师')
(7.25458513384534, '耻辱')
(7.192502516323421, '13')
(7.141879693624103, '漫画')
(7.076866526344344, 'JM')
(7.070837051834722, '加油')
(7.038221466156291, '时间')
(7.000054442063602, '可怕')
(6.95921624799592, '纪录片')
(6.955163259793304, '反抗')
(6.948801808478829, '推特')
(6.891273934692611, '老兵')
(6.864716726635074, 'lsp')
(6.80893781601044, '勇气')
(6.764123834728315, '填词')
(6.697431163158122, '人要')
(6.657095801678275, '本来')
(6.641242583506312, '两颗')
(6.520552456796344, '自杀')
(6.514688469959058, '灰色')
(6.480453397177838, '我辈')
