微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
ItAgFbBoH,黔东南最生活,女,贵州,230,107012,黔东南最生活:#黔东南爆料[超话]#贵州从江：200吨优质蔬菜驰援湖北2020年2月8日，满载20余万斤新鲜优质蔬菜的大货车从贵州省黔东南苗族侗族自治州从江县出发前往湖北鄂州，随后将陆续驰援湖北蔬菜200吨，支援湖北抗击新型冠状病毒感染的肺炎疫情。 2020年2月8日，在贵州省从江县贯洞镇井内村，村民们正在搬运西蓝花装车。（吴德军摄）2020年2月8日，在贵州省从江县贯洞镇井内村，村民正在精选西蓝花。（吴德军摄）2020年2月8日，贵州省从江县发往湖北鄂州的蔬菜车辆整装待发。（吴德军摄）2020年2月8日，贵州省从江县发往湖北鄂州的蔬菜车辆出发。（吴德军摄）作者：吴德军来源：贵州省从江县融媒体中心 http://t.cn/R2WxB4R 显示地图 [组图共9张] 原图 ,2020/2/10 19:58,45,6,9
ItAgEB3Lo,啵啵糖蹦蹦糖,男,其他,37,5,啵啵糖蹦蹦糖:#保险杠急救中心[超话]#打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 19:58,0,0,0
ItAgEhSfF,赖赖_1085,女,陕西,571,259,赖赖_1085:#保险杠急救中心[超话]#打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 19:58,0,0,0
ItAFqgY8o,receiba,女,湖北,207,53,receiba:湖南省对口支援湖北黄冈市 湖南省对口支援湖北黄冈市  原图 ,2020/2/10 20:59,0,0,0
ItAFpFf8g,郑州音乐广播,女,河南,740,480942,郑州音乐广播:#外省支援湖北对口支援表##关注##抗击疫情 我们始终在一起# 【#外省支援湖北对口支援表# 湖北，加油！转起！】近日，国家卫健委宣布建立16个省支援武汉以外地市的对口支援关系，全力支持湖北抗疫工作。@中国之声 记者从国家卫健委获悉，相关工作方案已印发。支援并非“一对一”，具体对口支援关系是这样↓↓，包括两个省市共同支援一个湖北地市的情况。加油  原图 ,2020/2/10 20:59,0,0,0
ItAFpmnZD,用户6287099180,女,其他,123,1,用户6287099180:#江苏医疗队行李丢失#就想问问是怎么回事，好心来支援物资缺被扣，几千人寒风中站了几个小时，行李也被扣，不知道武汉政府是打哪门子主意，全国都来支援你们，你们却如此做事。 常州  显示地图 [组图共4张] 原图 ,2020/2/10 20:59,0,0,0
ItAFp8cX2,折耳咪宝一只,女,湖南,311,14,折耳咪宝一只:#博君一肖[超话]#打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 20:59,0,0,0
ItAFn3Mn0,德阳市第一汽车运输公司,男,四川,64,275,德阳市第一汽车运输公司:2月10日，由公司青工自发上交请战书，踊跃报名要求投身到一线防疫工作。接市信息公证处的请求，我司派出2名青年突击队员，支援东电单身公寓的人员体温测试工作。东电单身公寓人员密集，且外来者居多，面对危险系数较大的工作，我司2名女青年突击队员没有抱怨，主动请缨，接到指令后立即前往东电单身公寓，迅速投入到一线防疫工作中。 [组图共2张] 原图 ,2020/2/10 20:59,1,0,0
ItAFn0np0,用户4099819098,女,北京,250,3,用户4099819098:湖南省对口支援湖北黄冈市 湖南省对口支援湖北黄冈市  原图 ,2020/2/10 20:59,0,0,0
ItAFmrDjK,会飞的闪光皮皮虾,女,陕西,339,55,会飞的闪光皮皮虾:#保险杠急救中心[超话]#打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 20:59,0,0,0
ItAFkmxkq,Siumy_liu,男,江苏,92,155,Siumy_liu:#辽宁接管雷神山# 原来是军区医院带队，难怪行李没有丢，包邮区支援队的物资都被“丢失”了不少，希望都能平安回来#江苏医疗队行李丢失##辽宁再派1000名医护人员驰援武汉#  原图 ,2020/2/10 20:59,0,0,0
ItAFk4USZ,河北青年报,男,河北,1151,1786927,河北青年报:【欣慰！武汉一家三口治愈出院  感谢河北支援湖北医疗队】“很感谢你们，我们一家三口的康复，有你们的功劳！”武汉第七医院一家三口治愈出院，感谢河北医务人员的付出！石家庄新闻广播的微博视频  (石家庄广播电视台)  ,2020/2/10 20:59,16,2,2
ItAFjvpZw,用户7364205113,男,其他,101,4,用户7364205113:#保险杠急救中心[超话]#打榜抽5000元爱豆代言产品，我正在#最期待再次合作演员榜#为博肖打榜， VX搜索#饭星盟#助力解锁疫情支援公益金，同舟共济，共渡难关！  ,2020/2/10 20:59,0,0,0
ItAFjbx8I,秀sping,女,湖北,123,106,秀sping:#十六省包一市#苏大强哥哥要来支援黄石了，孝感妹妹会有别人替我爱你！被迫另娶苏大强哥哥也没办法啊孝感妹妹加油会有别人替我爱你！孝感妹加油！十三太保哥永远爱你！   黄石  显示地图 [组图共3张] 原图 ,2020/2/10 20:59,3,0,1
ItAFfmc2m,12aby2016,女,江苏,214,156,12aby2016:可怜我江苏支援队 没饭吃没水喝在机场等好久 行李还丢了 最后货车拉走 武汉真的 全国人民都在想帮他们 他们倒是什么都干不好 气死  ,2020/2/10 20:59,0,0,0
ItAFes7pb,霸气的后视镜的风景,男,山东,218,15,霸气的后视镜的风景:湖南省对口支援湖北黄冈市 湖南省对口支援湖北黄冈市  原图 ,2020/2/10 20:59,0,0,0
