微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
J08xAF29q,土豆老人鹅卵石,女,其他,1393,129,土豆老人鹅卵石:混乱月记｜四月四月，四月，四月，一切都在停止或是开始流逝P1 可能是整个四月最开心的时间｜tabletop simulatorP2 疫情在家糟糕的网络期中考体验｜网课最后一天有点小仪式感｜简陋搭建的摄像头机位P3 可能是唯一一次出去玩 四人相爱相杀桌游P4 像监狱栏杆把我困住了｜no more tests！｜开学后囚犯放风似的集体跑｜是光吗P5 去拍签证照｜趁着春天午后的阳光｜近期最喜欢的衣服｜又剪短了P6 美食合集 一个月的奶茶标签｜月末想少吃点P7 看的影视作品 攻壳机动队｜海边的曼彻斯特｜饥饿游戏1-3｜伯德小姐｜幸福的拉扎罗｜异兽魔都｜她（3rd）｜偷心｜三傻P8 了解自己的测试仍未停止 荣格八维｜凯尔西MBTI｜原型｜政治倾向P9 一些输出的聊天记录和感悟P10 一些接收到的聊天记录P11 那好吧P12 心情状况总结：仍是king of 心情不好前半月在放纵，后半月在为此而自省对下个月没什么展望夏天快到了，可我不是很期盼了 [组图共12张] 原图 ,2020/5/3 2:49,3,0,2
J07urBeE6,一分为二的科学观点,男,福建,10785,116626,"一分为二的科学观点:邀请您回答问题""为什么说？特朗普越是气急败坏嫁祸甩锅中国，就越说明白宫黔驴技穷束手无策，美国疫情越来越严重难以收拾！""@@中国政府网@新浪新闻@央视新闻@新浪军事@参考消息@CCTV4@人民日报@环球时报@凤凰网 @洪琳 @宋忠平 @赵立坚个人微博@邱毅台湾 @邱震海  @胡锡进@酒巷诗行长@开心每一天5865 @关山月x @非主食_@文汇报@解放军报 @今日台湾@早报网@工人日报@中国日报@检察官张聪@乡村教师代言人-马云    @俄罗斯驻华大使馆  @伊朗驻华大使馆   @法国驻华大使馆                           #gd  http://t.cn/A6AGdMkY ",2020/5/3 0:08,1,1,0
J07ts5vWG,LfMstGoN,男,山西,32,114,LfMstGoN:前天在医院我被堵在了icu门口 医生碍于疫情的原因不让进 我甚至都没能见到您最后一面还记得去年您让我带女朋友回来让您看看 您还没看到最疼爱的孩子的女朋友呢 怎么就走了呢明天就要入棺了 您肯定还什么都不知道吧 静静的躺在那里 所有人都坐在屋子里看着您 不肯睡觉 奶奶说“再多看看吧，明天之后就再也见不到了”现在也不敢相信我再也没有爷爷了 以后再想见您就只有在梦里了吧 ,2020/5/3 0:06,2,0,2
J07tl4F9E,德国省钱菌,男,海外,438,5857,德国省钱菌:【无视20人以上集会禁令，柏林千人参加劳动节游行】尽管德国防疫规定禁止举行20人以上的集会，但在当地时间5月1日（周五），柏林仍有数千人聚集参加五一劳动节的游行示威活动。在缓慢放宽为期六周的封锁过程中，柏林大部分街道仍然空无一人。德国工会联合会和社会民主党都选择在网络上组织劳动节活动。但在周五晚上，超过1000人在柏林克罗伊茨贝格区举行警方所称的“非法集会”。据德国之声介绍，参与示威的这些左翼团体主要呼吁向难民释放更大的团结之意，要求对人满为患的希腊 莫里亚难民营采取行动。和往年一样，这次的游行没有进行注册。抗议组织者称，示威者每隔一段时间就会自动分散，在克罗伊茨贝格的不同地点重新集结。组织者也要求大家戴上口罩，与他人保持1.5米的距离。但不少街道上还是聚集了数百人。柏林已拍派遣5000名警察驱散违反保持社交距离措施的抗议和集会。#德国[超话]##德国疫情##德国生活# 原图 ,2020/5/3 0:05,0,0,0
J07t84TDo,古镇珠山发布,女,江西,533,32744,古镇珠山发布:【致敬！#疫情后首批为华南海鲜市场消杀的人#】疫情发生后，武汉市江汉水务局工作人员成为首批再次进入华南海鲜市场的人。为保证水体安全，他们对市场的排水管道进行消杀。几经尝试后，最终#武汉水务人员给下水道打点滴消毒#。最高峰时，他们每天消毒近200个点，拖着20桶、重约1吨的消毒液作业。http://t.cn/A6AVeKqj ,2020/5/3 0:05,19,3,1
J07sTimzj,青春锦州,女,辽宁,91,95159,青春锦州:【#美疾控官员承认多项失误致美疫情恶化#】美国疾控中心1日发表了其首席副主任安妮·舒沙特的报告。报告称，2月时，美国未全面认识情况、缺少检测、未及时对欧洲进行旅行限制等失误，导致疫情迅速蔓延。美国国内的人口流动和大型活动、疫情与流感季重叠未及时发现病例等，也导致了病例激增、疫情恶化。（央视记者王逢治）  http://t.cn/A6Afljc5 ,2020/5/3 0:04,0,1,0
J07sJ9qWR,价值投资日志,男,广东,1272,1484396,价值投资日志:【澳大利亚总理莫里森：没有证据证明新冠状病毒源于中国实验室】据路透社5月1日报道，澳大利亚总理斯科特•莫里森表示没有证据证明新冠状病毒源于中国实验室。斯科特•莫里森此番表态与美国总统特朗普此前一天声称新冠状病毒有可能源于中国实验室，但拒绝透露相应证据有关。斯特克•莫里森在堪培拉的一场记者会上说：“我们面前拥有的资料不能证明这是可能的来源，我们知道这件事起于中国，我们知道这件事起于武汉，最有可能的情况是与野生动物市场有关，但这是一件需要经过彻底评估的事件。”在中国已基本控制住疫情，#全国所有省份均解除一级响应#的情况下，#澳大利亚疫情# 的抗疫之路还很长远，澳大利亚加油！ 原图 ,2020/5/3 0:04,447,42,135
J07sbfbNE,AkbarSami,男,其他,171,287,AkbarSami:回想起刚毕业接手家里情况不太如意的小店时的不知所措，一度抑郁，困难重重，负债累累。凭着一股冲劲儿，忍耐力，和一直在心里的精神力量更为了家人一步步把店维持下来        再到后面努力越做越好，小有起色，永远忘不了店里第一次因为生意好到门口开始有人排队在等待就餐的时候我站在店门口目睹着店里正在发生的一切，油然而生的成就自豪感。        当看到营业额一次再一次的刷新着新纪录的时候的我是那么兴奋，被越来越多的人认可，交际圈越来越广，小有成绩后开始膨胀，沉迷于酒精与玩物中，陷入了自己的“舒适圈”         感谢家人与身边很正的朋友哥哥们在关键时刻能帮到我，让我找回自己，没有忘了初心。         前段时间因为疫情影响，又打击不少，但还好有些储备，还能坚持下来。这几天慢慢回复正常，并迎来反弹，看到生意越来越好，现在愈发冷静，有自己想法，责任也越来越大了，想做的更好，更稳也要更努力。         微信里人太多关系太杂，喝点酒想发点感触都要处处考虑，尤其是我这种懒得分组的人。叨唠完了-明日早起 http://t.cn/ELT0hke 显示地图 [组图共2张] 原图 ,2020/5/3 0:03,24,1,12
J07qB6Zbj,天真的老蝎,男,河北,170,400,天真的老蝎:#生活记录# 自春节前回家，一转眼三个半月过去了。目前疫情在国内已经基本得到控制，省内应急响应也由一级降为二级。趁着“五一”休息，一起回家去看老人。因为怕给家里添麻烦，离家很近的时候，才让儿子和奶奶联系。这才知道，今天恰巧也是姑姑一周年忌日。时间过的真快，因肺癌去世的姑姑转眼离开我们已经整整一年了 [组图共9张] 原图 ,2020/5/2 23:59,1,0,1
J07o9cpsf,湖南日报,女,湖南,563,1636533,湖南日报:【真·别人的学校！陕西一#高校给2万学生退三个月住宿费#，总计1700万元】#高校给2万学生退1700万住宿费# 近日，@西安翻译学院 发布通知，根据实际住宿时间，本学期将只收取学生2个月的住宿费，已经缴费的学生将退还3个月住宿费，未缴费的同学将按照2个月时间收取。本次退费涉及2万余名师生，费用总计1700余万元。对于因疫情造成家庭经济困难的学生，学校还有专项补助。@一手Video http://t.cn/A6AflMyx ,2020/5/2 23:53,9,1,1
J07ntwBkk,小杏仁LittleAlmond,女,北京,298,190,小杏仁LittleAlmond:♥ 杏仁糖罐 🅲🅰🅽🅳🆈 ⑧胡先生问我有什么愿望，我说我想见你。他说：我已经查过了去你那的车，有一趟车晚上上车睡一晚第二天早上就到了，等你白天什么时候方便出门，然后我们约会，然后还要抱抱你，然后……嗯，好不好？你们那边疫情还不稳定哦，等安全了我就安排上。不要想我想得哭鼻子哦，之前说好一起看电影没看成你哭得可伤心了。乖乖等我……然后我特不争气地就哭了。 ,2020/5/2 23:51,3,0,0
J0abhwV36,环球新视界天行道义,男,吉林,20000,20525,环球新视界天行道义:财秘关注1、世卫组织：已有许多科学家研究了新冠肺炎病毒基因序列，确信新冠肺炎病毒来自自然界。重要的是确定其宿主，以更多了解病毒如何在人与动物间连接，以及是如何打破人与动物间的传播障碍，目的是为了采取必要的公共卫生预防措施，确保此类情况不再发生。2、安信证券高善文：新冠疫情对产出的影响两倍到四倍的大于金融海啸的影响。但新冠对总体价格水平的影响却大约只有金融海啸时期的20%左右。因此，在总供应所受到的封锁、所受到的抑制措施全面的解除之前，单向地刺激总需求可能不会有那么好的预期结果，比如带来通货膨胀。3、国际货币基金组织：预计2020年西班牙和意大利经济分别萎缩8%和9.1%，德国和法国分别萎缩7%和7.2%，英国经济萎缩6.5%。部分国家近日陆续出台逐步解禁措施，西班牙部分行业已经复工；意大利正在积极为恢复经济活动做准备；瑞士将从27日开始执行第一阶段放松管控措施等。 ,2020/5/3 6:59,1,0,1
J0aaYpfGr,鹊惜,男,河南,109,3128,鹊惜:仍未入夏，这几天的异常高温，却已愈发突破人的忍耐极限。气温逼近40℃，地表温度将近60℃，五月的河南已经可以和八月的新疆相媲美。但我看到只有一句更暖心窝的话：「病毒活得够长了。」我不懂医，但我知道强热能杀菌，更能加速唾沫的蒸发。如果说，这样的高温对病毒有催杀作用，可以助力我们走好这疫情防控的最后几步。那么我想，我再热点，留再多的汗水，也是值得的。 ,2020/5/3 6:58,0,0,0
