微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IDEH3rAoF,彭猜猜-,女,广东,283,270,彭猜猜-:今天是微博抒情篇跟👩🏼说想吃草莓跟👨🏻说想吃蛋糕 嘻嘻嘻这真是幸福的一天啊～去年基本一年没怎么跟家里人说过话 跨年那天也是吵架最凶的一天 我的脾气很犟 不愿意低头 每天晚上两三点才回家 也不知道是什么缓和了跟家人的关系 跟这次疫情有关吧 每天待在家里朝夕相对 似乎也挺好 父母其实特别容易满足 关心他们多一点他们就特别开心 要是工作太累了 脾气大了点 那就坦然接受他们的脾气 让他们可以开心点 要不然他们的累能往谁说呢 嘻嘻嘻 挺好的#There is no place like home.ps.现在的我 熬夜只为了批改作业也是着实无聊晚安 [组图共6张] 原图 ,2020-04-17 01:37,4,0,0
IDEGtpWZf,你也有话要说吗,女,其他,0,1,你也有话要说吗:爸爸妈妈周末经常去爷爷奶奶家 去的很早有时候我起不来 他们就不叫我了。因为爸妈要陪老人一起打麻将 回来的都会很晚 因为疫情 家里人都不让我点外卖 我本人很懒 所以也懒得做饭 很多时候就不吃。他们5.6点吃饭 回来的时候都已经十二点左右了 经常带着热乎的饭菜回来 跟我说：你爷爷和奶奶怕你晚上没饭吃 刚给你做好的 你喜欢吃的肉段 没放姜 饭也是新焖的 很晚了 少吃点。 ,2020-04-17 01:36,0,0,0
IDEF11nCb,华发传媒,男,海外,121,10541,华发传媒:美国总统特朗普宣布暂停资助世界衞生组织，惹来各方抨击。世界衞生组织特使纳巴罗(David Nabarro)于当地时间周三(15日)，敦促批评世衞的人，应该先将重点放在战胜新冠肺炎的疫情上。　　纳巴罗在网上峰会表示，个别国家对世衞在疫情早期采取的行动非常关切，恳请所有国家向前看，将重点放在这场与病毒「史诗般的斗争」上，将指责留待之後处理。　　纳巴罗又说，如果在抗疫过程中，有人想宣布停止向世衞拨款，或作出批评，将涉及整个公共衞生界，形容世上每个人都是公共衞生工作者，都参与在过程中，承担责任和牺牲。http://t.cn/A6woUHd8 原图 ,2020-04-17 01:32,0,0,0
IDEDA4Ol3,FM104女人电台,女,贵州,1155,32726,FM104女人电台:【#中国本土的经济恢复将会非常快#】金立群：中国本身本土的经济恢复将会非常快。根据我掌握的数据，规模以上的企业复工率已经达到了98.6%，人员的复岗也是达到了89.9%，中小企业的复工是76%，这些数据还是很令人鼓舞的。另外加强疫情继续的控制，保证不要出现第二波反弹。但同时也要看到，国际上的情况不容乐观，而我们跟世界上其他经济还是有相当的你中有我，我中有你，经济的结构还是比较紧密。所以当世界上其他国家还没有平静的时候，对中国经济的冲击，必然是不容小觑。@新闻一加一 http://t.cn/A6wS3m3i ,2020-04-17 01:29,0,0,0
IDEDwdSBT,邓谦谦-童鞋,男,北京,1368,350,邓谦谦-童鞋:http://t.cn/A6woUI8I 打卡第224天，用时间雕琢最美的曲线，一起来http://t.cn/RtGB2tr 挑战吧！#运动玩出色#训练时间:13:40-14:40  60分钟  训练部位:有氧，背户外公园跑步5km，用时29分钟，拉伸五分钟，引体向上:4组✘5个反向划船:4组✘10个拉伸放松五分钟，引体向上退步好大，而且做起来也很费劲，最近几个月因为疫情原因，训练少，连手茧都没了，所以做起来手很痛，继续加油努力吧，饮食注意点，最近把体脂好好降降， 原图 ,2020-04-17 01:29,0,0,0
IDEDq1hA1,全球酒店-YTC,男,北京,2245,65861,全球酒店-YTC:#全球酒店融媒#YTC全球酒店融关注 聚焦看点--2020年在线酒店预订竞争格局与发展趋势分析 供给侧数字化将成为趋势 #全球酒店云在线#  根据国家统计局数据显示，2019年我国国内游客为60.1万亿人次，旅游业已经逐步发展成大众刚需。#全球酒店生态# 在疫情发生以前，在线酒店预订行业存在“三足鼎立”和“下沉市场集中”的发展特点。在后疫情时代，在线酒店作为酒店业的数字化先驱，将担负起酒店业供给侧的数字化大旗。 http://t.cn/A6woUbLl ,2020-04-17 01:29,0,0,0
IDECXEarj,Elvira萌_,女,陕西,181,3161,Elvira萌_:🔘回家休养的第8天  大晴天         继续做吃货的一天！昨天微信的一家甜品店姐终于有空做甜品了，我立刻就去底下评论说我要照常（榴莲千层+至尊泡芙），因为真的太久我吃到，想念的不行不行的。甜品店姐回我说明天会有惊喜哦 还不告诉我，结果今天送来的甜品的时候多了两瓶酸奶，真的是爱死了！这个姐真的超级好，会一直喜欢他们家榴莲千层的～ 味道真的绝了！         中午午睡了一会，说到做到         下午收到消息过几天要去学校里进行演讲，所以要把之前演讲的内容进行改版，PPT也要整理一下，最近这两天就要稍微忙起来了，因为演讲的时间不在收假以后，所以可能在家不能呆到收假那天，回西安的时间要稍微早一点了         晚上…  吃了辣子鸡（真的好咸），最失败的一次饭局 糟心 #武汉抗疫日记##回家##武汉解封##万众一心抗击疫情##武汉加油##剪发##演讲##白衣天使加油#          bye bye～ 想剪发                                                    -&萌                                            2020.4.16  23:40pmP1:妈妈餐P2：最爱榴莲千层P3:真的咸到不行！P4:4月5日在眉县隔离时的照片 http://t.cn/R2WxgiP 显示地图 [组图共4张] 原图 ,2020-04-17 01:27,18,0,5
IDECNhhNt,YYYxuLei,男,上海,254,64,YYYxuLei:今天真的有感而发，这几年下来，我能跟在最亲的哥哥身边学到了很多，好幸运。今年的疫情真的太令人沮丧了，年龄一天天的上涨，从以前为了赚些零花钱，到现在能够养活自己这个小家，真的很感触。看到哥哥们的不易，自己也一点点从他们身上学到男人把压力扛在肩上，让日子一天天更好真的受益良多。明天一定会更好！ ,2020-04-17 01:27,2,0,0
IDECEs2uP,若白X叶修,女,北京,342,532,若白X叶修:#桂花酒cp[超话]#分组别那么敏感也别那么多要求。很明显是按成都上海俩分会场排的。疫情期间，你舍得让崽们飞来飞去平添感染风险吗？我肯定舍不得，所以我对按俱乐部基地所在城市分开安排很满意。安全第一，两情若是久长时，又岂在朝朝暮暮?再者，这俩若想发糖还需要联盟刻意安排同队吗？俩崽子若想发糖从不需要联盟提供条件。 ,2020-04-17 01:27,43,0,11
IDEBeED2b,北美顾问,男,海外,270,1502200,北美顾问:#美国留学那些事儿[超话]# 【美国失业人数飙至2200万，大萧条是否卷土重来】随着新冠肺炎疫情在美国的蔓延，美国经济运行的重要指标之一——失业率指数一直受到全球的关注。不幸的是，这一指标的恶化程度超出了预期。　　疫情初期，对美国失业率的预测大都对标2008年金融危机的9%，但是这一预测很快就显得过于乐观。　　美国失业率超其他国家，可能飙至30%　　4月早些时候的一项调查显示，经济学家对美国第二季度失业率的预测中间值为12.6%。但是，经济学家估计，上周（4月第二周）大约有550万人申领了失业救济，这将使四周的总数超过2200万，大约占劳动力总数的八分之一。　　如果持续这一趋势，经济学家预测失业率最早将在本月飙升至20%，甚至会达到30%的高位——那将超过上世纪三十年代大萧条时期失业率25%的历史纪录。　　疫情冲击之下，失业率激增并不意外。但是，美国的增速如此惊人，确实超过了其他疫情重点国家。　　不过，这并非表明美国的经济形势恶化程度超过其他国家。毋宁说是美国的失业数据更能体现出劳动力市场的实时变化，表现得较为敏感。这和美国的劳动用工制度有关。　　美国的自由雇佣制度信奉“来去自由”的高度市场化原则，在美国大部分地区，私营雇主解雇雇员只受三种限制：对工会成员的打击报复；种族、性别等歧视性理由；合同约定和企业公开的人事政策。除此之外，私营雇主可以任意实施解雇。http://t.cn/A6woyEKD 原图 ,2020-04-17 01:23,4,3,3
IDEAVs4yF,秦阿胖,女,江苏,640,308,秦阿胖:#扬中熔喷布生产企业全部停产整顿#也没说的那种恐怖吧，什么家家户户都在做？！至少我家里人都没有去做，事情发生到这种地步，何必扬中人互相“残杀”呢？想赚钱又有错吗？难道这个社会永远都是有钱人越来越有钱，穷人越来越穷，在因为疫情影响经济整体萧条时，这个快速赚钱回本快的事情成了穷人最后一棵救命稻草呀！对于普通家庭来说，在机器炒到20几万一台还要咬咬牙买的时候，真的是对生活低下了头，20万可能是一户普通人家一年两年甚至几年的总收入！说到底还不是被那些来收熔喷布不停贩卖机器的人吹得天花烂坠的“一星期回本，一天5万，35万一吨”所蒙骗吗？！到了今天这个地步，赚到钱的早已收手，剩下最心酸的还不是刚刚准备开始就被扼杀在摇篮里的“创业者”...... ,2020-04-17 01:22,60,1,53
IDEAKfZWb,书香夜语,男,内蒙古,3151,4431,书香夜语:感觉今天较繁忙，科目的“迎来送往”，码些许文字便过了半晌。昨晚看到鲜有QQ里面的一条留言，是linxiao发来的，因打不通电话，联络阻隔。想着白天务必要通个电话，于是便备住了记事，直到傍晚才想到此事，如今他已然成了当地的小老板，经历了六年的磨砺，终于闯出了一片天，为他感到高兴，选择很重要，但有时要迫不得已，如果当初留在包头，想必疫情期间可能有机会亲临战场。不管怎样，唯有遗憾不能常相伴，对于职业生涯的转变没有任何惋惜，还打趣说现在再有重返医院的机会，肯定也不想回了！[加油] http://t.cn/R5BeF3d 显示地图 [组图共9张] 原图 ,2020-04-17 01:22,2,0,0
IDEAcwSfD,醉美YZ,男,云南,1171,1847139,醉美YZ:【疫情下的叙利亚！300万人用一台检测仪器 10人挤一个帐篷还没水洗手】#叙利亚人因疫情回废墟上生活#随着新冠肺炎疫情蔓延，叙利亚西北部饱受内战摧残的伊德利卜省面临新的危机。由于经历长年战乱，该地区早已满目疮痍，医疗设施遭受严重破坏。目前，这里居民超过300万，但只有一台可进行新冠检测的仪器。此外，他们没有足够的水，更没有足够的空间保证社交距离，好多人一家十口挤在一个帐篷里。截至目前，该地区尚未确诊新冠肺炎病例，但当地医生仍然感到忧心。有医生称，感觉很快就要在救与不救之间进行艰难抉择。 http://t.cn/A6waFv6w ,2020-04-17 01:21,2,0,1
