微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IwECkwp6y,姿姿不倦ING,男,上海,330,5083,姿姿不倦ING:《曼联故事》下周播出预告（http://t.cn/A6hB56Jj）目前已推送12次，下周会推送的是：索尔斯克亚的一问一答（442杂志2016年4月）弗雷德是否已在曼联迎来转折（T.A. Andy Mitten）写过小时候的我（球星看台 费迪南德）本周意见汇总：有听众表示语速可以慢一些，这个正在逐渐调整有听众表示离麦应该远一点，目前的耳机比较渣，等疫情好一些会考虑入相对好一些的设备有听众表示开头可以加一些前情提要，这个会根据自己的理解加目前手头有的故事清单详见图2，如果有什么比较感兴趣的故事也可以留言告知，会考虑尽快制作大家感兴趣的部分。 [组图共2张] 原图 ,2020/3/2 0:34,3,1,11
IwECgEmVs,沁嫣米一,女,其他,92,12,沁嫣米一:疫情期间心情非常复杂，但是最近超喜欢一位阿婆主，看他的视频真的能舒缓心情，能让人开怀大笑，他的视屏内容并不是那种没有内涵纯搞笑，而是能让人引发共鸣的搞笑。他没有故作姿态，为了贴标签而尴尬地引人发笑，而是发自内心地能感受到的好笑。在搞笑之余又能感受到他的真诚，温柔，善良，可爱，还有点戏精的滑稽。讲道理，老实说真的超喜欢看你的视频。他就是在下哲别，励志让人做一名记住的阿婆主。 原图 ,2020/3/2 0:34,1,0,0
IwEC5q0lk,cjy小蜜瓜,女,江苏,1,1,cjy小蜜瓜:#肖战工作室道歉# 说实话，ao3被墙这个事情和肖战本人到底有什么关系？？？！！！稍微想想就知道这个事情是职黑做的。再者，如果普通的粉丝去举报的话事情会闹这么大吗？很明显是有人有意谋划的，这么简单还拎不清？就算是粉丝做的，粉丝行为也不应该由idol买单，况且现在肖战本人已经为这件事情买单了，不依不饶的想干嘛？？？疫情期间是不是都闲着没事做啊要出来比比赖赖，练嘴皮子还是练那拿不出的文笔？！没见你们做多大贡献啊，这么有本事怎么不去支援一线啊，只敢在屏幕后面做键盘侠？？？工作室道歉已经很诚恳了，但是在我看来这件事还是与肖战本人毫无关系，清者自清，而肖战也不会因为你们这些人的言辞而糊掉，只会更加的闪耀光芒。最后也请后援会好好清理一下粉丝，不要让一些乱七八糟的人出来祸害 原图 ,2020/3/2 0:33,4,0,0
IwEBTlZxw,来-美,女,北京,568,525,来-美:我儿四岁啦，我猜他们的愿望一定是让爸爸妈妈带着去游乐场玩，坐摩天轮和小火车，这段视频还是去年刚入冬时候拍的，因为今年的疫情的关系，连生日蛋糕都没买到，在家里老老实实呆了快两个月，偶尔看见窗外有行人经过，激动得跟人家打招呼:你好，人儿最近视频，哥哥总会问我，妈妈你在哪，怎么还没回来，不知他们长大后会不会有这段时光的记忆。爸爸妈妈在北京，想见你们♥️ http://t.cn/A67ikM9z ,2020/3/2 0:33,3,0,0
IwEBtBw9g,乡乡香喷喷,女,北京,2,3,乡乡香喷喷:疫情肆虐，窝家里一个多月了。想到难得陪着承耳鬓厮磨这么久，一生能有多久呢，不免感恩。跟着妈妈操持三餐，辛苦但也幸福。越来越跟不上事业型女性的步伐，我乐于放慢脚步，快乐我的快乐，幸福我的幸福，看自己爱看的，学自己爱学的，不必考虑有没有用，无需他人的评价来审视自己。真好～至于乐，顺其天性，鼓励支持纠正，摆正心态吧！期待，自由呼吸的那一天 [组图共3张] 原图 ,2020/3/2 0:32,2,0,0
IwEBj07do,永恒-朱春雨,男,北京,477,582,永恒-朱春雨:疫情欧洲续第五天，第七例，其中雅典四例……粉卡还没下来，想回国避避都没法整。周日，明天哪儿也不开门，哪儿也不想去，哪儿也不敢去……也尽量省下口罩的用量……天知道欧洲疫情会到什么时候结束，我可不想在家憋那么长时间……今天把院子里的地给刨了刨，整出一块地方，接下来要把菜籽撒上，等待收割……计划明天把另外一块地给收拾出来，运动运动也避免病毒的侵扰！今天就写这么点吧，累了，歇会儿…… http://t.cn/Rxg7Jet 显示地图 原图 ,2020/3/2 0:31,3,0,6
IwEB85tWi,80厚新爸爸,男,湖北,181,89,80厚新爸爸:小子 ，一个半月没见了，疫情灾难还在继续，不敢说好了一些，只能说稳了一些，只要还有无辜的人无法治愈而离开这个世界，就是悲哀的。我们的基本生活和工作都与以前不一样了，人们被像动物一样，圈养了起来，有人看护，跑出来是要被抓起来的，吃饭得省着，菜可不好买，千万不能生病，医院被占满了，还更危险。街上除了救灾的车偶尔跑，平时是空荡荡的，只有鸟在空中飞过。民间传了一个神医，治好了一些人的病，但不给他机会试一试，就被以非法行医关起来了，明天几十个生命成为明天的数字，太可惜了，这个时代有很多诡异的事，我们要坚强面对。 http://t.cn/R2WxQOQ 显示地图 ,2020/3/2 0:31,2,0,0
IwEB0CVNQ,澜本嫁衣-,女,湖南,283,392,澜本嫁衣-:结婚以来第一次分开这么久 整一个星期了 一个人借住在弟弟的女朋友这 每天忙的晕头转向 晚上累的直不起腰 躺在床上 快来大姨妈了 特别怕冷 紧紧的裹住小被子 跟老公说着说着就哭了 看到他眼睛也红了悄悄撇过去抹眼泪  更难过了  这样的日子什么时候才能到头啊 希望疫情赶紧过去 仓库能正常上班 我就不用自己发货可以回家了 我太想家了 太想我温暖的烤火炉 和软绵绵的床了 [组图共2张] 原图 ,2020/3/2 0:30,2,0,5
IwEALkZdc,中国反邪教,男,北京,436,3666165,中国反邪教:【在#海外疫情爆发地区的同胞能否按期回国？#外交部做出明确回应】3月1日国务院联防联控机制新闻发布会上，对于记者提出的，目前有很多中国人因为工作、旅游、探亲等原因，居住在疫情暴发的国家和地区，这部分人群能否按期回国？对此，外交部领事司司长崔爱民表示，国外疫情严重国家目前并没有断绝与外界的公共交通，中国公民可以通过直航或中转回国，如果遇到紧急情况，可及时与我驻当地使领馆联系。http://t.cn/A67Jm6pN ,2020/3/2 0:30,27,20,10
IwEAKpEBY,朱大土罢了,男,其他,184,49,朱大土罢了:🧶读书笔记罢了14《薛兆丰经济学讲义》第34讲《换个角度看乘人之危发财的人》1.我们应该赞美那些乘人之危发财的人？？？2.国难是那个发国难财的人造成的吗？如果不是，那么借机发财的人，其实就是给别人多提供了一种选择罢了，对另一方是有好处的。3.同理，医生就利用了病人生病， 老师就利用学生无知，这两个例子举的很不合适，毕竟医院没有不合理收费，学校也没有不合理收费，而发国难财的人显然不合理收费了（比如100块一个的口罩），性质不同，无法比较。4.这篇文章我实在是不敢苟同，因为我是个人啊，经济学似乎冷冰冰的，我无法原谅在疫情如此严重的情况下，将口罩价格卖到100块的行为，更别提赞美他们了。5.愚以为发国难财这一行为，口罩价格上升，并没有导致供给增加，反而导致了假冒伪劣的口罩数量上升🔝，有一部分发国难财的人可以在疫情如此严重的情况下，靠提高口罩价格挣钱，躲在病毒🦠背后笑眯眯地数钱💰，那么就会有一部分人生产不合格（根本无法阻挡病毒）的口罩😷进行售卖，假冒伪劣产品的供给增加了。而真正让供给增加的是那些熬夜加班加点生产口罩的正规厂商，什么驱使他们这么做，是他们所担负的民族使命，是他们看到医护人员战斗在一线时流下的眼泪，是他们暗下决心与中国共渡难关。春节期间包括加班费导致的合理价格增长并不是发国难财的行为，这点我倒是很清楚。6.我不会赞美发国难财的人！！！ps：今天的床真温暖呢！ ,2020/3/2 0:30,2,0,0
