微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IA2MZtdD3,中国共青团杂志,男,北京,2405,21292,中国共青团杂志:#早安，团团# 当前，以武汉市为主战场的全国本土疫情传播已基本阻断，但零星散发病例和局部暴发疫情的风险仍然存在，疫情在全球出现大流行，形势依然复杂严峻，要保持清醒头脑，决不可掉以轻心。要实行“外防输入、内防反弹”的总体防控策略，维护好来之不易的防控成果。——中央应对新冠肺炎疫情工作领导小组会议（3.23） ,2020/3/24 7:37,3,0,0
IA2MF7X8h,包头大妈,女,其他,179,4,包头大妈:为疫情期间的房价上涨而焦虑最近包头的房价不断上涨，不论是新居还是二手，八、九千的房价不过是普通了，都说疫情期间房价会暴跌（比如非典疫情），那么，包头的房价怎么会大幅上涨呢？且成交量还很大呢？那么疫情过后，全国复工复产后，房价会不会继续上涨呢？难道我坚信党的政策有误吗？房住不炒仅仅是口号吗？茫然的百姓们手足无措呀！！世界性疫情的蔓延，让我拿着首付款慢慢殆尽. ,2020/3/24 7:36,0,0,0
IA2My1dut,新闻广东,男,广东,299,104067,新闻广东:【#意大利新冠肺炎确诊人数超6万#，网红老奶奶硬核防疫建议走红网络】截至当地时间3月23日18时，意大利新增4789例新冠肺炎，累计确诊63927例。全球新冠病毒疫情愈演愈烈，来自意大利南方的网红老奶奶给出了自己的建议，作为经历过米兰鼠疫的奶奶，她教给大家一个超酷的打喷嚏手势，还对大家说，不要相信谣言，不要歧视别的种族，因为病毒有疫苗，而歧视没有。#意大利身边事# http://t.cn/A6zFcx1G ,2020/3/24 7:36,119,20,13
IA2Mwg85L,大爱重庆,男,重庆,3788,541077,大爱重庆:重庆市新增境外输入新冠肺炎确诊病例1例 为美国输入一、本地疫情3月23日0—24时，重庆市本地无新增新冠肺炎确诊病例报告。截至3月23日24时，重庆市本地无在院确诊病例，累计治愈出院病例570例，累计死亡病例6例，累计报告确诊病例576例。二、境外输入疫情3月23日0—24时，重庆市报告新增境外输入新冠肺炎确诊病例1例（为美国输入）。截至3月23日24时，重庆市累计报告境外输入确诊病例2例，均在院治疗。三、密切接触者截至3月23日24时，累计追踪到密切接触者23934人，已解除医学观察23691人，尚有243人正在接受医学观察。来源：重庆卫健委#重庆爆料##重庆##潼南##潼南区[超话]# http://t.cn/RywOUdp 显示地图 ,2020/3/24 7:36,5,0,13
IA2MqEBlf,沐泠雪000,女,湖南,77,6,沐泠雪000:#狼殿下#热搜又来了，好激动，人生乐事蹭吃蹭喝蹭热度，疫情期间乖乖听话三蹭只剩一蹭了，好在热搜从未让人久等。表白狼殿下，什么平台放我都充会员，咱有工作经济独立充得起会员，护得起肤，化得起妆呃偏题了收回来，表白男二肖战，男主是女主的，你是大家的。表白女主李沁，喜欢你没道理就是喜欢你。表白男主王大陆，呃你是女主的不能抢，那就祝你未来更好星光灿烂。总之快点定档吧。图片？不配了。😄 ,2020/3/24 7:35,0,0,0
IA2MofjR3,临沂临港发布,男,山东,1223,41351,临沂临港发布:#武大明年将举办医护人员赏樱专场#【武大校长：明年将举办医护人员赏樱专场】“明年，武大将选择樱花最盛开的一天，开放医护人员赏樱专场。”武汉大学校长窦贤康23日说。　　窦贤康表示，武大已向全体援鄂医疗队员发出诚挚邀请，明年3月樱花开放时，请他们和家人一起到武大赏樱。学校还将为援鄂医疗队员以及湖北省疫情防治一线医务人员和家人开设免预约赏樱绿色通道，尽可能提供好赏樱服务。　　窦贤康表示，学校了解到不少支援湖北医疗队员希望在离汉前到武大看樱花，但由于疫情防控，今年难以满足大家进校赏花愿望。“明年，学校将提供一对一的赏樱讲解服务，回馈感谢一线抗疫医护人员。”　　近日，“武大校长带你赏樱”的直播在各社交媒体平台引发广泛关注，一度登上热搜。不少网友表示，武大封校不封美，提供云赏樱，期待明年实地赏樱“打卡”。　　疫情发生以来，武汉大学积极发挥专业优势，站在抗疫救治一线和科研攻关战疫前线。窦贤康感慨，武大人在此次战疫中展现出的家国情怀、敬业精神和专业技能，是一次对所有武大人的精神洗礼，也是一次爱国主义教育。很欣慰看到不少年轻学子在战“疫”中发挥专业特长优势，积极参与疫情防控各项工作，体现责任担当。　　“目前樱花已经盛开，请大家服从学校的统一安排，积极参加学校组织的各种线上教学安排和招聘活动，学校将多措并举确保大家顺利毕业和高质量就业，也请家长们放心，我们将以更加美丽和安全的校园环境迎接孩子们归来。”窦贤康说。　　“希望疫情结束之后，大家能走进武汉大学，有更多优秀的高中生能来到美丽的东湖之畔、珞珈山下。”窦贤康说。(新华网) 原图 ,2020/3/24 7:35,0,1,0
IA2MiDmPz,锦坤石章强,男,上海,986,23129,锦坤石章强:企业互联网转型喊了很多年，但真正落地化一体化的还远不够。疫情让互联网转型成为必需，而非选择。两年前在清华大学和上海交大举行中国企业互联网转型论坛暨《企业互联网转型》首发式犹在昨日。应交大安泰管院邀请，本周五http://t.cn/A6zFccn2 ，重点聚焦传统企业向新商业的转型升级以及宅消费的前世、今生和未来，看看新闻、新浪财经、腾讯新闻、蜻蜓FM和搜狐财经等同步直播。 [组图共9张] 原图 ,2020/3/24 7:35,2,0,1
IA2MilJTD,谢明珠医生皮肤美容工作室,女,四川,302,72,谢明珠医生皮肤美容工作室:#美国疫情##新冠肺炎肆虐美国，一本“预言”书火爆了！2008年夏天，声称自己在5岁的时候就开始收到预感的通灵大师布朗女士，出版了一本奇书：《末日：关于世界末日的预测和预言》，书中有一段惊人描述，准确命中2020年的新冠肺炎！“大约在2020年，一种类似肺炎的严重疾病将席卷全球。疾病主要损害肺和支气管，当时所有的治疗方法都无济于事。比疾病本身更令人困惑的是，这个疾病会突然消失，就如同它突然来临一样，但是十年后会再次爆发，之后就完全消失。”这段原本从人们的记忆中消失的预言，它的作者已经于2013年去世。然而，新冠肺炎的爆发却将她的书重新带回公众的视野。目前，该书已经冲上亚马逊非小说类榜单第2名，数百名零售商正在销售书籍的复印版本，而正版的有作者签名的珍藏版本，价格已经炒到了500美元。美国的政府和公共卫生专家，反复在宣传各种措施，帮助人们保护自己，以避免感染新冠病毒。但是，另外一种“传染”是专家所无法停止的，那就是，新冠肺炎似乎是一个警示信号：我们已经处在“世界末日”。 http://t.cn/RdH7z5F 显示地图 [组图共3张] 原图 ,2020/3/24 7:35,0,0,0
IA2MdBl6F,各界导报社官微,男,陕西,116,99912,各界导报社官微:【#泰国确诊数一周内增5倍##曼谷一泰拳场馆确诊128人#】据日媒23日报道，泰国新冠肺炎确诊病例一周内增长约5倍，首都曼谷还发生一起聚集性新冠肺炎疫情，曾于6日在曼谷市内的隆宾尼体育馆参加和观看比赛的数千人中，截止23日已有128人确诊。首都曼谷自本月中旬开始关闭人员密集的体育馆、市场以及娱乐设施，以防止疫情进一步扩散。（海外网） 原图 ,2020/3/24 7:35,1,1,0
IA2LRbD29,河北青年报,男,河北,1151,1786746,河北青年报:【#全球确诊新冠肺炎病例超33万#，#世卫组织称新冠肺炎大流行呈加速传播#】当地时间3月23日，世界卫生组织发布第63期新冠肺炎疫情简报。简报显示，截至欧洲中部时间23日10时（北京时间23日17时），各国共报告新冠肺炎确诊病例332930例，新增40788例，死亡14510例，新增1727例。中国以外新冠肺炎确诊病例为251329例。         世卫组织总干事谭德塞在当天的记者会上说，各国向世卫组织报告确诊病例超过30万例，几乎所有国家都受到影响。新冠肺炎大流行呈加速传播趋势，从报告首个病例到第10万个病例用了67天，从10万增长到20万用了11天，从20万到30万病例，仅用了4天。（人民日报） 原图 ,2020/3/24 7:34,2,0,2
IA2LQ0Eqd,吉林省高速公路公安局靖宇分局,女,吉林,294,1335,吉林省高速公路公安局靖宇分局: 【吉林高速公安】护航保畅喜迎抗疫英雄荣归         晴空万里春明媚，抗“疫”英雄凯旋归。3月22日，下午14时许，在与疫情全力抗争，殊死博弈一个多月后，吉林省支援湖北医疗团队，首批返吉医疗队员不负重托，平安归来。 接下来的15天里，他们将在长白山度假区进行修整，充分地调养身心。        白衣英雄归来，自当最高礼遇相待！早在他们抵达长白山的前些天，欢迎仪式和交通护航工作就已紧锣密鼓地展开策划和筹备。靖宇分局虽然不能到现场迎接英雄们，但也要以最有力的措施，最周密的部署，最有效的执行，最崇敬的姿态为欢迎仪式做好外围安全保障工作。        由于靖宇分局辖区长长高速正是去往长白山机场的重要路段。分局对此高度重视，召开专项会议，积极研究制定护航方案，提升勤务等级，科学安排警力，预先对相关路段进行细致踏查，并在去往长白山机场途经的高速收费站口有序疏导交通，确保道路安全畅通，为欢迎仪式圆满成功保驾护航。     当天上午8时许，在对护航工作做好周密安排和部署后，靖宇分局领导亲自带队，深入辖区相关路段进行巡逻踏查，严防道路交通隐患，并充分安排警力在抚松、松江河、东岗、长白山收费站口严阵以待，对长长高速上的过往车辆进行有序疏导，全力保障道路交通安全，车流平稳顺畅，确保交通事故零发生。截至15时，参加仪式后的返程社会车流平稳过境。辖区高速公路交通秩序良好，未发生事故和交通拥堵。                 [组图共4张] 原图 ,2020/3/24 7:34,1,0,0
IA2LJtQix,易州司法,男,河北,16,4,易州司法:北京向当日献血者赠500元体检卡和口罩：北京市政府新闻办公室发布消息，为感谢献血者在新冠肺炎疫情期间无偿献血，3月23日起，除原有献血纪念品外，北京将向当日献血的志愿者发放价值500元的“关爱无偿献血者健康体检卡”和一次性口罩10只。本次活动至北京市解除重大公共卫生事件一级响应之日止。（新京报） 原图 ,2020/3/24 7:34,0,0,0
IA2LGytQZ,青岛新闻广播FM1076,男,山东,1091,324759,青岛新闻广播FM1076:#微讯1076#  昨天，青岛本地病例已经“清零”，但这并不意味着就可以放松大意。依据有关规定，从昨天零时起，所有目的地为北京的国际始发客运航班，均需从包括青岛、济南、天津等在内的12个指定的第一入境点入境。针对这一情况，我市在青岛流亭国际机场建设了入境医学排查方舱，第一时间掌控境外来青人员的身体健康状况，严防境外疫情输入。 ,2020/3/24 7:34,2,0,0
IA2Laisit,成都商报,女,四川,900,21020330,成都商报:【#美国确诊新冠肺炎超4万例#】据约翰斯·霍普金斯大学疫情实时监测系统统计，截至美东时间23日下午6点16分，美国已至少有新冠肺炎确诊病例43214例，包括死亡病例533例。23日，美国各州共报告超过100例新增死亡病例，这是疫情暴发以来#美国单日死亡病例数首次升至三位数#。死亡病例已至少遍及美国34个州、华盛顿哥伦比亚特区和波多黎各。美国总统特朗普23日签署了一份行政令，禁止囤积应对疫情所需的医疗物品，例如洗手液、口罩、个人防护物品等。美国公共卫生局局长杰罗姆·亚当斯23日警告称，美国年轻人感染新冠病毒的比例较高，这与其他国家的情况不一致。他警告称，本周美国的情况会更糟糕，而全美民众对这一威胁的重视程度不够，加州的海滩、华盛顿特区仍然游人如织。当天，密歇根州、印第安纳州、西弗吉尼亚州和俄勒冈州都颁布了“居家令”，加上此前已颁布“居家令”的地方州，已至少有近三分之一的美国人被要求待在家中。此外，马里兰州和马萨诸塞州州长下令关闭非必要的企业。弗吉尼亚州州长也宣布，该州所有公立和私立学校将在本学年剩下的时间里继续关闭。（人民日报） 原图 ,2020/3/24 7:32,22,7,8
