微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IABVg3KyR,Jayiven,男,其他,284,68,Jayiven:我在想，如果新型冠状病毒如果存在无症状的超级慢性传染者或者是体内已经有了病毒但是自身免疫的人，如果当解封的时候；这些人跟其他人解除隔离，重新与大众接触，是否又会爆发新的一轮疫情呢？？本文纯属个人的猜想#关注新冠肺炎##新冠病毒排毒时间比sars和流感更长##钟南山回应国内是否会二次暴发疫情# ,2020-03-28 01:03,3,0,0
IABV7dHSt,周z秀z秀,男,河北,43,52,周z秀z秀:大家还都是原来的样子，疫情期间最高兴的事情就是把你们都留在石家庄，现在的你们都在全球各个俱乐部，也有为扛着国旗为国而战的，虽然咱们选择了不同了路，但是因为足球能有你们这时候真的是最开心的时候，祝愿大家一切都好，这张照片唯一的瑕疵就是人不齐照片里绝大多数还是踢球去了上学的几个人里就有水平属实不咋地的我 http://t.cn/RJUvqD9 显示地图 [组图共2张] 原图 ,2020-03-28 01:03,3,0,0
IABUYlzuJ,网球之王美国风情画,男,海外,7,233,网球之王美国风情画:美国终于成功超越意大利/中国成为排名世界第一的“新冠病毒大国”！全美目前新冠病毒肺炎患者达到了惊人的85699例，日增16789例，死亡人数也飙升到1300！不愧是美国，仅仅用了一个星期就超越了中意两个月的疫情，多亏了混蛋总统创普的领导，他真得让美国MAGA(Make America Great Apocalypse)(让美国彻底完蛋！）他还恬不知耻又一次运用他的直觉，断定迫在眉睫的纽约州长科莫在夸大其词，纽约并不需要40000台呼吸机，给400台已经超额，毕竟他认为一般医院只需要两台呼吸机就够了！真是“天才的直觉”！纽约目前有39687名冠状病毒患者，急待救援，而这种略带调侃的自以为是的话居然出自一个美国总统之口，你认为我们美国民众的生存率还有多大？ http://t.cn/A6ZbXHRw ,2020-03-28 01:03,0,0,0
IABUWANap,海南身边那些事儿,女,海南,4489,28285,海南身边那些事儿:#美景依旧海南等你#【疫后最想去哪玩？海南最热三亚获双料榜首】居民和消费者对疫情后旅游的意愿怎么样?他们更愿意选择什么时间、目的地、旅游方式、#海口新鲜事##海口新鲜事#产品?携程大数据多项调查显示，疫后海南成旅游热门目的地。3月，海南三亚已成游客“疫情后最想去的心愿目的地”“国内景区复兴指数”双料榜首。 [组图共7张] 原图 ,2020-03-28 01:03,5,2,3
IABUIElgt,西非華文報,男,海外,74,5914,西非華文報:#几内亚比绍疫情# 为提高防控抗疫级别，阻击新冠肺炎扩散，几内亚比绍内政部长于3月25日发布全国禁令，3月26日起执行。具体如下：（一）在全国范围内实施禁令，仅允许居民在每日上午07-11时外出采购生活必需品。（二）限制政府部门人员办公数量，除保证军队、警察、医护人员及媒体、加油站、药店、银行等正常运转，政府公务员等其他人员暂停上班。（三）禁止出租车、公交车及摩托车等公共车辆上路，居民外出需乘坐自己的车辆，每辆车包括司机在内限乘3人。（四）自3月27日23时起禁止城乡间运输车辆上路。（五）以上禁令至政府颁布新命令前有效。 ,2020-03-28 01:02,1,0,0
IABUGkGPT,南昌市应急管理局,女,江西,88,18073,南昌市应急管理局:刚刚！江西省疫情防控应急指挥部发布第 19 号令江西省新型冠状病毒感染的肺炎疫情防控应急指挥部令第 19 号       为进一步落实分区分级精准防控策略，提高联防联控水平，方便广大群众出行，促进正常生产生活秩序全面恢复，省疫情防控应急指挥部决定：        一、坚决贯彻落实中央关于应对疫情防控的决策部署，所有入赣人员只要出示个人健康码（含“赣通码”或外省健康码）的绿码，且测量体温正常的，一律准予通行，不得采取任何限制性措施。         二、疫情防控期间，各地依据“赣通码”对在赣人员实行分类管理，绿码者亮码后可在各类场所通行，黄码、红码者遵从当地疫情防控相关规定。         三、无“赣通码”应用条件的老人、小孩及其他因客观原因无法申领“赣通码”的人员，可凭“社区健康证明或单位健康证明”等有效证明通过人工核验并经体温测量正常后通行。        四、全省所有社区（小区、村组）必须严格遵守“两取消”、“两保留”规定，即取消封闭式管控、取消限制人员进出措施，保留流动性管理、保留岀入人员体温监测和查验个人“赣通码”。         此令由各市、县（区）政府、防控应急指挥部执行，不得有误；对各地各部门执行不力造成严重社会影响的要追责问责。江西省新型冠状病毒感染的肺炎疫情防控应急指挥部2020年3月27日 ,2020-03-28 01:02,0,0,0
IABTBhddX,iCcexxi,女,海外,381,83,iCcexxi:我感觉遇到了平行世界的姐妹，超真实那种。1、同一时期失恋。(之后负能量抱团)2、一起被zm嘲笑多大点事怎么也走不出来。3、没约好的却在同一时间点吃着冻安慕希混蜂蜜。（从没跟对方提过次方法）4、出门百年不扎头发疫情第一次见就扎了头发。5、（没有很熟的时候）追男生的时候送礼物，对方都只收下了贺卡。6、女生中很多不能被接受的点都被我们接受，比如喜欢吃肥肠。（很多女生朋友不能接受肥肉）发生了很多同一时间同样的事情，这我一想说我还想不出来了，但是总是惊人的相似。未解之谜般的惊人。 ,2020-03-28 00:59,1,0,8
IABToxuvn,Catherine12300915,女,江苏,75,174,Catherine12300915:今天三月初五，彬彬3周又3个多月了。失眠的夜晚，彬仔睡的很香，有点打呼噜了。如果不是疫情，亲子班已经上了一段时间了。我一直担心的不会吃饭，依旧是不会。听说到了学校自然会，我也这么觉得的，饿了总归吃的🤓。小可爱嘴巴特别甜，时不时冒出一句，我是妈妈的小可爱，妈妈我好想你啊，抱着你的头亲亲，谁受得了可爱归可爱，叛逆的时候简直分分钟想塞马桶里面，看电视了就不肯走，挑自己喜欢的话听，其他的自动屏蔽，电梯和电话必须自己来先关。如果电梯门或者电视没有让他关或者开，一定要重新把电梯门关上，自己开了才会不哭，不然一定会哭到不肯回家回嘴越来越溜，以前都是“彬彬，臭彬彬，，他也是这么接话，现在直接，彬彬，臭妈妈了”体力方面，因为还没有正式跟其他朋友交手，但是拳头打我真的非常疼，走路还有的时候经常摔跤，但是总会自己爬起来，说 我没事或者我还好🤓。工作忙碌，希望你慢慢长大，爱你😘。 http://t.cn/z845X0a 显示地图 原图 ,2020-03-28 00:59,1,0,0
IABSv0wlE,枫叶语酱,男,其他,161,173,枫叶语酱:#西班牙呼吸机#震惊、无奈、理解。可毕竟资源就这么多，疫情当前，欧洲各国为了自身利益难以互相帮助，谁会给西班牙呼吸机呢？所以，在有限的资源面前，只能让相对更有可能活下来的人享受医疗资源，这是没办法的办法了。当前，除了中国，谁能提供大批的医疗物资呢？可即便是中国，短时间也无法完成那么多国家的医疗物资订单呀，何况是呼吸机。在这场疫情面前，我们中国人是幸运的，幸亏我们有强有力的政府和独特的社会机制，我们有足够的生产力，我们有大批像钟南山院士那样的医务工作者和科学家。对于西班牙和有类似情况的国家，我们只能表以同情和尽可能给予帮助。中国毕竟不是救世主。就是苦了老年人了。 ,2020-03-28 00:57,4,0,3
IABStc92a,榆林能化YECTC,男,陕西,34,55,榆林能化YECTC:一季度榆林煤价由涨转跌，传统淡季到来煤价会一直跌吗？2020年以来，在疫情的影响下榆林大部分煤企复工复产延迟，对煤炭生产及煤炭供应带来不利影响。后期复工复产进度加快，截止目前大部分煤企已经恢复正常生产，煤炭供应充足，反而下游复工进度不如预期，造成煤炭市场至今维持供大于求的局面。煤炭坑口价格一季度由涨转跌，马上进去传统淡季煤价会一直跌吗?分析如下：【产地方面】截止目前榆林地区大部分煤矿工人到岗率维持在较高水平，生产基本恢复正常，部分煤种库存偏高，外销不畅，内销煤场及焦化厂也压价明显。【长协煤兑现率偏低】因高速免费对于煤炭运输市场冲击较大，长协煤大多以火运为主，虽然铁路部门也阶段性的下调费用，但是汽车运输费用的大幅下跌，导致汽运的成本远低于火运，部分贸易商就放弃火运改为汽运，造成长协煤兑现率偏低。也有少部分贸易商为了保证铁路计划维持铁路发运，【进口煤方面】随着国际疫情的发展，进口煤近期也经历了大幅的下跌。3月份以来进口煤来源国依然是以印尼、澳大利亚和俄罗斯等国家为主，近日国际疫情愈发严重，进口煤方面也将受到影响。外交部、国家移民管理局发布公告：自2020年3月28日0时起，暂停持有效中国签证、居留许可的外国人入境。【下游方面】下游企业复工进度不如预期，导致上下游复工不一致。终端企业又压低采购价格，煤炭供应企业面对无利润和高库存的难堪局面，只能选择限量和停止采购。【煤炭进入传统淡季】4月中旬至6月中旬，被称为传统淡季，煤炭消耗偏低。【港口方面】港口库存偏高，港口截止03月27日，秦皇岛港库存合计639.5万吨，铁路调入量33.5万吨。曹妃甸港库存合计374.4万吨，铁路调入量17.6万吨。【六大电厂方面】电厂日耗增长缓慢，电厂截止03月27日，沿海六大电厂库存1741.97万吨，日耗煤59.94万吨，库存可用天数为29天。【油价大跌波及煤炭市场】煤炭和石油的互为替代品和两者有一定正相关系，油价的大幅下跌对于煤炭市场的波及逐步会体现。【各行业耗煤下降】据了解建材、化工等行业耗煤量都呈下降趋势。1-2月份，全国规上企业生产水泥14982万吨，同比下降29.5%。1-2月份，规上农用化肥料产量771万吨，同比下降4.1%。3月27日，国家统计局发布数据显示，1-2月份，全国规模以上工业企业实现利润总额4107.0亿元，同比下降38.3%。在41个工业大类行业中，4个行业利润总额同比增加，37个行业减少。主要行业利润情况如下：石油和天然气开采业增长23.7%，煤炭开采和洗选业下降45.6%，电力、热力生产和供应业下降19.4%，石油、煤炭及其他燃料加工业由同期盈利转为亏损。预计榆林地区煤价短期内继续承压运行，维持下行趋势。 原图 ,2020-03-28 00:56,2,0,0
IABSklFtk,池渐,女,江苏,119,7,池渐:看了好久海外疫情的新闻，其实好多天前就关注了，那个时候英国还没有发表关于“群体免疫”的看法。看着知乎热榜从之前的英国留学生要不要回国到现在民航取消好多线路留学生回不来，感想颇多。不同的人站在不同的立场，想法可能就会对立。海关防疫人员连轴转终于可以休息了，但是相对地很多留学生到了毕业季房租和签证到期还不能回国。大家都好惨。站在我的立场，肯定还是限制出入境更好，毕竟我的城市刚刚有了新的境外输入。我的心里是不想别人说我的gj不好的，看到别人说我也很难过，但是又没法否认她确实有很多不足。其实我关心这些也没有用，更应该管好自己。我家就是很普通的工薪家庭，妈妈是售货员，爸爸是电工，我是一个成绩不好的大学生。特别后悔当初因为地理原因没有报211，不然可以擦线进，只是一个普通双非，在大学里也没有好好努力。现在要准备考研也是三心二意的。今天要干的事情：烧午饭，拖地，整理书房，整理卧室，写完读书摘抄。 ,2020-03-28 00:56,0,0,0
