微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
J1bNKb9On,苏hh2i丶,男,广东,72,28,苏hh2i丶:昨晚朋友遇到点事，跟我聊了一会电话，再玩一会手机才睡觉，早上起来上班呵欠连天～同事问我昨晚干嘛去了，我说聊天一点左右才睡，他说那还叫晚我寻思着我是老年人跟你没法比哈哈哈。下午有同事请喝了一點點！突然的快乐！然后听说晚上二哥二嫂要回来吃饭，我在4.59迈着轻盈的步伐溜到了门口打卡走人，好像好久都没这么准时走了。因为这次疫情，他们计划在五一假期旅行的婚礼推迟到了十二月，这次也是三个月第一次回家来，所以爸妈还是很想他们的。我呢想着今晚不能运动了，肚子上的小腹肌可能保不住了，但还是吃了好多菜好多肉哈哈哈～好难得整整齐齐一家人一起吃饭了。饭后二哥二嫂送了妈妈一条珍珠项链，送了爸爸一串水晶，我就直接给了现金看的我大哥一脸懵逼，原来他不记得母亲节最后只能手机发红包了哈哈哈。二嫂帮爸爸戴上了那串水晶，说是对身体好，可以缓解压力情绪啥的，爸爸还挺喜欢的。突然我也想起以前大学也收到过一串，我的寓意则是带来好运，戴了很长时间以后有点松了又忘了在哪里可以调，就收起来一直存放在盒子里面了。自从上次爸妈坐下来沟通了以后，现在关系已经恢复正常了，我在家里也没有以前那样感觉气氛很奇怪了，看来家庭和睦真的非常非常重要！哦，刚才还吃了大嫂做的火龙果慕斯！上次给我做了一个芒果慕斯当早餐，办公室的同事每个路过都夸一遍，让我吃的都不好意思了总体来说咧，一天下来，还是挺开心的。对了，听说电影院快要复工了，虽然不知道新电影是不是能上映，就是特别期待呀。花木兰，黑寡妇，神奇女侠好多好多我都忘了也不知道推迟到了啥时候，就希望能早点看到吧，这么热的天如果出去耍也只能待在影院了吧      最后祝各位母亲母亲节快乐！      幼儿园流水账记录完毕 [组图共2张] 原图 ,2020-05-10 00:57,4,0,4
J1bzorLqI,celeryj2,男,其他,22,0,celeryj2:历经一年多，终究还是回归了你在的广州。因为，广州之于我，或许早已因为你而有了比原生的“家”更重要的意义。但，一下之间还是不知如何才可找到你，或者说，要怎样才能继续走回一起，噢应该说，现在可能已经有新男友的你，应该还是不想再被我打扰的了吧？……还是希望疫情快点结束，你可以早点回广州，不管怎样，都是好的。希望一个月后可以弹给你听：#世间美好与你环环相扣# http://t.cn/RJAMrCd 显示地图 ,2020-05-10 00:22,0,0,0
J1bxT82QY,Arrietty0207,女,海外,886,214,Arrietty0207:#在角落里长成太阳[超话]#今天母亲节了呢～这个点我母上大人肯定早早都睡觉了。因为疫情关系提前回学校到现在都三个月了，过年在家就待了二十几天真的是很难过了o(╥﹏╥)o麻麻最近这段时间工作好像很忙的样子，不能给她分担什么，只能好好做好自己的事情，不让她过多的担心。母亲节礼物早早地就送到她手上了，然后守着零点给她发了消息～永远爱我美丽的老妈希望全天下的母亲，永远健康幸福 原图 ,2020-05-10 00:18,3,0,0
J1bxgDUfS,石家庄热议,男,北京,4,40056,石家庄热议:【正常上班后没有通知就无故克扣员工工资，你们公司也这样吗？】#石家庄爆料# 网友：疫情放假期间，公司一分钱工资都不给，四月正常上班后 没有通知就无故克扣员工工资，没有协商的情况下 就少发工资！！想问下这种情况怎么维护自己的合法权益？还有正常算工资不应该除去节假日和休息日算应出勤吗？干的活比之前多，打着疫情的旗号，工资却发少了？（石家庄的事儿）#石家庄身边事# 关注@石家庄热议，看最新最有料的庄里热议！ [组图共2张] 原图 ,2020-05-10 00:16,0,0,0
J1bxe0jfi,笑May梅,女,广东,223,173,笑May梅:植物的成长离不开阳光雨露空气水，更何况是人的成长？！祝天下母亲们节日快乐安康吉祥如意！感恩母亲的哺育养育教育！感恩阳光雨露空气水等如母亲般无私的滋养！以及一切缘！🙏疫情至今第一次坐地铁出远门，破了二点一线的生活记录。感觉已经失去了与人交流的功能。今日再次回购图中白瓷，心生欢喜！ [组图共2张] 原图 ,2020-05-10 00:16,0,0,0
J1bwLjgFq,四月乘舟纵九洲,女,江苏,837,283,四月乘舟纵九洲:凡是小心翼翼的想追求完美最终总会给你打得落花流水也不是我想佛我可真太心累就让我做一个丧狗吧得过且过我可真是怀疑人生就是现在洲洲来鼓励我也没用啊疫情我也回不到学校不能在教务老师面前哭惨啊教务老师我好想你每当我一惨就格外想起你的好 ,2020-05-10 00:15,1,0,0
J1bwp9YEI,用户6507653663,女,其他,364,7,用户6507653663:是的，在全国抗疫关键时刻作为中华儿女本就应尊纪守法，高度配合来自各个方面的检查，不能因为是外籍就显得比国人更有特权，无视法纪，暴力抗法。此次疫情爆发之迅猛在我有限的生命中印象是史无前例。国家投入大量的人力物力就是为了防止疫情扩散，像这种为一己之私我行我素的人就改给予教训。从来没有想过在家里蹲是为国做贡献，但这次真的很感谢这两个多月家里蹲让我们得国家攻坚克难，终于渡过危险期，我们的生活终于恢复了平静，但还不能掉以轻心，还是得注意防护，爱护自己，爱护他人，这次的经历我由衷的觉的我更爱我伟大的祖国了。 http://t.cn/A6z8wGdZ ,2020-05-10 00:14,1,0,0
J1b3SByhH,直通非洲,男,北京,103,2207130,直通非洲:【马里华侨华人社团向马方捐赠防疫物资 】　　近日，马里华联会、华协会和中企协三家社团分别向马里机场、警察、宪兵等部门及巴马科大市场马方商户赠送口罩、洗手液、消毒液等防疫物资。　　近段时间以来，马里新冠肺炎疫情加速蔓延，截至5月7日共报告650例确诊病例，当地防疫物资极度紧缺。在马中资企业和侨团积极履行社会责任，向马政府部门和普通民众赠送防疫物资，体现了中马两国和人民之间守望相助、同舟共济的深厚友谊，受到当地政府和民众热烈欢迎和高度评价。（来源：驻马里使馆） [组图共2张] 原图 ,2020-05-09 23:04,6,2,0
J1b3N4GGu,拾柒潇锖_wei,女,黑龙江,212,474,拾柒潇锖_wei:见你一面有点难，虽然匆匆忙忙见了两三个小时，但我很开森，还有你记得我曾经喜欢喝雪碧🥤我和你的头发也都变短了，不再齐腰。点了辣子鸡、宫爆鸡丁、干煸豆角，都是配大米饭的硬菜，但缺少灵魂…大米饭🍚疫情期间在车里吃菜，辣的痛哭流涕…原因是没有大米饭真是奇遇了你的段子总那么多，生孩子是随便生的，如今他也变成帅小伙了一切都挺好的。 [组图共4张] 原图 ,2020-05-09 23:04,1,0,3
J1b3uq6eJ,咚咕龙咚,女,广东,435,143,咚咕龙咚:【深圳医保】经过我之前连夜搜集资料，简单整理记录一下深圳一档医保1、不需要去什么社康开转诊单，直接上医院去2、医保账户分为个人账户和统筹账户，按我的理解个人账户就是每个月工资里拿一点钱存进去，应该就是个人承担那部分，统筹账户就是公司承担那部分吧，就跟交保险一样3、所以一般看病刷医保卡用的是个人账户的钱，比如补牙我说可以刷医保，那就是个人账户的钱，实打实自己存的那部分4、统筹账户就是住院啥的花费比较大额，超过一定比例，具体多少我看了没记住，因为暂时用不着就懒得了解了，然后可以报销的意思吧5、受疫情影响，我们公司现实只交到今年1月啊，说是要等疫情结束统一补缴，存了半年个人账户才两千多，这下子补牙补掉1200，好不容易鼓起勇气拔牙连看好的医生放号提醒都开了，结果我怕剩下的钱不够啊，又躲一阵子咯，一次至少要拔俩颗，鬼知道多少钱，毕竟补一颗也要三四百，我这牙还不好拔 ,2020-05-09 23:03,0,0,1
J1b3s3vse,我是二姐夫,男,海外,965,126944,"我是二姐夫:【金山云ADR上市首日收涨40%】金山云控股有限公司(Kingsoft Cloud Holdings Ltd, KC, 简称：金山云)的美国存托凭证(ADR)在纽约上市首日大涨，这是冠状病毒疫情期间为数不多的首次公开募股(IPO)交易之一。该公司的ADR周五较17美元的IPO发行价上涨40%，收于23.84美元。金山云的主要投资者和客户包括中国软件公司金山软件有限公司(Kingsoft Co., 3888.HK, 简称：金山软件)和中国智能手机生产商小米(Xiaomi Corp.)。该公司3,000万份ADR的发行价位于预期区间的中点。每份ADR代表15股普通股。根据一份提交给证券监管机构的文件，上市前控股股东金山软件占金山云2019年收入的2.8%左右，而持有近16%股份的金山云最大客户和第二大投资者小米占其收入的14.4%左右。金山云通过IPO筹集了约5亿美元资金，但警告说，作为一家上市公司，该公司可能会继续亏损，因为它将投资于运营，并承担额外的费用。 ",2020-05-09 23:03,1,2,1
J1b3dC2Y2,想要有钱的虾,女,辽宁,71,5,想要有钱的虾:#肖战[超话]##肖战竹石#   肖战竹石  #肖战再唱竹石#  肖战再唱竹石大年三十，有疫情的阴霾笼罩，但阖家团圆依旧一片祥和，全家人守候在电视机前看肖战的小品，本来在玩手机的老公，见我一心一意地盯着屏幕，切了一盘水果，坐在了身边。有情人终成眷属，老公大喊：“亲她呀”[允悲]然后引来公公婆婆和我一顿大笑！全家喜气洋洋好不热闹！ @X玖少年团肖战DAYTOY 肖战竹石/肖战经典咏流传/肖战图片/肖战微博之夜/肖战帅/肖战千年一声唱/肖战动图/肖战采访/肖战照片/肖战神奇/肖战壁纸无水印/肖战私服/肖战壁纸/肖战表情包/肖战杂志 原图 ,2020-05-09 23:02,1,0,0
J1b3diU1s,直通非洲,男,北京,103,2207130,直通非洲:【驻坦桑尼亚使馆向在坦学子发放第二批防疫健康包】　　5月7日，驻坦桑尼亚使馆向在坦留学生发放第二批防疫健康包。驻坦桑尼亚大使王克、使馆文化参赞王思平出席活动。　　王克大使表示，同学们年纪尚轻，远离祖国和家人，在疫情期间最需要帮助的时候，使馆一直惦记着大家。王大使嘱咐学生们调整心态，坚定抗疫信心，避免不必要的恐慌，坚持科学防疫，严格做好自身防护，使馆将始终和大家一起共渡难关。　　自坦发生疫情以来，使馆第一时间采取行动，为我在坦留学生提供防疫指导和帮助，紧急筹措口罩、消毒液等首批物资向学生发放；积极组织学生收看钟南山等国内专家关于防疫抗疫的指导视频；发挥在坦中资机构和侨界的力量，协助学生解决物资采购不便等困难，切实保障我在坦留学生的健康与安全。　　学生们感谢使馆一直以来给予的关怀与支持，表示“健康包”使他们切实感受到祖国的关爱，坚定了大家积极抗疫的信心。（来源：驻坦桑尼亚使馆） [组图共2张] 原图 ,2020-05-09 23:02,4,1,0
J1b3baojc,我是二姐夫,男,海外,965,126944,我是二姐夫:【美国4月失业率创下14.7%的纪录】疫情导致企业停摆，4月份由此损失的就业岗位数量创下1939年有记录以来的月度最大降幅。相比之下，在二战结束的1945年，美国有一个月失去近200万个工作岗位。劳工部表示：“这些指标的大幅攀升反映出疫情以及疫情防控措施的影响。”4月份各行各业的就业人数普遍大幅下降，休闲和酒店行业的情况尤为严重，减少了765万个就业岗位。医疗保健、零售和专业服务行业的就业人数减少均超过200万。4月份新失业的美国人中有88%称被临时解雇。女性失业率的上升幅度大于男性。在所有族裔中，西班牙裔人群的失业率升幅最大，上升12.9个百分点至18.9%。白人、黑人和亚裔美国人的失业率分别上升了约10个百分点。4月份平均时薪较上年同期增长7.9%，这可能反映了许多低薪工人失业，而更多的白领员工在家办公。 原图 ,2020-05-09 23:02,3,4,3
J1b398f7c,xiaobudian的后花园,女,山东,0,3,xiaobudian的后花园:今天高校开学核验督导组来学校检查，市疾控检查隔离区和医务室，检查异常仔细，隔离区存在没有紫外线消毒表格，急救箱里个别药品过期，让从事这个行业近三十年的我无地自容，一天心里都不是滋味，自以为一向很仔细，信心满满地认为不会被督导组查出什么问题，出现这个检查结果，真是惭愧。晚上实在受不了内心愧疚难耐的谴责，主动微信上向管理医务的曹处长道歉，因为我犯下的错误，连累了总务处的两位处长。自疫情发生，全国禁足，大年初二开始，他们就在学校里加班加点，收集信息采购防疫消杀储备物资，设计合理疫情应急处置预案，一直忙！这样的结果所有的解释都是那样地苍白无力，真心道歉虽不能改变已经发生的事情结局，这种叨扰内心的愧疚不安还是要说出来，这样似乎好受些。无意的过失连累他人辛苦劳作的成绩，真心说声“对不起”。 ,2020-05-09 23:02,1,0,0
J1b2WrLF4,司法部,女,北京,275,1254727,司法部:【“援调对接”全过程服务，追回经济损失240万余元】疫情防控期间，广东省深圳市坪山区司法局不断探索法律援助与人民调解相结合的工作机制，在援助劳动者讨薪诉讼过程中，充分发挥人民调解化解矛盾纠纷的优势，让劳动者享受到更加优质、便捷、高效的法律援助服务，为企业带来便利，减少不必要的损失。近期，深圳坪山区法援中心通过“援前调解”“援中调解”“援后调解”的方式，化解了3起劳资纠纷案件，为劳动者累计挽回经济损失240万余元。http://t.cn/A6ATnqMP ,2020-05-09 23:02,25,4,3
J1b2R7zIa,Pooh盼盼,女,北京,791,147,Pooh盼盼:#肖战[超话]##肖战竹石#感谢肖战亮相北京台国际护士节特别节目“万物向阳，爱有力量”！我做为一名护士却没有机会去到疫情前线，留在原岗位值守，心里有过遗憾与失落！但依旧为自己是一名医护人员感到骄傲[心]今天看到战战出现在护士节特别节目中，兴奋得不能自已。我认为这是我护理工作十余年来，在护士节收到的最好的节日礼物！谢谢战战，谢谢你的出现，谢谢你参与致敬医务人员的活动，谢谢你在节目中唱我喜爱的《竹石》感谢让我们一起在各自的岗位上不负韶华，努力前行@X玖少年团肖战DAYTOY [组图共9张] 原图 ,2020-05-09 23:02,74,1,2
J1b2brgvz,边永元,男,陕西,6421,140421,边永元:【库克最新毕业演讲：后浪们，解放自己而后拯救国家[加油]】日前，苹果公司CEO库克通过在线的方式给美国俄亥俄州立大学的毕业生们做了一场特别的毕业演讲。他在演讲中回顾了上世纪的西班牙流感，并与当前的新冠疫情相对比，鼓励学生们在不利情况中分析有利之势，打造一个更好的世界。 http://t.cn/A6AWuImR ,2020-05-09 23:00,4,1,0
J1b29rjCt,深圳龙华发布,男,广东,193,37256,深圳龙华发布:【业态多元、创意满满……这里的夜晚又热闹起来了】新华社深圳5月9日电 人流如织的餐厅酒吧，创意满满的夜购夜游……在疫情防控常态化下，喧嚣与热闹回到了城市的夜晚。7日晚上8点，深圳福田一家烤肉店门口坐满了等待位置的客人。“福田区给消费者有补贴，今年五一的客流比2019年增长了10%左右，超出我们预想。晚上经常会出现排队，一般要到9点半排队现象才能减少。”店长邓其柠说。 详见：http://t.cn/A6ATEDn3 ,2020-05-09 23:00,0,0,0
J1b1ScNS5,河北官宣,女,其他,57,119231,河北官宣:【#2020全年票房损失将超300亿元#】受新冠肺炎疫情影响，国内上万家影城、6万多块屏幕，已经暂停营业超百天。在深圳的一家影城里，随处可见为春节档准备的指示牌，工作台上的时间表还停留在今年1月。据国家电影局统计数据，今年全年票房损失估计将超过300亿元，而随着疫情逐步缓解，影院正在积极备战复工。 http://t.cn/A6AYiKq2 ,2020-05-09 22:59,0,0,0
