微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
J0hBAdQyn,微微万象民生直通车A,男,山东,290,829649,微微万象民生直通车A:【#意大利累计确诊超21万例#，#意大利5月4日起全国逐步解封#】根据意大利民事保护部门公布的最近数据，截至当地时间5月3日18时，意大利现有新冠肺炎确诊病例100179例，累计死亡28884例，累计治愈81654例，累计确诊病例210717例，较5月2日18时新增确诊1389例，新增死亡174例，新增治愈1740例。当地时间5月4日起，意大利将开始解除全国“封城”状态，在严格遵守防疫卫生规定的前提下分阶段逐步复产复工，进入抗击疫情和恢复经济活动并行的第二阶段。意大利新冠疫情应急委员会特别专员阿尔库里表示，进入第二阶段后，该国将面临更加严峻的挑战，他呼吁民众切勿放松警惕，注意保持社交距离，做好个人卫生防护。 截至目前，意大利新冠肺炎累计确诊病例超21万例，位列全球第三；累计死亡病例近2.9万例。为应对新冠肺炎疫情，意大利从3月10日起进入全国“封城”状态，此后政府两次延长封锁法令。（人民日报客户端） 原图 ,2020-05-04 01:53,0,0,0
J0hBrEt43,Eliauk-jo,女,其他,129,95,Eliauk-jo:疫情以来家里久违的热闹好喜欢p2这张照片家人给的爱真的都是百分百的，自己属于这大家庭里的一份子真的好幸福！一点代沟都没，怎么开心怎么来，好想把所有的瞬间都记录下来，好温馨🌬🎂祝楠楠早日见到林俊杰，洒脱自在如愿更成熟更懂事，永远快乐…“小型赌场”搞起来👀搏一搏发家致富上一次养“多肉”还是在1223里，然后突然联想到那次大扫除😂，这次它开花了❗️❗️❗️“伏见桃山”真的好好喝🙆奶油一点都不腻，赶紧冲起来！ [组图共9张] 原图 ,2020-05-04 01:53,16,0,5
J0hypCUDA,楚大哈哈哈,男,河南,327,87,楚大哈哈哈:1370，至此～终！首先祝自己分手快乐，既然决定了离开，就不要想着回头，这次我没有醉，大一的时候你和我说分手，我当场难过的哭了，没有挽留住你，我去喝了白酒加啤酒，当天晚上醉的不省人事，还是被室友抬回去的，分开后我每天都在关注你的空间，那一次我们分开一个半月，这次因为异地的关系，我不知道为什么这么突然，年前你还说要吃夜小红，虽然因为疫情拖到现在，我以为我五一回来我们会有那种再相逢的感觉，其实并没有，等来的却是你和我说分手的事情，不想说了，觉得自己现在真的像鬼一样，四处游荡， http://t.cn/RghlcLS 显示地图 [组图共2张] 原图 ,2020-05-04 01:45,2,0,2
J0huLB6Ms,Katrinabc,女,黑龙江,649,230,Katrinabc:#李易峰[超话]##祝李易峰0504生日快乐#生日快乐~ @李易峰 啊 真开心啊 真的好喜欢你啊    这个突如其来的疫情 让我又回到那个最最最疯狂的喜欢你的状态 ！“当我长大了 或者到了人生的另外一个阶段 去回忆  在曾经疯狂的那一段的时候 不停的在追逐一个少年 他叫李易峰”          可能有一天，我们会要忙于生活、喜欢变得平淡，李易峰真的慢慢放在了心里后边的位置，当我在把他拿出来的时候，我肯定！ 依然会很幸福！[心]   所以 现在 喜欢 就毫无保留的喜欢下去吧！！我今天能发上100条微博嘛哈哈哈哈~~生日快乐！ http://t.cn/A6AJGJ4P ,2020-05-04 01:36,0,0,2
J0ho0Bla0,枝满春华,女,其他,27,6,枝满春华:背景是疫情以来开始捣鼓烘培，兴冲冲的买了烘培用的相关工具，然后窝在房间看裱花相关的视频。妈妈这时下班回到家敲敲门进了我房间，语气平淡但是暗含自豪：“这种程度的话我也会哦。”我很震惊：“怎么可能，你上次烤蛋糕还烤坏了 。”妈妈：“我那是工具材料不足，我年轻的时候可还是去跟师傅学过，做过蛋糕师的，最厉害的是我做过六层的蛋糕呢！”我：“哇！！！”妈妈在成为妈妈之前，像一个骑士一样有过许多的冒险，我长大以后只能听着妈妈说她的传说。 ,2020-05-04 01:20,0,0,0
J0hnzqskS,Milesin-阿峻,男,其他,139,150,Milesin-阿峻:#疫情期间的学生寝室# 苹果变成了苹果干还带蛆的那种 乌鲁木齐·新疆农业大学  显示地图 原图 ,2020-05-04 01:19,39,0,24
J0hlb5mKc,小薛在这里,女,四川,299,140,小薛在这里:会担心我吃不够想吃的东西，然后帮我把吃的藏起来的两个男人就是爷爷和王克蒙了叭 过年前亲戚要到爷爷奶奶家住，有弟弟妹妹，那时候回爷爷奶奶家陪爷爷奶奶买了零食 走的时候爷爷偏要我带一些走 结果因为疫情拖到今天才又去看爷爷奶奶，也要拿出一包零食说他帮我放柜子里收着的，弟弟妹妹吃零食吃太快了怕我如果过年要去没有零食吃结果买的那一大包零食我就是分成两次带回来自己家而已还有王克蒙 记忆最深的一次就高考完的暑假和他还有我的脸一起去重庆玩，叫上了我妹妹，晚上吃烧烤外卖  妹妹一直在喝饮料 他知道我喜欢喝养乐多害怕我妹妹喝完了我没喝到提前偷偷的收了两瓶给我留着小薛就这样被一老一少悄悄宠着 ,2020-05-04 01:13,4,0,6
J0h0R8T3a,森林巨鲸,女,广东,95,26,森林巨鲸:第八十一天，上课+练琴的一天，因为怕被老师批评，所以这周我都把重心放在加伏特上了，拜厄的没怎么练，上课的时候，一直担心老师会批评我加伏特没弹好，结果老师说我弹得还不错，倒是说了我拜厄没弹好，一看就像赶出来的的确，我都没练几遍，这周要把重心放回拜厄上了，老师说我拜厄欠太多了，要加快进度把拜厄弹完，开始599，唉……这周苦练吧祈祷疫情快快结束🙏 原图 ,2020-05-04 00:23,0,0,0
J0h0iehr2,四四princess,女,湖北,37,40,四四princess:时隔三个月我终于又回到武汉了，回来之前在微博、朋友圈看到很多朋友游玩的照片，照片中除了大家都戴着口罩，似乎一切还是以前的样子。但昨天下了高铁去了趟卫生间，整个通道没有一个人，也没有一户商家在营业，透过玻璃窗可以看到很多商户已经搬迁了，室内丢弃着乱七八糟的物品。厕所也不再有人排队了，厕所隔间的门嘎吱嘎吱作响，我站在镜子前洗手听着水声哗哗的响，突然想到会不会从身后跑出来一只丧尸来。坐在的士上，看着窗外熟悉的街景，跟师傅讲着疫情的话题，脑子里蹦出来釜山行、瘟疫、流感等电影的画面，在那一瞬间，后怕、劫后新生等各种复杂的情绪立刻涌了上来，我突然发现原来武汉这座城在我心里比郑州要重要，原来我这么喜欢武汉……… ,2020-05-04 00:21,0,0,0
J0gZG8ehu,hateWeibo,男,北京,58,453,hateWeibo:特朗普和拜登各自的阵营4月都以对方的对华姿态为焦点推出视频广告。特朗普阵营提及拜登过去的言论批评其软弱姿态，拜登阵营则围绕新冠疫情对策回击称，“特朗普在1到2月称赞了中国15次”，双方在竞争谁更加强硬。  　　近期在美国，对华强硬姿态获得了跨党派的支持，民众对华感情也很差。皮尤研究中心4月发布的调查显示，66%的受访者回答称对中国持“负面看法”，为2005年以来最差。可见对华感情由于新冠疫情进一步恶化，轻易表现出融合姿态在政治上是危险的状况。  　　尤其是在可以左右大选局势的中西部双方势均力敌的州，很多人认为自由贸易剥夺了他们的工作机会，对于美中贸易褒贬不一。  　　然而，特朗普为了推进谈判曾多次夸奖中国是事实，拜登也因在倡导国际合作的奥巴马政府中曾参与促使中国和平崛起的相关政策而受到批评，两人都存在硬伤。 ,2020-05-04 00:20,0,0,0
