微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IBnpXAE2B,用户7355348660,男,广东,118,21,用户7355348660:这两天，一条重大消息在互联网上刷屏，那就是美国特朗普政府准备对中国华为实施新的制裁。美国现在疫情泛滥到不可收拾的地步，还在幻想动用国家力量打压一家中国民营企业，简直是丧心病狂。美国连小小的新冠病毒都抵挡不了，还妄想阻挡华为前进的步伐，那是痴心妄想。看来新冠病毒比恐怖分子还厉害，打了美军一个措手不及。 原图 ,2020-04-02 01:58,0,0,0
IBnnR1u0t,猫猫大战柴犬,女,广东,1538,205,猫猫大战柴犬:就这次新冠肺炎发言吧，（我的言语可能在某些人眼里很圣母，这是我自己的微博。）我真的搞不懂某些网友希望米国的人si多点的话语是怎么说出来的......政府的疏忽大意是和政府有关，大部分民众和我们一样刚开始都搞不清楚状况，更何况他们的政府为了不引起恐慌说了什么谎话大家还不知道吗，民众不清楚导致盲目自信，所以引起大规模的传染不是和我们国家一样吗？对于那些希望别国死的人数越来越多的人我真的不理解，任何一个人都有价值。si亡人数新增的任何一个1，都有可能是别人难以泯灭的伤。我自从新冠肺炎以来留了很多泪，有被警察过劳si流泪，医生护士感染si流泪，又或者是患者的一位亲属过世而感到悲伤。世界疫情爆发时，我对一个西班牙的婆婆印象很深刻，她手颤抖着缝着口罩，说我们国家一定能撑过去的。别人的命就不是命的吗？希望别人越si越多就真的让你感觉到爽，感觉到复仇的爽感了吗？我感觉因为这种事情带来爽感这个情感不值得被提倡。 ,2020-04-02 01:53,0,0,1
IBn4c7Q1J,布哈拉丝绸,男,海外,1773,3332,布哈拉丝绸:【#河南郏县全面封村封小区#，此前发现2名医生为无症状感染者】       河南郏县2名医生为无症状感染者引发关注。4月1日，郏县疫情防控办下发文件，要求全县封村、封小区，所有人员凭证出入，除超市、医院、农贸市场等，其他经营场所一律暂停营业。3月31日，河南要求加强无症状感染者管理。http://t.cn/A6ZNK0m3 ,2020-04-02 01:04,2,3,5
IBn43fJ51,岳阳吃货局,男,湖南,467,661347,岳阳吃货局:#愚人节# 你犯傻没？四月一号的第1个小时我就………昨晚十二点多突然发现，微博的互动榜忘截图了，本来上个月就承诺了，会对活跃度最高的三位小伙伴奖励（没有很物质🎁就是自己做的彩色棋）😱那一瞬间惊呆！因为已经12:00转点，想看上一个月的数据，怎么都看不到的（甚至还去问了微博的大客服，他说这个也没办法的）感觉答应了大家的事情没做到，第1个小时心情就有点郁闷了>_<||  当时承诺发的原博在这：http://t.cn/A6Zpa7vC于是闷闷的睡了，一早上醒来居然有人说要到我家来钓鱼，我的天，本来一大早有事情要安排的，要不然也不会起这么早哇！接着过了一会儿，别人真的来了！并且还真的钓了鱼，吃了饭再走的这日子选的可真够好的………接着到了下午，突然想着这个头像用了好几年了，最近在做皮具玩，就想着做几个小玩意（可能会做钥匙扣）打上头像logo，然后作为小伙伴们互动榜的奖励，心想着也给作者送一份嘛，毕竟用了这么久头像了，希望能表达自己喜欢的人或者物一点点感恩吧接着就在群里随意问了问，还准备发博大肆寻找的，那种有奖励的寻找，结果在几个小伙伴的提点下几分钟就解决了这个问题，就是@颜文字君 画的！感觉这缘分也太奇妙了，今天也不知道是什么灵感，突然让我问出了这个问题，刚好碰到小伙伴超专业的，真是瞌睡碰上枕头了，太巧了！到最后私信那位小伙伴，居然也没收下我的一点小意思🥰而是选择了我手工做的小东西，瞬间感觉这个世界真是太美好了，这是什么神仙小伙伴哇？后面想着名字也用了这么久了，一年仅有几次的改昵称机会，是不是用一下呢？最近有点不太想当团长了，有些热度我也不想蹭，然后也不想被重名（前些天居然有人开始问我买菜了）于是心想就改一下吧~ 改的时候才知道，原来博主改名没那么快，要几天审核的，但是今天居然一天不到就审核下来了！运气真的好棒！应该是疫情期间很乖的奖励吧👻买菜都只出去了一两次呢！还给医院捐了物资，引领小伙伴们把泳镜都捐到医院替代隔离防护镜，我真棒！这期间作为一个美食博主，没有发过一篇外面的美食，不想挑起大家出门的渴望，还发动了#宅创争霸赛# ，私认为作为一个美食博主，也应该有些觉悟，带领吃货小伙伴们乖乖的待在家做美食！所以，经过这次组织的考验，即日起任职，你们可以叫我什么啦？#局长日记# 今天的流水账就到这里啦~ [组图共17张] 原图 ,2020-04-02 01:04,44,0,18
IBn3WqXYf,肥肥的心情日记本,女,海外,437,110,肥肥的心情日记本:今天是2020.4.1因为疫情在家的大四狗马上要变成幼儿园老师了，天天带娃。我的宝贝侄女三岁半了，从放假到现在差不多两个半月时间但她长得好快，有时候心情很丧或是很烦的时候抱着她，看着她靠在你怀里熟睡样子，看着她扭动着小小的身体在跳舞，还说不清楚话就学着呀呀唱歌的时候就会觉得所有的烦恼都在那一瞬间消散了。听她用奶奶的声音喊我然后张开双手朝我跑过来，抱着我大腿撒娇让我和她做游戏，和我分享她最喜欢的零食和玩具，过马路时会拉着我的一个手指头，害怕的时候会搂住我的脖子靠在我的肩上，开心的时候会对着我哈哈大笑，这些她自然而然流露出的感情会让我觉得我也是她值得信赖的人，被人需要的感觉真好！有时候你和她对话，她明明听不懂，却还是会歪着头像是在思考一样在听你说，其实小孩子在知道谁对她好之后她自然而然也会对你好，她会说“我俩是好朋友，我会保护你的”，有一天我问她“孃孃以后生一个小妹妹出来和你玩好不好？”她说“给她玩具冰淇淋饼干裙子”我都想不到她会这样说，现在我给她的爱她以后也会给我的孩子是一件多么感动的事呀！今晚我陪着她边玩边吃饭的时候，她突然抬头对着我喊了一声妈妈，我说我不是妈妈是孃孃，她反应过来的时候还不好意思地笑了笑，她可能觉得好玩，在我捏了一个饭团给她的时候她又故意地说谢谢妈妈，然后又捂着嘴说不好意思是孃孃，吃了一个饭团之后她还要，给了她然后又继续喊谢谢妈妈，就这样在她喊了我四次妈妈之后成功地将晚饭喂给了她。妈妈这个词果然是最动听的，在我第一次听到的时候心里咯噔一下突然鼻头酸酸的，竟然有点想哭！她才三岁半但是今晚帮着我收碗洗碗，看着她小小的手突然有点伤感，希望她永远做个宝宝不要长大，这样她就可以饿了就哭困了就睡，不必像大人一样有各种各样的烦恼。以此文章收藏一个三岁半的宝宝带给我的开心和感动！ ,2020-04-02 01:04,1,0,0
IBn2hzoOX,嗡啊嗡吴嗡嗡,女,其他,482,1115,嗡啊嗡吴嗡嗡:命中注定 很矛盾这四个字 不应该在失败的时候说  因为人不能将自己的不努力归咎于命 人还是要努力但是对于爱情 生命 甚至天气 就应该多多相信这四个字 不要过于执着 放宽心去活 我本来也不信的 但经历了上年 我不得不信 命中注定是真的 再想想 今年的疫情 多少人没有斗过病魔 丢下了心爱的人 丢下了亲人 多少人失去了爱人 多少家庭变的破碎 想想一月头大家都在准备着过个好年 谁知道转眼就就变了这样 该来的来 该走的走 留不住也求不来 努力做好自己 有的时候好好珍惜好好爱护 就足够了吧。 ,2020-04-02 01:00,0,0,2
IBn2hlsbt,老鱼-北购联创始人,男,辽宁,374,10540,老鱼-北购联创始人:#日本政府为全国住户发布口罩#【安倍：政府给全国住户发布口罩，一家2个】随着新冠肺炎疫情扩散，日本口罩匮乏的状态持续。在这种状况下，日本首相安倍晋三4月1日宣布，日本政府将为全日本所有住户发口罩，不论年龄，每家住户发2个布口罩。报道称，上述措施将于下下周开始施行，确诊病例数多的都道府县优先发放。 http://t.cn/A6ZN87nR ,2020-04-02 01:00,1,0,0
IBn18DX3N,用户7413696414,男,其他,27,1,用户7413696414:看到今天就有在英国留学的小留学生被专机接回国家了的新闻，很是震惊。很是不理解，在我看来他们的回国对于整个国家都没有好处：1.200名小留学生首批回国，这是给世界上在外小留学生来了一个口子，他们都要求回国怎么办；国家身体有能力承受几十万人的隔离检测；2.他们回来是否能接受集体隔离，他们的父母会不会利用金钱，关系搞事情，把自己的孩子悄悄带走，如果发生这样的事情，他们所在的小区怎么办；3.现在讲究的是一个人人平等的社会，已经出现了很多因为家里有钱惯出来的不良现象了，“我家里有钱，你能把我怎么着”，把这些小留学生接回来，只会进一步造成阶级的概念，会给国内孩子造成自卑的心里；有几个小留学生不会把这件事情当做和同小区孩子吹嘘的资本，“我是国家接回来的孩子，你是吗？”4.这些孩子的回国，让国内的家长怎么想，同样是国家的孩子，为什么就要矮人一等，大家苦苦在家坚持了两个月了，有很多负面的情绪可不是揍孩子一顿能解气的了，在遇到那些有钱就嘚瑟的家长，很有可能会出现集体群殴事件，不是一起事件，而是多起事件，发生这样的事情，一定会引起生活的一定动荡的；5.国内疫情的二次爆发，到时候整个国家都会被疫情笼罩，到时候国内完全自顾不暇，对于一些外国来讲，就可以进一步抹黑我们的国家，把“疫情”归属于我们国家引发；6.到时候是否还处于人道主义救援，救就代表国内会有一大批患者面临死亡。不救，全世界都会把矛头对准中国，甚至会引发欧洲国家一致对付中国，引发新的战争，当一些国家无力救援的时候，引发战争，转移民众的视线，是最好的方法，打消民众对于国家政治人物失望，把民众的集体民族荣誉感充分的调动起来。 http://t.cn/RJwKRD0 显示地图 ,2020-04-02 00:57,0,0,0
IBn0Jzhpd,宋中清主任律师,男,北京,9962,200130,宋中清主任律师:#肺炎[超话]##抗疫案例# @人民日报 【#广州通报外籍新冠肺炎患者打伤护士#：已立刑事案件调查】据@广州公安 ：广州市公安局新闻办公室今天（4月2日）凌晨0时40分通报：4月1日7时28分许，广州市公安局110台接到报警，称市第八人民医院嘉禾院区住院部一楼隔离病区（以下简称“市八医院”），有一名外籍#新冠肺炎#确诊患者不配合治疗，并将一女护士打伤。广州白云警方立即派员到场处置。经初步调查：当天7时20分许，市八医院隔离病区女护士汪某请一外籍新冠肺炎确诊患者OKONKWONWOYE CHIKA PATRICK（男，47岁，尼日利亚籍）抽血检查，该患者不予理睬，还紧随其后试图强行走出隔离病房。护士见状立即将其阻拦，被其推倒在地殴打并咬伤脸部。经法医检查，护士汪某面部、脖颈处以及腰部都发现损伤，鉴定为轻微伤。该外籍确诊患者3月20日自境外入境广州，接受新冠病毒核酸检测呈阳性，23日被送市八医院进行隔离治疗。目前其核酸检测仍为阳性。目前，该医院已加强内部隔离区安保力量。同时，广州警方已立刑事案件对此事进行调查，并进一步加强了对医院内部及周边的安保工作。涉案嫌疑人目前正在警方监管下隔离治疗，待其治疗结束，警方将立即对其采取刑事强制措施，并依据中华人民共和国传染病防治法、刑法、外国人入境出境管理法等法律法规，坚决依法严肃处理。警方重申：疫情防控期间，所有入境人员都应严格遵守中华人民共和国传染病防治法等相关法律和疫情防控相关规定。对虚报信息、隐瞒病情、逃避隔离观察等拒绝执行疫情防控措施的违法犯罪行为，公安机关将依法追究其法律责任。 原图 ,2020-04-02 00:56,8,0,30
IBn0qnPNN,裙子看世界,男,上海,1234,88092,裙子看世界:据英国SUN报道，伦敦疫情病死590人后，正在开建第二座临时停尸房，停尸房占地334英亩，这里距离第一个停尸房只有11英里，靠近伦敦金融城公墓和火葬场，停尸房将用作举行葬礼或火葬前的举行场所，但是，死者亲属将不得探望。纽厄姆市市长罗克萨纳·菲阿斯说：“该设施将作为举行仪式的场所，进行有尊严的火葬或安葬，将亲人送上他们最后的旅程。”。之所以要建第二座停尸房，因为之前的威斯敏斯特的公共停尸房只有102位置，第一座临时停尸房估计也满了。面对疫情，我们举国之力建设方舱医院，一批批医疗队进行饱和式救援，他们其实也不缺地也不缺机械设备，为什么应对策略差异那么大？西方人为什么心那么大？我觉得，根本差异是东西方的生死观。西方文化是正视死亡的，他们认为“死亡并不可怕，可怕的是沉迷于肉体之欢而不能获致超越”，苏格拉底、柏拉图、海德格尔都是把死看作生命的精神升华，西方死亡教育非常普遍，英国甚至给年龄达到11岁儿童开始死亡相关的课程。东方对死亡则是排斥的、回避的，我们普遍对死亡有悲哀感和恐惧感，因为“死”就意味着对“生”的彻底否定，孔子说：“未知生，焉知死？”孔子的意思是，要把注意力都放在对生命社会价值的追寻，而不要分心去考虑死亡及死后世界的问题。#全球疫情# #海外抗疫日记# [组图共9张] 原图 ,2020-04-02 00:55,1,0,0
