加重,164.1519570554144,neg,2,v
呼吸道,162.83879385149808,neg,3,l
感染者,160.9663467940423,neg,3,n
症状,146.10689763004285,neg,2,n
流感,145.69407167562812,neg,2,n
疑似,141.85568881301157,neg,2,v
发病,136.14869837889955,neg,2,v
确诊,134.30207417603202,neg,2,v
病例,134.12200248586362,neg,2,n
潜伏期,133.32998503162557,neg,3,t
诊断,131.91954696301906,neg,2,v
无症状,131.37549720467453,neg,3,i
传染,130.9091683810195,neg,2,vn
阳性,130.29550503758804,neg,2,n
发烧,126.66593185520364,neg,2,v
病死率,123.22764571881868,neg,3,n
不明,119.59508640885133,neg,2,v
者,117.47076474467123,neg,1,k
咳嗽,117.27852391504987,neg,2,v
王某,115.23361389662408,neg,2,nr
排除,115.11209151470611,neg,2,v
传染病,114.47265531501083,neg,3,n
导致,114.37729860594578,neg,2,v
造成,113.63621008503543,neg,2,v
感冒,112.62639568870355,neg,2,v
携带者,112.26108943696143,neg,3,n
CT,111.87394935507055,neg,2,eng
日经,111.78481862171655,neg,2,d
密切接触,108.67159178771894,neg,4,l
史,108.4149054572606,neg,1,nr
高烧,108.38386850643542,neg,2,v
轻症,108.37505857387004,neg,2,n
就医,108.18009785124238,neg,2,v
呈,106.41692156526042,neg,1,v
也就是说,106.20117658025072,neg,4,l
途径,105.95030609954215,neg,2,n
说明,104.69169785728191,neg,2,v
例,104.37815841945871,neg,1,v
病症,104.14986770260259,neg,2,n
低烧,103.48621242182415,neg,2,v
大约,100.55333169081578,neg,2,d
严重,100.3258884848165,neg,2,a
全身,99.88898349513222,neg,2,n
有没有,99.56149062002291,neg,3,v
怀疑,99.5028850543419,neg,2,v
检测,99.2579628588,neg,2,vn
早期,99.09454054574658,neg,2,t
死亡率,99.05869574211019,neg,3,n
流行病学,99.01339015241507,neg,4,n
总数,98.36714665821495,neg,2,n
自然选择,98.03288261815548,neg,4,l
病情,97.72072579427999,neg,2,n
艾滋病,96.81584751256841,neg,3,n
路透社,96.00065334266439,neg,3,n
一旦,95.67968793736529,neg,2,d
死亡,95.54054423843822,neg,2,v
传染性,95.43089872322429,neg,3,n
初期,95.09126255263388,neg,2,t
个案,94.8032166598439,neg,2,n
症,94.70464034709337,neg,1,zg
疑似病例,94.70309344203415,neg,4,n
加剧,94.61621845716023,neg,2,v
自愈,94.4990809153856,neg,2,d
标本,94.49068899273291,neg,2,n
男性,94.37455124286987,neg,2,n
引起,94.32590624654503,neg,2,v
接触,93.62184265427851,neg,2,v
或者,93.39482319974479,neg,2,c
传人,92.89244467583896,neg,2,n
粗,92.71349632557234,neg,1,a
几率,92.66775197793976,neg,2,n
肺部,92.48724244225575,neg,2,n
传染源,92.19185625782978,neg,3,n
血清,91.84814964094807,neg,2,n
传言,91.25866011061638,neg,2,n
合并,90.42427626521521,neg,2,v
境外,89.62804130324456,neg,2,s
病原体,89.41938389622638,neg,3,n
发热,89.2054164467143,neg,2,v
结果,88.9256046861905,neg,2,n
病征,88.8613133979957,neg,2,n
相比,88.68560748435719,neg,2,v
西班牙,88.38079877684154,neg,3,ns
近距离,87.96167283592615,neg,3,l
最新消息,87.4334951172016,neg,4,n
住院,87.29304525532109,neg,2,n
假,87.22701291165508,neg,1,n
入院,86.81767292726397,neg,2,n
观察,86.41861842633185,neg,2,v
是否,86.39937270371988,neg,2,v
恐怖,85.65117996227869,neg,2,a
慌张,85.63192760756492,neg,2,a
未,85.52376643233545,neg,1,d
担心,85.26461029798391,neg,2,v
新增,85.13471715472333,neg,2,v
床位,85.01083774778914,neg,2,n
并发症,84.89431519292661,neg,3,l
复阳,84.85269740137137,neg,2,n
入境,84.72068475743009,neg,2,n
流感病毒,84.35770295923612,neg,4,n
死亡数,84.17071461714426,neg,3,n
或,84.08173776435993,neg,1,c
下降,83.8213826236235,neg,2,v
轻度,83.52129829665486,neg,2,d
郭某,83.51603641431923,neg,2,nr
调查,83.41636851724036,neg,2,vn
埃,83.35439478920401,neg,1,ns
升至,83.16336459180734,neg,2,v
爆出,83.05550405244837,neg,2,v
病毒感染者,82.81995888512117,neg,5,n
病亡,82.711160682839,neg,2,v
人群,82.54858775566589,neg,2,n
就诊,82.3944557667821,neg,2,v
群聚,82.36686539165791,neg,2,v
害怕,82.24759407744811,neg,2,v
尚有,82.11448756687464,neg,2,v
证实,82.08830938044832,neg,2,n
指,81.8084676722036,neg,1,n
一律,81.71431550865921,neg,2,d
较,81.63590944124311,neg,1,zg
流行,81.60995593766765,neg,2,v
疾病,81.4546974817109,neg,2,n
风险,81.40340510032775,neg,2,n
收治,81.30901625172515,neg,2,n
流行性,81.19766065390341,neg,3,n
危害,81.15789926216556,neg,2,n
阴性,80.89621044980734,neg,2,n
治疗,80.80498827520628,neg,2,v
估计,80.80158448497306,neg,2,v
H7N9,80.59742591797443,neg,4,eng
直报,80.35633586081192,neg,2,n
不适,80.14925619852615,neg,2,a
某某,80.10345535585859,neg,2,r
无效,80.08449162814301,neg,2,a
人因,80.01382127568931,neg,2,n
推断,79.7351311803345,neg,2,v
乏力,79.53638677779685,neg,2,a
转至,79.31986084286413,neg,2,v
率,79.22731251875582,neg,1,v
构成,78.70915679290479,neg,2,v
患病,78.37927130046408,neg,2,n
病毒性,78.34365773859359,neg,3,n
伴有,78.28209702354302,neg,2,v
致死率,78.2690209350958,neg,3,n
例在,78.13377531481419,neg,2,v
传播,78.06793103454652,neg,2,vn
疗法,78.02385041509844,neg,2,n
发现,77.99635620833126,neg,2,v
低,77.97492107386906,neg,1,a
新病毒,77.84717552794666,neg,3,n
