微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
Iz5Uu0csM,困困的七七-,女,海外,273,512,困困的七七-:不知不觉就成了英国留守儿童疫情蔓延也要开始三个月闭关生活了这应该是疫情结束前最后一次精致化妆换装自拍了吧我还有coursework，finalballball英国人民重视起来吧 英国  显示地图 [组图共4张] 原图 ,2020-03-18 01:43,13,0,20
Iz5wjwXhM,百般娇宠qvq,女,其他,115,47,百般娇宠qvq:#巨蟹座[超话]#我要被摩羯座搞疯了从疫情开始到现在，我们聊了也大概这么久吧，其实咋俩是高中同学，认识好久，只是之前都不熟，突然我跟他在着个寒假，就频繁聊天，我发现他是个很温暖的人，会照顾我的感受，会帮助我很多事情，还很幽默，我是个笑点低的人，所以我感觉跟他聊天蛮好的，渐渐的咋俩就有点暧昧了，就我们会说晚安，会说想你了，会发爱心，可能会有的带着聊天的那种玩笑，比如哈哈哈哈我就是想你了，大概两个都怂…不过有时候他真的会很认真的说，我爱你，我想你了，这里要告诉你们他是一个特别皮的男生，就是我分不清他是在瞎说还是用心的，挺正常的吧，有时候我也会跟他开玩笑说我好喜欢他，于是我们每天都会有交集，我的感受也慢慢变化了，有时候我话都没说完，他都知道我想说啥，感觉就很照顾我，关心我，但是就在刚刚，我因为家里的事情哭了，其实没多大的事，我就开个玩笑说刚刚我哭了，具体也不说了，然后他就突然很紧张说你怎么了，谁欺负你了，怎么回事，但是我逃避了话题，跟他讲了别的，讲着讲着他突然又问谁欺负你了，是谁，我还是没说，毕竟家里的事情我也不知道怎么开口，我就简单的说“没事就是被说了一下”，他还是问 谁？ 我一直没回他消息，我也在纠结，因为我是一个特别不想跟别人说我的一点小事，毕竟我自己觉得不重要，他可能知道我不想说了然后就说“算了”，我怕他生气，后面就开始跟他聊天，他回复就有点怪，嗯 噢 哦 的，mmp我瞬间不知道咋办，而且我跟他说晚安，他以前都会回我晚安啦，好梦，可是他刚刚竟然回哦，我…但是过来一会，他又发了晚安还有爱你，我不知道啥意思了，这到底是生气了还是咋的，我懵了（我俩现在没在一起） ,2020-03-18 00:44,3,0,11
Iz5vXlvQe,屁晨是我小宝贝,女,其他,91,1,屁晨是我小宝贝:#谓之太一[超话]#喜欢太一..一年多了，不怎么用微博，之前只能抖音b站看太一的视频，然后最近疫情一段时间才玩起了微博，然后然后，就在这发帖了。这里彩虹（同学给起的绰号）算个微博新粉吧，求各位老粉带一下我，我我我有钱了一定一定要去看演唱会！目前是个学生实现还有点困难  还有哇，我想问一句，有没有啥粉丝群之类的，别看我现在挺能说我还有点社恐，等真要聊我又不晓得说啥了，所以急需一个老粉带我一下 ,2020-03-18 00:43,24,0,16
Iz5vPFMI2,Loveyou_A,女,海外,65,29,Loveyou_A:2020.01.23  ~ 2020.03.17随着时间的流逝，可能很多人会慢慢遗忘这55天里的点滴，但我还历历在目。二零二零年一月二十三日，早上四点二十分，烦人的闹钟准时响起。我挣扎着从床上坐起来，千万个不愿意上班，摁亮了手机，发现有好多条微信：「 封城了，你今天还上班吗？」「 机场关闭了，你是不是休假了？」「 你在上班吗？什么时候恢复啊？」   …………   …………原来，是封城了？那天又恐慌又难过的情绪，直至今日还清晰记得。刚起床的我整个懵圈，看着手机里小伙伴们的满满关心，我只能傻傻发呆，然后一路恍惚的把车开到了机场，忐忑不安的走上了工作岗位。面对着那些不愿意带口罩，甚至讲话很大声，唾沫横飞的搬运工，心里怕个半死。当好不容易熬到晚上下班回家，发现整个高速上只有我一辆车时，忽然就哭了。这是一种被“抛弃”的感觉，我在这个“死城”里孤立无援……二零二零年三月十七日，没错，就是今天（大约写完微博发出的那刻已经是3.18了）。援鄂医疗队开始踏上了他们的回家之路，正巧，又是我上班。身在货检的我，没有亲身感受到T3里的那些慷慨激昂，可是看着同事们的朋友圈，一个个视频，一张张照片，眼泪又一次不受控制的掉了下来。可这次，再也不是因为绝望。五十五天前，我以为这个城市被抛弃了，我以为自己死定了，殊不知，自己完完全全想错了。实际上是全国人民都在努力拯救我们，各地援鄂物资不停的运往武汉，援鄂医疗队们连夜赶来武汉，拼着命也要把我们从死神手里抢夺回来。我想，他们每个人都有自己的家，他们的家人也一定和我们一样，共同经历着这场磨难吧。时至今日，方舱已全部休舱，医疗队们开始陆续归家，虽不敢说已经打赢了这场“战疫”，可至少现阶段他们用自己的血肉之躯，保住了大半个武汉，终于可以平安回家了！！受人滴水之恩，必当涌泉相报，更何况是这样用性命来护住我们的恩情呢？我想不到有什么更好的方式可以报答他们，唯有「 好好活着 」！！接下来的每一天，我也不会放松警惕，做好自我防护的同时，谨记硬核张爸爸的教导“防火防盗防同事”。或许只有大家都这样，才能预防病毒再次大规模爆发，才对得起这些援鄂医疗队们对我们的付出。可我管不了别人，只有努力去做自己能做的一切。经历过这次疫情，更加真实的感受到生离死别的无力感。如果没有了生命，其他所有都是白搭。「 惜命 感恩 」 ,2020-03-18 00:42,6,0,1
Iz5uVv8Wi,第一新闻,女,陕西,1368,4214533,第一新闻:【#东航取消多个欧美航班#】3月17日，中国东方航空宣布取消原定本周起恢复的部分国际航班，涉及美国、加拿大、英国、德国、法国等在内的多个北美及欧洲国家。其中，原定于3月29日开航的北京大兴-巴黎航线也将在3月29日-6月13日期间取消。东航表示，旅客可通过原购票渠道免费办理退票或改期一次，后续航班将根据疫情防控情况做动态调整。（中国新闻网） 原图 ,2020-03-18 00:40,9,4,3
Iz5tJkns6,-红尘之莲,女,北京,613,22401,-红尘之莲:#肖战#愿你历经苦难，归来仍是阳光少年。🙏网友留言：①看春晚时不知道肖战是谁，因为疫情在家看了陈情令，才想起来春晚上那个阳光灿烂的大男孩是肖战，才想起经典咏流传上那个坚定信念的破竹也是肖战，没有一夜爆红，只是无数日夜的努力和不为人知的汗水甚至屈辱的叠加，和一次机遇的碰撞，才有了我所认识的成功！②。。。我们的歌，春晚，经典咏流传。。。一步一个台阶，不知道他还会带给我们多少惊喜! 是个宝藏啊，怎能不爱你  http://t.cn/A6z6jc7N ,2020-03-18 00:37,4,0,0
Iz5tlFBo6,冷處偏執,男,广东,468,127,冷處偏執:【17日药房随记】带着口罩在中智买药膏，中途一对老夫妻想进来买口罩，老婆婆带着口罩进来了，老爷爷没有口罩只能在门外对话，他们不会预约口罩，只能到药房求职员卖他们几个，唯一的口罩也已经戴了十多天。苦苦哀求之下无所得，转身缓缓离去，寻求下一家药房的帮助。期间对话难以复述，但一直揪心。如果我随身带多几个口罩，是否就能缓他们一时之急呢?口罩管控之下，有人成功预约，有人早已囤积许久，有人在朋友圈子买卖成功，但我们忽略了一些孤寡老人？不会用手机的他们，又没有人来长时间关心他们，但迫于生活，他们依旧要走出家门，买菜、买生活用品。或许早有一批人来过一次，那又如何呢？后续有人管吗？很多想法我还想说，疫情之下，暴露的是基层问题。想来还有让所有人摘下贫困帽子，物质保障了，精神呢？他们生活的背后还有什么是值得关注的呢？一次疫情，所有都人都被呼吁、指导，与社会稍有脱节的他们生活何以为继？像我们普通人一样，都把表面功夫做大做完美了，细节就这样放过吗？不亲身体验又何知他们生活的模样与感受？ ,2020-03-18 00:36,2,0,0
Iz5teljtQ,英国那些事儿,男,海外,2310,12885597,英国那些事儿:今天英镑8.4了！现在英国各界都担心英国各个商业会崩盘... 表示现在不但是疫情危机，同时还是一场金融危机。  不但英镑下跌，英国股市暴跌了一周多。 FTSE 100从一周多以前7500点跌到了现在5000点。 各界表示，最危险的是航空公司，零售业和各种餐饮和娱乐行业。  Flybe航空公司已经倒闭。 居家店Laura Ashley 今天宣布破产，已经成为被新冠影响倒闭的第一家零售页公司。 #英国疫情# 原图 ,2020-03-18 00:36,3759,285,677
Iz5temcAy,赵宏民,男,上海,1823,180517,赵宏民:#群体免疫# 英国人口大约6650万，如果60%感染新冠病毒，即便死亡率只有1%，意味着该国40万人将因患上新冠肺炎丧生。而且按照专家观点最糟情况下，80%的人感染才能实现群体免疫。如果不算自然死亡率，1年左右病死40万人，作为一个发达国家，上一个世界头号强国、日不落帝国，英国你要闹哪样？还是说英国官方防止疫情的同时故意减少老弱群体，减缓老龄化进程？#英国超10万人签字呼吁政府积极防控##世卫组织质疑英国群体免疫方法# 原图 ,2020-03-18 00:36,5,0,2
Iz5sQpyHM,新浪足球,男,海外,97,1747134,新浪足球:#欧洲杯推迟至2021年# 相关信息汇总（持续更新）：欧洲杯推迟至2021年6月  http://t.cn/A6zlMcFd欧洲杯赛程撞车美洲杯  http://t.cn/A6zlMcF1笑喷！欧洲杯推迟让元首怒了  http://t.cn/A6zlMcFn曝欧冠欧联决赛推迟  http://t.cn/A6zlMcFe首届奇数年欧洲杯  http://t.cn/A6zlMcFr梅西C罗绝唱2021年之夏？  http://t.cn/A6zlMcFu2021年夏天大赛扎堆  http://t.cn/A6zlMcF8葡萄牙成拥有欧洲杯冠军时间第2长的球队  http://t.cn/A6zlMcF1法国足协发声支持欧洲杯推迟  http://t.cn/A6zlMcF3欧洲杯引发各行业地震  http://t.cn/A6zlMcFm中国2022年或喜迎三大赛事  http://t.cn/A6zlMcFE欧足联主席：疫情面前我们必须做出牺牲  http://t.cn/A6zlMcsq病床上的他们笑出了声  http://t.cn/A6zlMcFD哭了！夏天既没欧洲杯也没有美洲杯  http://t.cn/A6zlMcFR欧洲杯附加赛延期  http://t.cn/A6zlMcFg中国的前车之鉴   http://t.cn/A6zlinMV欧洲杯推迟引发蝴蝶效应  http://t.cn/A6zl9kIB欧国联等赛事将重新安排日程  http://t.cn/A6zl9kId7月前踢完本赛季  http://t.cn/A6zl9kIu魔鬼赛程！C罗梅西连踢36个月？  http://t.cn/A6zl9kIr买了票的球迷怎么办？ http://t.cn/A6zl9kIg欧足联25亿收入还能到手吗  http://t.cn/A6zlN6ZwFIFA主席：会和中国商讨推迟世俱杯  http://t.cn/A6zlN6ZA欧洲杯推迟的真相，并不是防疫，而是… http://t.cn/A6zl1UVq欧洲杯被绑架！疫情再凶马戏也要演  http://t.cn/A6zlrDNz#欧洲杯推迟# 原图 ,2020-03-18 00:35,16,26,2
Iz5sOBIzw,galitmon,女,其他,175,21,galitmon:我还是认为独立思考该是任何人在网络上浏览任何信息都应该履行的，这压根不是什么高水平🏄🏻才能具备的，而是一个正常的人在评判任何事物时都应该如此。尤其疫情开始后，“网络造谣无需本钱”更加突出鲜明，未知事情全貌未有实锤的便是未知数，真真假假公说公有理婆说婆有理。毕竟不是小孩子青少年，客观理性是任何一个人际关系和谐 心理不病态 三观不极度扭曲的人必备的。 ,2020-03-18 00:35,0,2,1
Iz5sGl2SK,嘉禾0328,男,河南,199,431,"嘉禾0328:昨早05:43，开始第688次慢跑，跑步6.18km，用时00:34:35，平均步频179spm，步幅99cm，配速：05'35""。新冠病毒肺炎疫情仍在继续，境外确诊病例已超过10万，蔓延势头丝毫未减，对全球经济社会造成了极大冲击，令人担忧。在这场没有硝烟的生死之战中，大家感受到了举国上下万众一心众志成城抗击疫情的报国热情，一次次地被感动和鼓舞，也看到了一些为人所不齿的丑恶行为和某些西方政客的无耻表演，受到了很好的法制和爱国主义教育。 ",2020-03-18 00:35,0,0,0
Iz5sFrAOS,看硅谷,男,海外,181,740936,看硅谷:#硅谷快讯##世界发生什么事#【Facebook将给员工发放1000美元额外奖金应对疫情】Facebook周二表示，将给员工每人1000美元的额外奖金，以支持他们在冠状病毒疫情流行时进行远程工作。根据一月份的财务报告，Facebook雇用了将近45000名全职工人，但也雇用了数千名合同工，尚不清楚这些人是否也会获得奖金。http://t.cn/A6zlMqky 原图 ,2020-03-18 00:35,2,2,1
Iz5sxtE0a,Alii-Go,女,浙江,246,74,Alii-Go:微博評論好絕，絲毫沒有人權意識以及缺乏全面認知和極端自私，一句話「關起來」，別感染我們。少數服從多數，這個臭毛病什麼時候改改。也絲毫沒有人文關懷，僑胞留學生往國內也捐了不少物資，最開始國內疫情爆發，在這邊搜集募捐渠道就看到北美留學生組織了募捐包機送物資回國。現在，反向接納卻道不可。說得沒錯國外地廣人稀自我囤購物資居家隔離挺好。但是不排除很多務必回國的情況不是嗎？哪天外星人來屠城了，什麼人類大團結，分分鐘給你編批次宰了。對不起俺科幻片看多了。我現在腦袋裡剩下千萬隻螞蟻在轉圈圈。螞蟻亂葬崗。 ,2020-03-18 00:34,1,0,1
Iz5sgkzM2,Anton姚,男,湖北,78,5,Anton姚:早上8点钟左右从湖北宜都出发，在晚上9点20分终于到达了水东社区报备的贵阳金阳亚朵酒店进行14天的隔离，也开始了人生难得的14天“闭关修行”！从现在开始我将用微博记录我这14天的所想、所感、所悟！    首先，疫情发展到今天，湖北全省只有武汉新增确诊病例1人，也从今天部分援鄂医疗队员，我们可爱可敬的白衣战士将踏上回家的征程，她（他）们为武汉保卫战的胜利立下的功劳值得我们永远铭记！     来贵阳的路上，我一直在想一个问题：我已经在家里隔离了50多天，本人社区已经出具了健康证明的情况下，经过社区、街办、市防疫指挥部的层层审批的情况下，全国大数据信息共享的情况下，公司等着我们返岗复工的情况下，我们湖北出来的人每天还要花费238元住宿费、50元餐费（政府肯定进行了补贴），总计近4000多元进行集中隔离，对于我来说因不能正常返岗上班，工资无法保障的情况下，确实是一个不小的开支啊！     说实在的，自从我们昨天提前在社区报备后，社区工作人员今天一直在跟进我们到达贵阳后集中隔离的对接事项，在我们到达酒店前已经有工作人员等着我们，我们非常理解基层工作的不易，我们也对他们心存感激的！但是当地政府能否采取一个比较人性化的政策，诸如居家隔离报备的政策呢！ http://t.cn/RXm78AU 显示地图 ,2020-03-18 00:34,0,0,1
