微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IEzo0AxP9,大帅帥glutton,女,天津,298,80,大帅帥glutton:就在刚才我把后四集追完了🙈搜百度看完的超前点播太🐶了吧，🔥也不能这样啊，vip🀄️p么？花钱再花钱就在刚才看完的，两个感受：❶突然感觉省了18块钱❷虽然对于苹果手机来说用🦶做🔋，但是用了半年的小11还不错👍超级不费电ps：我手机电池健康95%了可不，就是疫情闹的，我会稳住现在表现还不错明天又要come IKEA work[加油]睡觉了，ok，last姐给你们秀下员工餐吧➖🥩（随缘）晚安💤#全世界最好的你# http://t.cn/RDnEUnO 显示地图 原图 ,2020-04-23 01:57,2,0,0
IEznzpcmL,SimonRock,男,北京,1325,5107,SimonRock:【最新民调来了：#过半意大利人视中国为最友好国家#】意大利SWG民调显示，在3月20日至4月12日进行的一项当地民意测验中，有52％的意大利人将中国视为友好国家，排名第一。与去年相比，该比率增加了42％。意大利疫情爆发时，中国于3月中旬向罗马运送了31吨以上的医疗用品，还组建了抗疫医疗专家组去往意大利进行援助。http://t.cn/A6wmdR7x ,2020-04-23 01:56,0,0,0
IEzmzo5H1,西子建1984,女,黑龙江,516,302,西子建1984:#随手记还我血汗钱# #董明珠金蝶随手记疫情发国难财# #随手记理财[超话]# 当初市面上各种p2p理财平台，我们唯独投资在随手记，皆是因为对背后金蝶的信任，如今出现这样的事情，各个都在撇清关系。 。。我父母明明45万的本金，被确权的仅有41万，。。。。那是我父母毕生的全部积蓄，六十多岁的老人如今已经是夜夜无眠，食不下咽。。。多次致电该司，该司不正面回应，避重就轻，我们受害者投诉无门！！！加之疫情原因，我本人也已经2个月没有工作收入，如今老人全部的投资还有可能血本无归，我们一家人不知道该怎么生活下去，如果因此走上极端，请问这是你们希望看到的结果吗 ,2020-04-23 01:54,11,1,1
IEzlRFV7Z,No_6_Dream_Bigger,男,海外,295,240,No_6_Dream_Bigger:于我而言，成年人的世界里最难过事之一，应该包括目睹着曾亲密的人，逐渐分离，渐成平行线，直至最后渐行渐远。其实没有得到的话，反倒不怕失去。这段时间因为疫情，趁机检视了过去几年圈子里的“朋友”，最后有一个结论，就是，其实有的人，我们从根本上就不是一路，之所以我们有过泛泛之交的错觉，无非是因为国外环境的寂寥逼迫罢了。比如，当我看到你为了一张卡而发奋自恨、丧权辱国的时候。所以，抱歉，屏蔽吧。 ,2020-04-23 01:52,0,0,0
IEzlffjKP,地球人类研究所,男,北京,270,12665,地球人类研究所:【家人捐出#霍金生前的使用呼吸机#用于抗击疫情，曾陪伴霍金走遍世界】据英媒报道，史蒂芬·霍金家人向剑桥市皇家帕普沃斯医院捐赠了霍金生前使用的呼吸机。报道称，这台呼吸机目前已经通过检测，确认适用于新冠感染者。霍金的女儿表示，这里有可能会成为抗疫前线，所以想尽一份力。     #和同桌说过最多的话是什么# ,2020-04-23 01:50,0,0,0
IEzhsjUAA,Mrcheng上善若水,男,河南,218,215,Mrcheng上善若水:你看不完的书，总有人能看完。你做不出的题，总有人能做出。你答不上的点，总有人能答上。那么，不好意思，你想过的法考，也只能让别人过。你想过的生活，也只能让别人过。            ————疫情长期化，我知道你已经疲惫，但我们更需努力[加油] from 柏浪涛 http://t.cn/AigyyetX 显示地图 ,2020-04-23 01:41,1,1,0
IEzfJDmK3,xinong啊,女,其他,124,22,xinong啊:#张九南更博# 有点不知道说什么.心里感觉有一点舒服和激动.眼睛里👀得小珍珠跑出来了.怀念天桥的欢声笑语，怀念三庆园的连连歌声，怀念一个又一个夜晚的落魄，也怀念一起看过的雪和雨......更怀念的，是站在舞台上闪闪发光，脸上神采飞扬说着最爱的相声的你.只有怀念过，才懂得珍惜和沉默.望尽山川星辰，才发现原来我眼里是你.开箱见也请大家多多了解这个温柔的大男孩，张九南，弓长张简体的九南方的南，我们等你.疫情期间无意占用公共资源请多包涵 [组图共2张] 原图 ,2020-04-23 01:37,1,0,0
IEzeUeD7U,Lenisa-婷,女,云南,201,205,Lenisa-婷:2020年刚开始是每天马不停蹄的加班，好不容易熬到加班即将结束，又遇到突如其来的疫情，3月低爸爸又做了一个大手术，术后又产生了并发症，学校刚开学事情多的抓狂，生活和工作的压力加在一起压的喘不过气来。感觉已经好久没睡过整觉了，每天夜里都会无辜醒来好多次，第二天整个人的状态都是头昏脑涨，脑神经都衰弱了，真的希望一切都快点好起来——国家、生活、工作！🙏 ,2020-04-23 01:35,2,0,2
IEzesb2tN,平安洛宁,男,河南,2484,195007,平安洛宁:【女子骑车打电话分心撞车 幸头盔保护】4月15日，安徽宿松，一女子在骑行电动车途中接打电话，与对向农用车发生碰撞。万幸的是，女子戴了头盔，减轻了伤害，仅受皮外伤。交警部门经调查认定：该女子负事故全责。#象警官提醒# ：驾驶车辆务必要集中注意力，自觉抵制接打电话等分心驾驶行为；时刻牢记骑车戴好安全头盔。#疫情当前 警察不退# http://t.cn/A6wE5o2V ,2020-04-23 01:34,1,0,0
IEzeq6OX1,那就先送个花吧,女,广东,694,57,那就先送个花吧:那天去政法楼弄信访收完资料最后要走了 接待人说 ，洗手间有洗手液 前面转弯那里 这里来的人比较多也比较复杂 （因为填了好久表格看了来来回回几拨人 我们走的时候有温馨提示所以有点触动）有很多人被拖工资，还有中间层来诉苦，更有老板来说疫情裁员能不能合法别的老板就不清楚了 我们公司的股东就很特别了总而言之 老板再难 难不过底层我很难 相信有人比我更难（ 当然不会是我的老板以及股东 他们大把房产和💰  靠赔偿金发家的人却不肯给别人赔偿金 人性无疑）前段时间一直回响在脑海的话，是张国荣跳楼前写的那句，我一生未做坏事 为何这样而我生出类似感慨的也不单单这件事 有些事可以避而不提 但发生了就刻在生命里 成就人生 比如痛苦 或者其他不好的愿，大家都问心无愧，安稳地活着，有瓦遮头有口热饭，身体健康。事情结果更重要。干得漂亮就是佳话是经验，失手了，大多数声音只是随口附和。虚情假意在真心面前永远不堪一击，别太伪善，我可不大喜欢，大家好自为之。 ,2020-04-23 01:34,2,0,0
IEzdDECva,重庆检察,女,重庆,1737,714112,重庆检察:#人民日报评论#【#人工干预或制造的不是新冠病毒而是政治病毒# 】 世卫发言人澄清：现有证据表明新冠病毒起源自动物，而非实验室人为制造。科学和证据面前，再多的阴谋论也会不攻自破。靠散播谣言“甩锅”赶不走新冠病毒，却会把“政治病毒”放出来，让全球抗疫雪上加霜。共克时艰呼唤理性和团结，毕竟在这场疫情中，病毒才是全人类共同的敌人。@人民日报 原图 ,2020-04-23 01:32,11,20,17
