微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IDYsAAez1,便利纸,女,海外,163,885,便利纸:草稿箱写了好多条。有写了一半的忘了后半段，写完了还写了那么多字想想没意义了，还有不知道为什么要写。以后写完啥就放草稿箱选择保存吧。做完大扫除写完作业看了一会书，倒后院晒了暖暖太阳后喝了一杯奶茶后就不想回屋。但是房东会说，你怎么没戴口罩在后院呢，快回去注意安全我家勿忘我发芽了然而同时一起种的薰衣草貌似死在泥土之下了一点动静也没有疫情啥时候是个头啊，我今年还想去农场，想去学垂钓，去盐湖城，还想参加夏日祭哎，好烦呐。 原图 ,2020/4/19 3:57,0,0,4
IDYszp9Bo,华闻周刊,男,北京,514,1847175,"华闻周刊:【News|#全球疫情# 速报：英国累计确诊人数达11.4万，美国日增确诊1.8万】截至英国时间4月18日20:30，全球新冠确诊病例累计达2,313,642例，累计死亡159,029例，治愈590,935例。英国累计确诊114,217，新增死亡病例888，累计死亡达15,464。美国日增1.8万余例，累计确诊超过72.8万，详戳：http://t.cn/A6zav9gG ，了解#英国疫情# #欧洲疫情# 动态。 原图 ",2020/4/19 3:57,11,11,6
IDYrg9odl,爱儿朗,男,黑龙江,6,8,爱儿朗:常常想，无论在哪里，无论做什么，都要全力以赴，哪怕在你最不济的时候！人生总会有波澜起伏。看淡事物本身，重视事物影响，我毕竟是个体，俗透了！这些年走过的路，不少了，吃过的苦，不少了，结果让人匪夷所思，不尽人意，呵呵。从业务到总监，到总经理，到创业，到今天，每一步都在踏实的付出，财富和经验都在积累！希望疫情早点过去，生活如初，毕竟不能人人都卖口罩😷 http://t.cn/RxkVVYQ 显示地图 ,2020/4/19 3:54,1,0,0
IDYqbEvzQ,GeorgeYu_Winona,男,海外,379,73354,GeorgeYu_Winona:我一铁友，是建筑工程师，训练休息间经常有意无意的透露出对民主党的厌恶和Trump的支持，他说很多建筑工程师其实都差不多一样的想法。 建筑工程师群体支持Trump的原因也很简单，因为他竞选的宣言就是要振兴美国的基础设施（确实烂），大兴土木的受益人之一当然就是建筑工程师群体。当选总统后Trump确实提了各种基础设施提案，但都因为民主党的阻挡而没有获得成功。因为新冠疫情的关系 美国经济占极大比列的服务业受创，为了挽救经济，似乎两党基本能达成共识 要通过兴建大型基建的方式来拉升经济了网上有很多视频，大多喜欢把Trump的忠实支持者描述成是智力低下的红脖子，但是Trump还是有相当数量理性的、高学历的支持者的。其实，民主党的死忠群体也好不到哪去，因为人一旦无脑死忠，就容易智力低下，和死忠于哪一边没任何关系 ,2020/4/19 3:51,10,0,7
IDYmR8kF3,Flatfoosiesy,女,海外,174,116,Flatfoosiesy:@西藏昌都人韩红 韩红老师，疫情之下听你的歌声，觉得很感动，您的歌声让人身心愉悦，您的作为让人觉得人间有爱，生命有意义。过了十几年，我才发现自己所从事的行业，其实只是和钱和虚拟财富打交道，如果今天发生战争，如果人类倒退一百年，我所做的行业和事情，是人类完全不需要的。疫情之下，我纵观各个行业的人，都觉得比我做的更服务于人类，对人类进步的贡献有意义。 我最近经常会想，如果人生可以重新选择一次，我会不会去重新选择我的人生道理。 我渴望我曾经像你一样去做对社会和人类更有意义的事情，而不是在我30几岁的这个年纪回首时，想到的只是赚钱，升职，花钱，吃喝玩乐。但是人永远是个矛盾体。在我年轻的时候，没有基础只能靠自己拼搏，缺物质，缺安全感，就使劲填补物质。当发现不那么缺物质的时候，就会想着是不是要继续为了家庭后代去扩充物质，还是放弃追求自己想要的人生意义。我就是是个俗人，除了对天长叹，可能已经没有重新选择人生的机会了。我能做的就是让我的后代，有个好的基础，正确的价值观。不用和我年轻时一样，只是为了现实去做很多事情，而是可以追求自己真正热爱做的事情，给社会带来正能量和积极意义的事情。在她过了若干年后，觉得自己的人生只是充满了爱，丰富多彩和骄傲。韩红/林俊杰《飞云之下》http://t.cn/A6wO4wsY @QQ音乐 原图 ,2020/4/19 3:43,0,0,0
IDYmIvtEB,对外传播观察,男,其他,317,627,对外传播观察:#全球新冠肺炎报道#【“安慰”号纽约500床位医院船收71个病人】（观察者网讯）号称拥有千张床位、用于分摊美国新冠疫情“震中”纽约市医疗系统压力的美国医院船“安慰”号，此前因其收治病人速度过于缓慢而遭到各界质疑。然而半个月过去后，“安慰”号经过改造，1000个床位已减至500个床位，并开始接收新冠肺炎患者，但其收治病人速度却几乎没有什么变化。据美国消费者新闻与商业频道（CNBC）消息称，该船至今仅收治了71人，大部分床位仍然被空置。 http://t.cn/A6wO4cjo ,2020/4/19 3:42,0,0,0
IDYlO5lvA,成都市诚事浩洋文化传播有限公司,男,四川,35,1,成都市诚事浩洋文化传播有限公司:#30多家网红公司希望签约不打工男#这些自作聪明的网红公司只闻到了钞票的气味，却未曾闻到危险的气息。各种参差不齐的直播网红，直播带货越演越烈的当下，各种不负责的自媒体以流量为王成天造谣夸大其词的当下，种种乱象堆积，必然会迎来监管严苛，政策规范。而且恰逢疫情之际，官方和社会层面都有希望社会风气往正向引导，若真把他推到前台圈钱的话，怕是不知道什么叫做抓典型，怕是知道“死”字怎么写。 ,2020/4/19 3:40,0,0,0
IDYlxy79L,对外传播观察,男,其他,317,627,对外传播观察:#全球新冠肺炎报道#【法国“冒死选举”导致悲惨局面，多名市镇长感染新冠肺炎去世】【环球时报驻法国特约记者 潘亮】法国首轮市镇选举结束后一个月，多名市长、镇长因感染新冠肺炎去世。当地媒体质疑称，是政府 “冒死选举”导致了这一悲惨结局。不过法国政府认为，目前疫情依然严重，全民应团结应对，追责并非当务之急。 http://t.cn/A6wN8R0g ,2020/4/19 3:39,0,0,0
IDYhKDZq1,皮皮的小马甲吖,男,广东,57,111,皮皮的小马甲吖:昨晚看大逃脱第三季黑暗别墅突然就好想你认识了那么久从那个夏天推荐给我大逃脱开始走的越来越近如果能和你一起看的话就可以抱着你说别怕有我在呢吧如果我能早一点勇敢一点的话或者压根没有勇敢又或者没有疫情……没有如果看到李沁挽张若昀想到我们之前出去玩就很自然的牵手趴在耳边说悄悄话轻轻拥抱亲吻额头但是谁也不戳破小心翼翼地维持着谁能想变成现在这样呢？有时候也会想要不就这样算了叭可还是好喜欢你昨晚随便聊了一下整个人都很开心其实我们还是有机会的对吧？有机会每天都甜甜的凭什么我们要错过呢？ ,2020/4/19 3:30,3,0,0
IDYhwq8JB,文化经济领投人中心,男,北京,34,109,文化经济领投人中心:地球村文化空间站世界文明战疫大幕拉开率先构建人类社会大健康服务命运共同体大宗师罗无声人类要建设一个文明的世界。我们要对人类的美好未来着想，我们更要对人类的美好未来负责，我们要构建人类社会美好幸福的未来。这场疫情的全球战疫，已经把全世界人民拉向另一个战场，转型并上升为全球性的世界文明战疫，是一场关于人类社会发展和生死存亡命运的世界文明文化大战。2020，是决定人类命运的时刻表，是起动人类社会大安全大健康的伟大历程，伟大征程。甭管我们是否乐意接受这个客观现实，我们整个人类，都身在其中，都身受其害，谁也无法逃避，这是一场生死存亡之战，我们必须做出正确明智的选择。这场突如其来的疫情，完全超出了我们的想象，其感染力和传染速度，是如此的惊人，更为重要的一点，它让我们清醒地认识到，今天的人类社会，其联系竟是如此的密切，密不可分，一个小小的个人性的病例，就可以对全世界产生如此巨大的杀伤力，地球村真真切切地到了，人类命运共同体，已经不再是一句口号，人类的灭亡，不再是彼此之间的战争，而是一个人患上具有传染性的病毒，或者就是一堆垃圾，就是一个异常的气候变化，生命就是如此的脆弱与不堪一击。人类社会最重要的是生命，关爱生命，队自己负责同时，也要对他人负责，要对整个人类社会的生命负责。人的生命是最重要的，一切事情，都没有生命更为重要，一切都要为生命让路，人类社会，这是最基本的原则，这是最起码的要求，任何人任何单位任何机构，都没有权力伤害他人的生命，危害社会生命安全与健康，人类社会的文明，首先从尊重生命开始，有了尊重生命的道德底线，人类文明便开始起步和揭幕，由此而构建整个人类社会的大文明。文明的构建，其核心就是文化的构建，就是要建立于此相关的文化，并将这一文化深入人心，并进行必要的法律加以保护。人类社会大健康服务命运共同体文化，社会公德意识文化建设，与法律文化建设，这就是今天整个人类社会要面临的第一场世界文明大战，这更是我们用惨痛的教训，换来的对人类社会未来文明建设的深思。为了整个人类社会的命运和生死存亡，更是为了我们每一个人的生命安全与健康美好幸福生活，这场全球文明之战，必须进行，并且一定要打赢这场艰巨的艰难的战役，否则，整个人类社会的未来命运，将岌岌可危，永无安宁之日，甚至不可避免地走向毁灭。 [组图共9张] 原图 ,2020/4/19 3:30,1,0,0
