微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IyN3W3l3y,SSun圣男,女,其他,257,1794,SSun圣男:心情不好。翻相册看到过年和疫情期间在家拍的照片，好多内容。这两天小妹说奶奶一天比一天糊涂，一天除了吃饭就是在睡觉，时不时还蹦出句胡话，问她有几个孩子都不知道了，讲不出名字，过年时候还哄着她陪我们打麻将来着，她最爱打麻将，而且都是只赢不输。后面又看到她住院时候青紫的手，都是自己把埋针把掉闹着回家伤的，肚皮针打的肚子一大片紫，我和我妹去照顾她内几天她成天成宿不睡觉的闹，我们又困又累，晚上坐在床边抓着她手趴着想休息会，她还一只手用力想托着我的脸，另一只手呼噜我的脑袋让我睡觉。太难过了，泪奔。回北京后，我妹又和我讲，她总让我爷给我钱，怕我在外面吃不上饭，看我在家穿的衣服挂在衣架上和我妹说:这是小雨的衣服，她没穿走，她冷不冷，。我真的太难过了……写不下去了，两年的时间就让她变成这样了，最近她还总尿裤子，一天比一天糊涂，我好想回到她清醒的日子，我希望两个老人能永远健健康康的。每个星期接我和妹妹回家。拜托一定要多陪陪我们，这么大一个家…没有你们我们怎么办啊…… [组图共7张] 原图 ,2020-03-16 01:44,2,1,4
IyMKu8WFD,多才多艺智能健美佳cc,男,北京,5883,1168,多才多艺智能健美佳cc:中国四月底前如没外国回归人员带病冠清零……世界还不行因为他们开始不重视防控所以上半年都不行，他们与中国中西医结合的医生相比智能医技差得多所以疫情在上半年结束不了至于夏天结束不了能那张文宏就大错特错，中国人智能健美会帮助他们消灭新冠病毒为民为世除恶除魔和新冠大病毒，为国争光为民除恶人人有责扫光黑腐恶魔毒蛇🐍黑社会更早日消灭新冠大传害病毒评什么说夏天结束基本不可能？？？一定能不然世界就要倒大灾难……夏日太阳甜丽美用太阳甜光一定能胜阴暗腐恶魔黑社会毒🐍新冠大病毒黑嘴等……!！#跟新浪看热点#  http://t.cn/A6zKtIKo ,2020-03-16 00:56,0,0,0
IyMKmprdT,里米尼足球新闻,男,其他,25,70,里米尼足球新闻:【公告】日前，里米尼俱乐部官方足球学校，里米尼学院（Accademia Riminicalcio VB）宣布全部活动暂停到4月3日，这一决定也是响应意大利奥委会、足协、业余联赛的相关要求，并希望孩子们能够保持健康。本赛季，学院一线队成绩斐然，在罗马涅地区二类联赛P组排名第3，比第一名圣洛伦佐仅少1分，主力前锋Poziello打进16球，但是因为疫情，赛程戛然而止。 [组图共4张] 原图 ,2020-03-16 00:56,0,0,0
IyMJRqYch,御尚坊股东封懿,女,上海,646,14802,御尚坊股东封懿:#张文宏称疫情今夏结束基本已不可能#💸𝙍𝙖𝙞𝙣𝙗𝙤𝙬 𝘼𝘾 𝙏𝙚𝙖𝙢      全网在说副业的时候、还有一点要特别注意：生存‼️在当下疫情蔓延的时候、我们也要不停的进步、日益精湛…      而如今的手机创业者、微商、电商、视商…已经不是一个简单的副业了、而是如何选择“生存”的时代 [组图共2张] 原图 ,2020-03-16 00:55,0,0,0
IyMIRE0H7,爱睡觉的小tiger,男,山东,117,118,爱睡觉的小tiger:睡觉之前总是在想过去的一些事情，刚上大学军训每天晚上在畔河大街走着视频，美昂和文苑带我去食堂陪我聊天，再到加入学生会慢慢融入到集体生活，和林栋三天两头去吃火锅，感觉就像是在昨天，这种话别人说自己是无感的，只有亲身经历过才最理解。有些人真的就像曾经一样路过自己的世界又渐行渐远，起初讨厌的人现在慢慢发现了他们身上的优点，很欣赏的人慢慢发觉不是那么回事。走的路多了总会丢掉几个曾经很好的朋友或者是其他。真想站在时光的路口好好地从旁观者的角度看一看那时候的自己是如何生活的，有些人走着走着真的会散，也会有新的人不断走进自己的生活，没有任何环境是一成不变的。比如自己，高中毕业的时候觉得不会再有这么好的朋友了，然而现在有了一帮更贴心的人。曾经爱的死去活来的女生现在看看觉得那时候自己也挺可爱的，真憨，还是赵小静同学更好。有些朋友刚刚熟悉起来就要面临着分开，有些曾经一起竞争互相不服输赌气的同学现在见面真的很亲切。随着经历的增加阅历的积累见识的拓宽，自己的思想也会发生很大的变化，以前以为那样是绝对正确的，知道亲身走过那条路发现不是这么回事才觉得曾经的自己真的很幼稚。以前是暴脾气，现在依旧是暴脾气，只不过遇到了让自己不舍得发脾气的女孩和不忍心生气的朋友。有时候真的想好好写一下自己的大学生活，但是想了想发现，镜头太多太多，无论什么样的回忆，美好的，心酸的，痛苦的，无奈的，现在想起来都如同看一部青春电影，带着且行且珍惜地态度去看，去产生共鸣，津津有味的去品。最后，记得一个学姐发过朋友圈说，毕业时要多努力才能不觉得想念，再努力也会想。这次疫情让很多毕业生难受的是害怕失去最后一段和大家共度的时光，其他人不知道，我是这样的。愿大家一切安好，一切顺利。2020.3.16阎炯屹 ,2020-03-16 00:52,6,0,0
IyMI1Fnff,名陌路_,女,其他,309,75,名陌路_:#六年十一班[超话]#“搞怪的不是红绿灯，不是时机，而是我数不清的犹豫。”💳嘀～今天又是迟到卡了，迟到半小时，还可以吧🤗已经感受到时间是一个小时一个小时过去，一分钟一分钟过去，甚至是一秒一秒过去的。绝无法拦住流向，只可能用力追着向前。地区疫情清零了！人类命运共同体（可以这么说吧）层面上我应该欢欣鼓舞，但是，这也意味着正式要开学了，网课知识迎来检验时刻，我真的可以应对吗。今天记录的又是丢人时刻🤦♀️效率啊效率啊效率啊啊啊！政治又是只整理了一个不算重要的单元的错题。。化学可能有一个多小时用来找错题，打印。到现在还没有真正整理在本上。。新背的单词也不多，重点还是在找发音。。[跪了]好的！我不可以灰心！只能也必须往前追啊！加油加油，明天继续试着提高效率，希望反思记录小条目越来越少一点点。[加油]（句子摘自 番茄TODO） 原图 ,2020-03-16 00:50,0,0,0
IyMHUeU3T,楠楠今天博学了么,女,河南,366,167,楠楠今天博学了么:今天和坤坤的会面很成功很完美，感觉灵魂放空啦，前段日子的不开心也烟消云散了，我们还约了下周末，这可能就是疫情带给我最大的优惠了！！！！！！！臭臭啊谢谢你，听到了我的诉求，努力的满足我的样子。我也希望我们在这段关系里变得对方越来越喜欢的样子。还有就是你下定决心一定是我的样子。好吧，我其实是一个特别好满足的人。晚安！ ,2020-03-16 00:50,4,0,3
IyMGW1GFz,一分为二的科学观点,男,福建,10765,116639,"一分为二的科学观点:邀请您回答问题""在病毒面前西方政客还嘴硬所谓的人权与自由，得到的是疫情蔓延、社会恐慌以及死亡的代价，这回该认怂了吧？""@@中国政府网@新浪新闻@央视新闻@新浪军事@参考消息@CCTV4@人民日报@环球时报@凤凰网 @洪琳 @宋忠平 @邱毅台湾 @邱震海  @酒巷诗行长@开心每一天5865 @关山月x @非主食_@TD青龙先生 @文汇报@南洋吳子浩@解放军报 @今日台湾@早报网@工人日报@中国日报@拯救斑马线@宏儒飛龍 @新防线14653@天水播报@检察官张聪@乡村教师代言人-马云    @俄罗斯驻华大使馆  @伊朗驻华大使馆   @法国驻华大使馆     http://t.cn/A6z4bHlB ",2020-03-16 00:48,0,0,0
IyMGR0Jq9,蕊茉蜜茶,女,河南,568,63,蕊茉蜜茶:今天好累，去值班，一刻不停坐那儿，写写写！写了一篇新闻稿，一篇美篇，还帮同事修改了论文的开题报告，但是心情还是特别舒畅的，校园里为数不多的花都开了，在操场上迎着微风走走，我的心情好极了。下班后就急匆匆的往家赶，没顾上去超市，虽然不知道买啥，但我知道肯定有可多我想吃的！快到家的一条路上，路中间的隔离带是一路桃花，开的正盛，一眼望不到边！这个倒霉的疫情，让我们错过了多少春日的美好！到家了，老张刚好做好饭，吃吃，哄茉睡觉，睡觉时手里拿了个士力架，慢慢的融化了，于是有了图四的照片。家里最近很热，蕊天天爱穿的艾莎裙有点厚，我给她找了个春天的仙女裙，同时也找到了去年她的纱纱裙，图五，茉茉穿上腰身正好，明年肯定不能穿了，可这是蕊蕊4岁多的衣服阿，可想而知，蕊该有多瘦！茉茉穿上高兴极了，一直喊公主，公主，姐姐又给她带了个皇冠，就真的像个公主了？讲真带俩娃好累好累，我的心脏都快出来了！ http://t.cn/RghlcLS 显示地图 [组图共6张] 原图 ,2020-03-16 00:47,0,0,0
IyMGPaA1n,晖哥0590,男,上海,24,2,"晖哥0590:【新民晚报】当地时间11日，世界卫生组织（WHO）总干事谭德塞在日内瓦总部的新闻发布会上称，WHO经过 全球疫情“大流行”, 专家建议中国不要再把零病例作为防控目标 个人认为，舒跃龙提出的六个方面建议很及时很正确。从目前的形势看，境外疫情很难较快控制住，很多有疫情的国家还没有采取强有力的封控措施，他们之中有些人身染病毒还在到处飞，有的飞到中国来，我们不能因为有他们来中国反倒把自己长时间封圈起来，关键是要严把国门关，防止境外病例输入。 http://t.cn/A6zK8VHM 原图 ",2020-03-16 00:47,1,0,0
