微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IvTOKB4o9,·阿梅,女,河北,132,125,·阿梅:我听过最虐心的新闻是:西班牙做出决定拔掉医院65岁以上患者的呼吸机医护人员崩溃大哭愿疫情快点消失  ,2020-02-26 01:25,0,0,0
IvTsCjCRW,帮园艺师摆脱偷吃桃子的睡鼠,女,湖南,138,54,帮园艺师摆脱偷吃桃子的睡鼠:去年存货。受疫情影响，去年忘了发  [组图共9张] 原图 ,2020-02-26 00:31,0,0,1
IvTpcaGh0,茴香科里的小汉菜,女,云南,1126,397,茴香科里的小汉菜:等疫情过了，我要从家坐🚗 出发去机场坐✈️ ，✈️ 进过魔仙堡的上空，最后到了青青草原，在哪里我要去找喜羊羊比聪明，去找美羊羊比漂亮，去找懒羊羊比吃东西[呲牙]，最后要离开时去狼堡嘲笑下灰太狼，这样第一天就过完了。第二天我要去海底找章鱼哥，派大星还有海绵宝宝一起抓水母，抓累了去吃海绵宝宝拿手的蟹黄堡，最后一天去看看天线宝宝，让他们陪我结束这段旅行。 [组图共7张] 原图 ,2020-02-26 00:22,3,0,0
IvToU9Vlo,葫芦的娃ooooooooooops,女,湖北,14,15,葫芦的娃ooooooooooops:这次的疫情比想象中严重得多我爸说从没有过封城、停交通、不让出门这种事会发生在现在在家已整一个月了可能还得一个月吃的菜一买就是大几百吃的吃烂的烂我们倒是无所谓有的吃就行菜烂了再买头疼的是宝宝的奶粉已经只够几天的了，半个月前京东下单的奶粉还未发货，简直着急的要睡不着觉我的洗面奶和面霜也用完了大晚上的心情真的不太好 ,2020-02-26 00:22,1,0,1
IvToNF3GS,圈圈配音社,女,湖北,637,375,圈圈配音社:战“疫”日记4：下沉社区纪实       深夜，大雨，值守，在岗！       听到外面的雨声风声好大，突然收到下沉社区干部群里晚班的志愿者发来信息（图二三），雨棚已经遮不住大雨。他值守的路段是老小区，没有门卫室，所以直接在路边支起帐篷24小时轮班值守。白天还好，可晚上伴随风雨交加的天气着实很难受！       突然想起一句话，所谓的岁月静好，是因为有人在为我们负重前行！为了更好的防控疫情，他们放弃了甜甜的梦乡，为我们彻夜站岗，只为换取每刻的安宁。       谢谢你们，虽然口罩遮住了你的样子，但在我们心中，一定很美！       坚信这个特殊时期保护好自己，就是为你们省心。愿疫情早日结束，你们也可以回家好好睡一觉[加油] http://t.cn/R2WxQOQ 显示地图 [组图共4张] 原图 ,2020-02-26 00:21,4,0,2
IvToHbnEO,最南充,女,四川,503,309649,最南充:#晚安吧，梦里人##万众一心抗击疫情# 【《祝你平安，2020》MV 为平安祈愿，为战“疫”加油！】“祝你平安（噢）祝你平安……”2月24日，人民战“疫”公益MV《祝你平安，2020》上线，@杨幂、@刘涛tamia、@霍尊、陈鲁豫等艺人为爱发声，为平安祈愿，为战“疫”加油！#霍尊[超话]##刘涛[超话]##杨幂[超话]# @人民网 http://t.cn/A6hkDGQV ,2020-02-26 00:21,3,0,0
IvTomb1ir,石石100,男,山东,16,4,石石100:除湖北省外，复工潮已经汹涌澎湃，多个省市逐步将疫情响应级别下调，，，疫情来了，现在疫情降了，在家会饿死，出去不一定死，你失业了吗，失业了现在坚持，出去找工作面临着各种刁难，小区租房不让进，你在饿死之前准备怎么办，，，去抢吗，，现在的地方人为恐慌正将逼迫失业的人，为了生存而战！ http://t.cn/A67hQqzp ,2020-02-26 00:20,1,0,0
IvTohpo0v,隔壁那个基佬阡_,女,海外,178,239,隔壁那个基佬阡_:#树洞[超话]# 花了一年的事情去考了雅思，做各种各样的文件，拿到了国家公派留学的资格。花了好多钱好多时间，本来以为一切会很顺利的，但现在因为疫情拿不到签证，不知道该不该放弃[失望]或许我早就该放弃的，在考雅思前就该放弃，是我不好，还保留着不切实际的梦连老天都在惩罚我了，一个一直失败的人妄想什么成功呢但是能不能对我好一点，我真的很不希望这么久的努力付之东流 ,2020-02-26 00:20,3,0,8
IvTohsq5E,芒果动听,女,湖南,599,101990,芒果动听:#主播说联播#【#让其他国家少走弯路是共赢#】今天，国内疫情形势进一步向好，但韩国、日本等周边国家的数据变化让很多朋友不安。此时，我们既要严密防控，也要出手相助！病毒是咱共同的敌人，将防控经验共享，让其他国家少走弯路，其实是共赢。愿我们早日迎来胜利，共赏“山川异域，风月同天”的美！ http://t.cn/A67hKCEV ,2020-02-26 00:20,1,0,0
IvTo5zSpJ,Cheunk,男,天津,51,37,Cheunk:我一月没能见到你 然后疫情来到 二月也没能见到你 三月肯定也不行然后我16岁的日子就过完了 我想起去年的时候 我还一次没见到过你 我看到3.30录wp 还问了黄🐂票价 2500还是1500当时搞毕设奔波于成都和家 就想 搏一搏 抓住15岁的尾巴 见你一次 最后也没见成但是下半年太幸福了 没什么好遗憾的了 但是还是希望四月能见到你一次 真的真的真的希望 ,2020-02-26 00:20,0,0,0
