微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
IBYLUEQlc,新加坡直通车Singplus,女,海外,562,21433,新加坡直通车Singplus:今天新加坡暴增120例确诊病例。目前，两个最大的感染源(S11劳工宿舍跟Westlite劳工宿舍)都被完全封闭，里面合计19800名外国劳工接受隔离。同时，新加坡第二个“方舱”医院——新加坡展览中心(Expo)也已开建。Expo展厅很大呀(见下图)，有种确诊病例数量将会再破新高的预感#新加坡疫情##新加坡##海外抗疫日记# 原图 ,2020-04-06 01:04,2,0,1
IBYLDfEvI,十三杉,女,陕西,208,113,十三杉:#🌲十三的幸福琐事# 👒今天，不对现在0点。昨天一家人出门踏青啦。🚘原本是打算去公园野餐的，想着之前去过几乎没人可能知道的人不多，毕竟郊外嘛，好远的。再加上疫情可能出来玩的人不多，哪里想到人超级多，远远的路口就开始堵车了。⛲️最后说开着车到处转，溜达到哪儿算哪儿，于是在绕了半圈后发现了一个小门，走进了公园。🌼发现了很多平时没见过的野花，有一片紫色野花地，只有一小片可爱极了。还有一种粉色的，第一次见淡粉色的野花！可惜我调色调不好，调不出来那种粉色，照片里偏紫了。💐野花都太小啦，干脆捏成了一小把花束，又精致又可爱，像住在蘑菇屋里小精灵会放在家里的花束。🌸还有一小片樱花树，第一次见真是好看。这种花树林只在商场前见过假的，那种可就一点儿都不好看。🏃樱花林（规模根本不算啦hhh）旁边就是一个坡，上边儿是路，汽车跑的那种。弟弟爬上去又想下来，被老爸怂恿跑下去结果最后拌了滚下去了。我只来得及看到最后一小段儿，场景还是惊险，幸好我妈没看到，不然她能心疼死。好在我家哄小孩儿比较拿手，只是一开始有点受到惊吓，没一会儿就被我逗笑了（被我爸拉着再上来心情不好吗时候，我拼命招手问他看到我了吗就这样好啦，嘿嘿嘿）🐶都上来后就看到了一只拉布拉多和主人坐在坡上，又可爱又热情。我蹲下摸它，它靠在我身上的时候感觉好有安全感啊～👥翻过这个河提一样的坡，再过一个马路，就看到我当时拍轻婚纱的公园啦。人真是毫不意外的多！远远的看了看休息下，看到天阴了，可能快下雨了就回家啦。 [组图共9张] 原图 ,2020-04-06 01:03,3,0,4
IBYLtt8dE,宽宽电影,男,海外,1191,1048,宽宽电影:#新型冠状病毒# #全球累计确诊人数和排名#4月5日日终：美国确诊+2.3万，亡+1933，确诊和死亡日增全球双第一。法国+7832，亡+1053，确诊和死亡日增全球双第二。西班牙+6023，意大利+4805，德国+5024，英国+5950，土耳其+3013，伊朗+2483，英国确诊日增已经超过意大利和德国，土耳其日增也超过伊朗。加拿大+1869，比利时 +1260，巴西+1215。瑞士+822，葡萄牙+754，俄罗斯+658，印度+506，日本+451，日本确诊日增逐渐增长，已超四百。详细数据和排名见长图片。 #新冠肺炎世界疫情形势#  #全球疫情#   #抗击新型肺炎第一线#   #聚焦新冠肺炎疫情# #新冠是人类第一个冠状病毒大流行# #新冠肺炎如何攻陷全世界#  #美国疫情# #美国新冠肺炎确诊人数超过30万##法国疫情##英国新增感染者5903例# 原图 ,2020-04-06 01:03,0,0,0
IBYKxxN4a,武汉美食中心,男,湖北,559,1571546,武汉美食中心:#武汉日记# 【中国好邻居！小伙参建“火神山”后留汉，被邻居“投喂”两个月】尽管已返回咸宁老家过年，得知公司参建火神山医院后，王智还是义无反顾地逆行回汉。奋战10日后，王智回到了武汉的家中。单身、不会做饭，困守在武汉的王智面临不少困难。就在王智困窘的时候，他等来了后盾。后盾是王智的邻居，这是他的真名。后盾每天多做一份饭菜，专门“投喂”王智。鸡翅、土豆丝、排骨藕汤…荤素搭配，有时后盾还会在袋子里塞进两个口罩、一瓶牛奶。“疫情期间，大家更需要互相帮助，才能渡过难关。”后盾说，王智冲在一线，他很受感动，为他做饭不算什么。（楚天都市报） [组图共3张] 原图 ,2020-04-06 01:00,16,0,2
IBYJXd574,放纵vs自由,男,广东,142,189,放纵vs自由:按照国外这个疫情发展，失控是必然的，现在印度的还没爆出来，想象下印度的人口基数加上他们的卫生条件，今后的数字不敢想象。欧美所谓的自由主义，真的是呼吸道传染病的天堂，对于传染病而言，死亡率不重要，重要的是传染，直接阻断传播才是应对传染病最有效的方式，不然光治，你能跑得过传染速度？欧美若是不好好严格执行阻断隔离措施，外国朋友们只能喊上帝保佑，听天由命了！任何花里胡哨的手段，在病毒面前都是虚的，任何财富在生命面前也是虚的，所以欧美前期拼命放水，其实都在耍手段，混淆视听，肺炎不解决，一切都是虚无！ http://t.cn/RxewCns 显示地图 ,2020-04-06 00:59,2,0,2
IBYJxaTY6,银河中岸边的小葵,女,海外,413,323,银河中岸边的小葵:#聂小葵60天减肥打卡##泰国留学# 2020/04/04 第二阶段 day0️⃣3️⃣早饭：一杯水 吐司片x3 葡萄 自制拿铁☕️午饭：黑椒牛柳意面🍝 一个土豆🥔下午：一个饼干 一杯黑咖啡晚饭：🈚️运动：keep：十四天燃脂计划 10/14✅b站：周六野斜方肌✅           周六野瘦大腿✅           周六野20分钟有氧✅这两天卡在平台期了😡 烦我要变瘦 回国内穿漂亮小裙子啊啊啊国内小伙伴都去野餐了我就在宿舍画画吧😢#日常[超话]##日常##美食[超话]##泰国疫情##减肥##好好吃饭##水彩画# [组图共9张] 原图 ,2020-04-06 00:58,3,0,0
IBYJwhyTc,有只金鱼叫瓜瓜,女,广东,340,10921,有只金鱼叫瓜瓜:#weekly vlog# 漫 步广州恩宁路永庆坊 | 广州旧城改造 | 方制作人剪辑的第一个vlog，清明那天都憋不住还是去外面逛了逛，到广州最新的旅游打卡地，2019年旧城改造后成了现在的样子。这里不仅有博物馆、故居、还有漫步悠闲的感觉，但疫情期间很多店也不营业，人也很少。相信疫情过了以后，这里会是广州旅游很火热的地点。旧城改造，这里有粤剧艺术博物馆、李小龙故居、詹天佑故居、永庆坊街道......还有正在装修的钟书阁，弄好了一定要去看的，再弄一个书店打卡vlog~某方的第一个剪辑视频，背景音乐选了一个多小时，哈哈哈，自己给他个赞。#vlog# #广州# #带着微博去旅行#   http://t.cn/A6Z3kjrY ,2020-04-06 00:58,3,1,2
IBYJ7vydA,知世故_而_不世故,女,北京,429,250,知世故_而_不世故:#朱正廷0406出道两周年快乐# 一晃都两周年啦！打投仿佛都还是上个月的事。贝贝的文章越写越好了。曾经各种不可完成的事缺都被你完成了。我也因由你而来的契机在人生前进的方向上重新进行了选择。你一直都是我的榜样。愿我们都能不忘初心，在彼此的陪伴下不断进步，活成自己梦想中的样子吧！毕竟梦想不是只用来想的愿疫情赶紧结束，世界和平，早日上岸 ,2020-04-06 00:57,2,0,2
IBYI5580I,李元芳星球,男,北京,1010,381530,李元芳星球:遭解职的美航母舰长感染新冠病毒据美媒报道，美国航母罗斯福号舰长克罗泽尔在海军学院的两名与他和家人关系密切的同学透露，他新冠病毒检测呈阳性。美国海军发言人拒绝就克罗泽尔感染新冠病毒发表评论。他的两名同学说，这名指挥官在周四被调离军舰之前就开始出现症状。克罗泽尔被解雇是因为《旧金山纪事报》泄露了他发给海军领导人的一封信，信中详细描述了新冠病毒在船上传播时，海军未能提供必要的资源来迅速将船员转移出航母并对船上的区域进行消毒。#遭解职的美航母舰长新冠病毒检测呈阳性##美国疫情# 原图 ,2020-04-06 00:54,42,5,15
IBYHTwT0o,傲丞,男,其他,23,60,傲丞:远在美国的小一一现在因为疫情也不能出门了！我们能做的就是老实在家呆着，不给国家添麻烦，也不给自己找麻烦！特别担心他二姨一家有没有口罩和美国现在的疫情局势！很多人都说这个时候，特别自豪身为中国人，被这个国家好好的保护着！孩子的心里根深蒂固，身为国人的骄傲！我们都相信早晚有一天，全世界都会说中国话 [组图共6张] 原图 ,2020-04-06 00:54,0,0,0
