微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
J1NC41hKw,现在我心窝里,女,河北,282,167,现在我心窝里:#李现喊话跟拍者#今天现哥发微博称被跟拍，再三说服下还是一意孤行。这些记者们啊，咱们就消停的呆会不行么？大哥大姐们，又不是不让你们拍，该你拍的时候你就使劲拍，不该你拍的时候你就悄悄的在一边歇会儿，咱们好说好商量。你说万一你自带病菌，成了传染源，会害了身边的人，疫情尚未结束，请自行“隔离”。请大家相互尊重，多多关注演员的作品，远离私生活。抵制私生，抵制跟拍请给李现@李现ing 及所有明星一些自己的生活。拜托了🙏 http://t.cn/RJqe0Nj 显示地图 原图 ,2020-05-14 01:13,4,0,0
J1NzijMjC,王山而采彡,女,海外,16,82,王山而采彡:#心疼狱警##湖北疫情一线医生携子跳楼身亡#刷了一遍实时，发现大家说得最多的是——“未知全貌，不予评论。”感恩清醒，等待最终通报吧！不过，无论结果如何，还是希望引起社会对高压职业人群及其家属的关注。P.s.距离哥哥回家还有不到9小时，我发誓这是我最后一次晚睡，最后一次通宵玩手机乱买东西，但凡在一起的时间，我就会好好陪他、理解他、安慰他、支持他……毕竟，我是要我孩子平安健康长大的！ ,2020-05-14 01:06,1,0,0
J1Nxt6Vhy,娛樂圈新聞速遞,男,香港,273,478629,娛樂圈新聞速遞:#新型冠状病毒#: 【香港疫情多變! 不容鬆懈(((!】香港食物及衞生局副局長徐德義表示，2019冠狀病毒病疫情多變，市民須繼續提高警覺，不容鬆懈。政府計劃擴大檢測範圍，涵蓋機場或安老院舍工作人員等較高風險群組。徐德義今日在簡報會上說，本港曾連續20多日沒有本地個案，今日再現確診個案，政府非常關注。世界各地對該病的認識仍然有限，本地與各地專家均認為防疫是持久戰，公眾須有心理準備，包括其間會有零星個案或社區爆發。 他重申，香港市民必須時刻保持個人和環境衞生，這對預防個人受感染或防止病毒在社區擴散至為關鍵。 徐德義表示，現階段無須恢復3月底採取的較嚴謹措施，自5月8日更新的減少社交接觸的指示繼續有效。當局會繼續檢視疫情最新發展，按需要適時和適度調整。他說，市民如出現發燒、上呼吸道症狀等相關病徵，即使症狀輕微，亦應盡快求醫，並安排進行病毒測試。在加強無症狀人士的檢測方面，徐德義表示，政府正計劃加強社區監察，擴大檢測範圍，涵蓋不同較高風險群組。此外，醫院管理局對來自院舍或入住精神科病房的住院病人已作新安排，即使他們沒有症狀，入院時也會抽樣篩查。  http://t.cn/A6A11A0D ,2020-05-14 01:01,4,2,1
J1Nv4sVvu,湖南国际频道,男,湖南,481,103922,湖南国际频道:#外交部回应美参议员妄图制裁中国# 中国政府在日前发布的《美国关于新冠肺炎疫情的涉华谎言与事实真相》一文中说，“谎言止于真相，我们用事实说话。今后，只要有新的谎言出现，我们还会继续告世人以真相。”这是中国当前的策略，也是最有效的策略，只要一步步地“继续告世人以真相”，包括大量被掩盖的历史真相，西方私权力统治的基础就会全面崩塌，因为全球性的私权力没有丝毫的合法性，这个被少数人僭取的超级权力一直就建立在谎言和谬论之上。叫阵中国，主角暴露身份之日，就是落马受擒之时。来源/《叫阵中国，闹剧主角到底是谁？》观察者网专栏作者 子思 原图 ,2020-05-14 00:55,19,1,4
J1N3aFcUa,羊城晚报,男,广东,659,12083564,羊城晚报:【动态清零！佛山1例境外输入关联病例今日出院】13日，佛山1例境外输入关联新冠肺炎确诊病例，经定点医疗机构医护人员精心诊治和护理，专家组评估，认为符合国家卫生健康委最新的新冠肺炎确诊病例出院标准，于今日出院。至此，佛山共有100例确诊，100%治愈出院。据介绍，自1月22日佛山报告首例新冠肺炎确诊病例以来，佛山集中全市优质专家和优质资源，全力救治新冠肺炎确诊患者。100例新冠肺炎确诊病例相继治愈出院。5月13日，佛山市新冠肺炎确诊病例实现“动态清零”，疫情防控阻击战取得重大战略成果。佛山市卫健局相关负责人表示，当前疫情防控进入常态化，外防输入、内防反弹的防控任务依然艰巨复杂，常态化疫情防控工作仍需毫不松懈，毫不松劲地抓紧抓实抓细。（羊城晚报全媒体记者 郑诚） 原图 ,2020-05-13 23:47,47,10,4
J1N2TiT26,登登成长日记,女,香港,18,72,登登成长日记:4Y19D，今天是宝贝正式开学第一天，也是换新幼儿园的第一天，因为疫情三个老师都没见过面，妈妈还担心换了环境你会有点不适应，外婆送你到校门口，你乖乖测好体温消毒液洗好手，就跟着老师走，一进教室就和老师聊上了，老师还发了小视频过来，看到你这么棒妈妈很欣慰，之前还因为三学期换了三个幼儿园有点内疚，幸好宝贝性格开朗善于交际适应能力强，一天下来和老师小朋友打成一片，放学后老师还发微信给妈妈夸你呢，说你语言表达能力很强，能说会道。晚饭后下楼玩，宝贝坚持自己拿滑板车下台阶，你说登登长大了能自己抬东西帮妈妈的忙了，看来我家的小小男子汉又长大一点咯。 [组图共2张] 原图 ,2020-05-13 23:46,0,0,0
J1N2ThcQe,四川监狱,男,四川,961,136431,四川监狱:【5月14日起，#吉林露天早市全部关停#】吉林市媒体《江城晚报》微信公众号5月13日消息，记者当天从吉林市城市管理行政执法局了解到，为防止人员聚集，避免疫情扩散，按照全市统一部署，全市露天早市从5月14日起全部关停。早市开启时间将根据疫情情况另行通知，望广大市民周知。 @头条新闻  @法治四川 原图 ,2020-05-13 23:46,0,7,0
J1N2OgTAy,TaxAccountingLawOfficeNY,男,上海,247,614,TaxAccountingLawOfficeNY:#美国疫情##海外抗疫日记# 回家之前，Costco的披萨是必买的，路过的这所学校🏫 ，是免费食物和口罩😷 的领取点，食品很丰富，每人可以免费领2个口罩，还有妇女用品！Infinite的Qx60在北美卖的几乎断货，4万美元起步，动力强劲，国内卖的很差，品牌还没有做起来，其实真是好车，在国内的推荐买50，这个20T的发动机功率接近200千瓦，日产的发动机是没得说！ http://t.cn/8sjo4KB 显示地图 [组图共3张] 原图 ,2020-05-13 23:46,2,0,0
J1N2p8OV8,法的门前123,女,湖北,154,30723,法的门前123:今天去了趟市场管理局办事情，一个接一个全是要注销公司的，可能因为这地方就是办这事的，也可能是因为疫情的影响。因为疫情的影响，今天办事也特别顺利，虽然拿着没有盖章的文件，但是人家还是给办了，还都说为了你少跑腿，我就给你提前办好了啦。态度也很好。仿佛经历了灾难之后大家都变得不那么急躁了，工作也珍惜了。 ,2020-05-13 23:45,0,0,0
J1N1xiyqi,young瑞涵,女,四川,425,97,young瑞涵:#中国电信#狗电信，疫情期间校园卡每个月79块钱，照收不误，打电话还说不能异地销号……我倒是能回去啊？？用不满两年还得交违约金，当初办理业务的时候也没说这一条啊。那么多学生，您也真是有良心收下这钱。投诉无门，只能任由着他扣费，穷学生迫切想知道遇到这种情况该怎么办好几百了已经，再不采取措施，要是这学期不开学，等到九月份就上千了 ,2020-05-13 23:43,11,0,46
J1N1qd1Bs,安详的小猪,男,安徽,117,660,安详的小猪:瑞银证据实验室（UBS Evidence Lab）的最新一期中国住房调查报告显示，尽管当前房地产销售有所回暖，但市场情绪和购房意愿已经显著下降。80%左右的受访者决定推迟或取消计划；无购房意愿受访者占比则跃升至46%，创调查以来最高。报告指出，新冠肺炎疫情导致受访者的房价预期、购房信心和未来收入预期都大幅走弱，尤其是三线城市。同时，受访者对加杠杆贷款买房也更为保守。报告预计，2020年整体房地产销售将下跌5-7%，超出此前预期；投资增速将放缓至2-4%。政策层面，预计中央层面全局性的房地产政策不会明显松动，如大幅降低首付比例要求或大幅下调房贷利率等。不过，地方层面房地产政策可能边际放松，房贷可得性提高、利率小幅下调，这应能避免房地产活动大幅收缩。本次调查于2020年4月9日至22日展开，覆盖3322名受访者。需要注意的是，本次调查时间较往年晚了1-2个月，可能对结果产生一定影响。 ,2020-05-13 23:42,0,0,0
J1N1p502O,热点视频,女,北京,310,4748533,热点视频:【#青岛#位兰玲：我们不是英雄】作为今年抗击新冠肺炎疫情的“主力军”，医护人员的作用至关重要。在青岛第五批援鄂医护人员里，55岁的护士长位兰玲担任着老大姐的角色，不仅在日常生活里照顾大家，也要为全体医护人员的健康负责。在武汉的50多天里，她和同事们没有休息过一天，顺利坚守到病区清零。 http://t.cn/A6A3IRml ,2020-05-13 23:42,2,0,0
J1N1jpLQW,芳心纵火禾禾子,女,湖北,888,2204,芳心纵火禾禾子:今天真是完美的一天 花也赏了 串串也吃了 奶茶也喝了 步也跑了好久没来吃这家串串 牛肉变得更大坨了两个人吃了一大桶签子结果结账一看只吃了35惊掉下巴 好担心老板破产噢古茗的芝士乌龙 好喝！奶盖好爱！茶也好喝！大半年没在室外跑过步了 晚上下着小雨在公园跑步 都没啥人的 摘了口罩感觉自己能飞起来～疫情快点结束吧 好想不戴口罩地迎接有栀子花香的初夏夜跑和桂花香的盛夏夜跑啊 [组图共6张] 原图 ,2020-05-13 23:42,3,0,7
J1MUgDVGx,整形专家汪济广,男,北京,386,102437,下图中的姑娘是是去年12月12日我给她做了削骨手术（参阅本博去年12月12日13日及今年1月7日的博文），术后恢复良好，姑娘不好意思地说本来1月份就定制好的锦旗，因为疫情关系，今天才送到了我手上，有些迟了，其实真的没关系，迟到的锦旗，未迟到的心意，我都满满感受到了，感谢自称削骨（做了下颌角）救命姑娘的满意与认可，感恩对我的信赖。#削骨##面部轮廓整形# [/cp]             [组图共6张]      原图                             ,2020-05-13 23:25,112,111,114
