微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,发布时间,点赞数,转发数,评论数
ICTy8jdfb,S小姐家的Noemie,女,海外,370,579,S小姐家的Noemie:这开了挂的比利时天气自从封城隔离以来感觉一夜入了夏 在这种特殊时期，不得不夸一下比利时政府的社会保障措施，三月份上了半个月的班，半个月封城隔离在家报疫情时期临时失业，最近陆续收到三月份公司那部分工资和政府部门发的失业金，发现跟平时的正常工资只差了不到两百欧，然鹅自己在家躺了半个月欧洲出了名的社保好在此时切身地体验了一把 http://t.cn/RU1bnOB 显示地图 原图 ,2020-04-12 01:36,6,0,0
ICTy031lP,布哈拉丝绸,男,海外,1772,3334,布哈拉丝绸:【#纽约市长回应无人岛埋尸#：这很沉重，现在大多数是新冠肺炎逝者】      随着纽约疫情蔓延，无亲无故的孤寡逝者遗体不被认领成了难题，据媒体报道，纽约政府选择集中送往偏远的哈特岛。当地时间4月10日，纽约市长白思豪回应时称，这很沉重，任何死因的孤寡逝者都会葬在那里，但确实新冠肺炎逝者更多。@梨视频 http://t.cn/A6wyA6zq ,2020-04-12 01:36,3,1,0
ICTxBf2lM,德德真棒,男,浙江,165,486,德德真棒:复活节快乐哦，虽然没什么用。突然想起来周四的晚上又是被领导训又是加班到很晚，所有的情绪堆积在了一起，撞出了一个泪点，有那么一刻我莫名感受到了委屈，特别想和你打电话听听你的声音，想你能安慰安慰我。回想了一下，很多时候我在你面前总是刻意保持着一个很坚强的男孩子的性格，其实那个一点也不是我，在疫情期间我会在深夜里想你想到难过掉眼泪，也会掩盖自己许多小毛病。或许是因为爱吧，让我不敢展现出自己糟糕的一面，怕你会接受不了很糟糕的我，也怕我因此会在你的心目中减分。所以有时候也在思考，对于伴侣到底应该去用什么样子的姿态去面对，是我活的太虚伪还是太懦弱，或者两者都是，总之我觉得自己一点也不棒，甚至还有点糟糕。 ,2020-04-12 01:35,2,0,0
ICTwYeBOe,yd_egg,女,北京,184,564,yd_egg:#20200411##直到疫情结束可以去看他们那一天##Day42# - 又又双叒叕……看了闲着干嘛呢-闲着干嘛呢为期四周的室内演唱会结束了呜呜呜呜 舍不得 看到了好多喜欢的歌手的舞台！还有不了解但爱上了的歌手的舞台！还有当初只想自己珍藏却意外火了的歌手的舞台！还有我原本在黑泡坑里第一排跟着嗨现在只能守着屏幕的舞台！好多好多呜呜呜 闲着干嘛呢这个策划真的太好了ㅠ 室内一列演唱！(虽然不知道其他节目是不是看到这个得到启发才开始做室内演唱会…但我感觉，是的) 真好啊～自己在家自己跟着合唱又是另一种激动kkk 虽然邻居听着可能会以为我憋疯了 噗 每周公开一些歌手，每周都会预告and more… 内心小期待了一下会不会more到防弹 害 啥时候带着我们玩玩儿吧！四周的周末超快乐的！-就是这么巧！这周结束，下周防弹就要放室内演唱会了～～ 米棒已经买好电池了！！！！！！！！！哦耶！！！！！！！！ http://t.cn/A6w4KTEG ,2020-04-12 01:34,0,0,0
ICTwRpz21,运城身边事,男,山西,906,333696,运城身边事:【#张文宏称疫苗研发最快要1年以后#】针对新冠病毒疫苗研发情况，张文宏表示，疫苗要做安全性和疗效的实验，正常时间走完需要1-2年，按照现在的做法，最快也要1年以后。疫苗研制出来后，还需要综合当时的疫情情况、病死率高低、疫苗防护作用强弱、有无不良反应等多个因素考虑是否接种。http://t.cn/A6wU7bba http://t.cn/R2WxSE3 显示地图 ,2020-04-12 01:33,1,0,1
ICTvvcF5o,南粤雕,男,广东,356,803,南粤雕:你的朋友圈开始撕裂了吗？我的还好，这是我对朋友圈一位朋友的回复：我觉得，即使让全世界了解中国抗疫时的胶着状态也未尝不可。事情都是有两面性的，就看站在什么立场和角度去看。有的人以为日记在国外出版了就会有人大做文章对我国产生不良影响了，甚至要挟啥的了？只能说是过度解读武汉日记了吧，太高估了。如果是存在这样的忧虑，恰恰是证实了其中种种短板。打铁要靠自身硬，是吧，更何况反过来看，这日记不正从特别的角度反映了国内抗疫的伟大成果吗？我们中国即使在毫无准备之下，经过两个多月悲壮的战疫，最终还是控制住了疫情，这不同样是在向世界宣示社会主义制度的优越性，不是同样告诉世界：中国人是不可战胜的吗？就事论事，不要抨击个人。方方日记，是时势造就，注定流芳百世，是要把某些人钉在耻辱柱上的。 ,2020-04-12 01:30,0,0,0
ICTvj6jDI,广州市刘邦建材加工厂,男,广东,132,203,广州市刘邦建材加工厂:一个国外的老人病情好转，被告知要付一天的呼吸机费用。老人接过账单后哭了，医生以为他付不起钱。老人却说：我有钱，我之所以哭，是因为我呼吸了地球上的空气90年了，却从没付过一分钱。可在医院使用一天呼吸机要5000块钱，你知道我欠了地球多少钱吗？可我从来没有为此感谢过她。这次疫情才让我们突然清醒。地球从来不需要人类，而是人类依赖于地球。在人们禁足不久后，有人发现威尼斯的水变干净了；意大利港口的海豚也回来了；罗马的喷泉里发现了鸭子。地球没有了人类依然会运转。人类之前有生命，人类之后有生命。而遗憾的是，那些生命，唯有在人类触及不到的角落，才敢大胆出现，并无所顾忌地留下痕迹。也许，病毒的出现是在警示我们。毕竟，就算地球没有了人类，也可以很美，很和谐。因为从来都没有什么保护地球，而是人类拯救自己。 ,2020-04-12 01:29,0,0,0
ICTuQ9yHU,用户7035009365,男,北京,195,51,用户7035009365:【前美国高级外交官：中国不断在危机中自我完善】董云裳（Susan Thornton）9日在布鲁金斯学会发文称，诚然，在疫情早期中国出现过判断失误，但是与2003年非典疫情相比，中国的反应速度要快得多，令人欣慰。我们应该知道，中国会在这场危机过后进行自我改进，但是美国会吗？详情：http://t.cn/A6w4a80T （美国侨报网） 原图 ,2020-04-12 01:28,0,0,0
ICTuOEv8V,心心爱吃肉ovo,女,其他,452,58,心心爱吃肉ovo:记得刚开始认识三毛，还在初二。那个踩着轮滑鞋梳着“鸡毛头”有点皮的三毛和谭哥走进了我们的生活。他真的是太搞笑了呀，给我们带来了很多很多的乐趣。有一次他骑wyk的变速车，本来想好好秀一波，骑的飞快。结果捏错了闸，一下连人带车先是旋转了360度然后一起趴在了地上。每次一放寒假暑假我们就“厮混”在一起，一起吃饭，各种聚餐，闹来闹去。高中我们考到了一个学校，三毛，我，朱蕊一起放假回家，一起上学，太美好了。那个时候打打闹闹一丁点烦恼也没有。我觉得我们可以这样一直下去。三毛对我们是真的特别好。记得我每次一难受就给他打电话，半夜看鬼片吓得睡不着也给他打电话，我和wyk喝到烂醉，我们也是第一个打电话给他，他总是在给我们收拾烂摊子。在我心里，他就是那个非常重要非常重要的人，是我非常非常非常在意的人。高中的时候他每次都会找借口请假回家，然后问我和朱蕊想吃啥，然后给我们带，有一次他带了一份超级辣的麻辣香锅，我差点没晕过去。我想把这些有趣的事情都写下来，实在是太多了，那就放在心里吧:-D 我记得很清楚的一件事，是高三下半学期，他学了舞蹈所以下半学期在上小班，我在学校，当他突然回学校的时候。第一件事是不去找我，甚至有时候连招呼也不打。每天玩在一起的是他和他的舞蹈朋友。我难过了好久，我觉得我们关系变淡了，我很害怕啊，高考完那个暑假我们一起出去玩了，我哭了，我跟他说为什么不理我之类的话，他跟我说：“其实好朋友不是说不联系就不重要了，当你们有困难我还是会义无反顾的去帮助你们，在我心里你们还是很重要，等我以后有钱了，你们几个想吃啥给我说，你们几个就是我养的小祖宗。”我每次暑假会去穿🍢，三毛每次练完车就会过来帮我穿，然后再回家。每天晚上我们几个和三毛都会聚集在谭哥家的饭店里，一起闹，商量着要去哪里哪里玩吧啦吧啦的说着笑着。每年的生日都是我们陪他一起过的，去年三毛生日我们一起吃了烧烤，太好吃了！！尤其是那个鸡排饼。总之有三毛我们就有快乐哈哈哈哈之后我们好像联系慢慢就变少了，随着大家一起考了大学，联系少之又少了。疫情我们四个好不容易可以出去玩了，可是饭店只能点外卖，在寒风中，我们一如既往地选择了投靠三毛，去三毛姐姐家点了一大堆的吃的，晚上说起以前的事情说了很久，每次跟他们在一起就心里就觉得：啊，我们几个也太好了吧，我也太幸运了吧能够拥有你们。慢慢的到现在，中间发生太多事情了，我们和三毛关系变得特别尴尬，以至于见面也有着尴尬的气息。我不能说他不好，只是大家都长大了，有各自的小圈子，很正常。慢慢的我们好像在三毛心里就变得不那么重要了，慢慢的他的朋友圈也没有我们了。每次看他晒他们一圈子的照片视频呀，我们就会很难受。确实是很难受，难受了很久很久很久，今天晚上我想通了吧。大家都变得成熟起来了，我也不能原地踏步呀。可能人在长大就是边走边丢失的过程。都有离开的可能性，我们要坦然接受。他开心就好了，失望已经攒够了。看得出来他生活的很快乐，很充实，没烦恼，。心里酸酸的，但我也要往前走了。过去的就让他过去吧，这份回忆我会一直珍藏🌟我们可能已经陪你到这里了，剩下的日子，如果快乐太难，那就祝你平安。 ,2020-04-12 01:28,0,0,0
ICTuMAcsp,邹崔子,男,北京,500,1405,邹崔子:对于境外政治及媒体摸黑丑化中国言论，我们要以事实为依据，澄清反击其主观臆断偏执不实推测言论，让世界人民了解真相，努力打赢世界舆论导向正义公平公正这场战争，发扬我们革命前辈奋发向上的自强、自信、自尊、自立和国际化平等互助合作进取精神。《为了黑中国，他们也是煞费苦心……》一转眼，已然四月，全球新冠肺炎疫情仍在继续。对某些黑心外媒自2020年1月底至今对于疫情报道进行大致梳理，可以发现有如下的抹黑攻击点。http://t.cn/A6w4KPhR 原图 ,2020-04-12 01:28,0,0,0
